; Candidate 12651
; ADRP+ADD at VM 0xfffffff0090e5e9c (fileoff 0x20e1e9c): page=0x1fe38a000 add_imm=0xdda

0xfffffff0090e5e1c: 301ac1da  autda	x16, x17
0xfffffff0090e5e20: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff0090e5e24: e90310aa  mov	x9, x16
0xfffffff0090e5e28: f10309aa  mov	x17, x9
0xfffffff0090e5e2c: d162f3f2  movk	x17, #0x9b16, lsl #48
0xfffffff0090e5e30: 11093fd7  blraa	x8, x17
0xfffffff0090e5e34: e8024039  ldrb	w8, [x23]
0xfffffff0090e5e38: 280a3036  tbz	w8, #6, #0xfffffff0090e5f7c
0xfffffff0090e5e3c: 5b230094  bl	#0xfffffff0090eeba8
0xfffffff0090e5e40: 281cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e5e44: 08852c91  add	x8, x8, #0xb21
0xfffffff0090e5e48: 291cfff0  adrp	x9, #0xfffffff00746c000
0xfffffff0090e5e4c: 29512c91  add	x9, x9, #0xb14
0xfffffff0090e5e50: ea0240f9  ldr	x10, [x23]
0xfffffff0090e5e54: 5f0100f1  cmp	x10, #0
0xfffffff0090e5e58: 2801889a  csel	x8, x9, x8, eq
0xfffffff0090e5e5c: 4a1cff90  adrp	x10, #0xfffffff00746d000
0xfffffff0090e5e60: 4a4d0b91  add	x10, x10, #0x2d3
0xfffffff0090e5e64: 2a018a9a  csel	x10, x9, x10, eq
0xfffffff0090e5e68: f5a305a9  stp	x21, x8, [sp, #0x58]
0xfffffff0090e5e6c: e8ab04a9  stp	x8, x10, [sp, #0x48]
0xfffffff0090e5e70: 281cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e5e74: 08552c91  add	x8, x8, #0xb15
0xfffffff0090e5e78: aaf18552  mov	w10, #0x2f8d
0xfffffff0090e5e7c: e88303a9  stp	x8, x0, [sp, #0x38]
0xfffffff0090e5e80: e9ab02a9  stp	x9, x10, [sp, #0x28]
0xfffffff0090e5e84: e9a701a9  stp	x9, x9, [sp, #0x18]
0xfffffff0090e5e88: 281cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e5e8c: 08212c91  add	x8, x8, #0xb08
0xfffffff0090e5e90: 2a1cfff0  adrp	x10, #0xfffffff00746c000
0xfffffff0090e5e94: 4add2b91  add	x10, x10, #0xaf7
0xfffffff0090e5e98: e90b00f9  str	x9, [sp, #0x10]
0xfffffff0090e5e9c: 401cffd0  adrp	x0, #0xfffffff00746f000
0xfffffff0090e5ea0: 00683791  add	x0, x0, #0xdda
0xfffffff0090e5ea4: ea2300a9  stp	x10, x8, [sp]
0xfffffff0090e5ea8: 5ec4c997  bl	#0xfffffff008357020
0xfffffff0090e5eac: 34000014  b	#0xfffffff0090e5f7c
0xfffffff0090e5eb0: 9f0209eb  cmp	x20, x9
0xfffffff0090e5eb4: 43050054  b.lo	#0xfffffff0090e5f5c
0xfffffff0090e5eb8: 688240f9  ldr	x8, [x19, #0x100]
0xfffffff0090e5ebc: 940208cb  sub	x20, x20, x8
0xfffffff0090e5ec0: 9fa60ff1  cmp	x20, #0x3e9
0xfffffff0090e5ec4: c3040054  b.lo	#0xfffffff0090e5f5c
0xfffffff0090e5ec8: e8024039  ldrb	w8, [x23]
0xfffffff0090e5ecc: 88043036  tbz	w8, #6, #0xfffffff0090e5f5c
0xfffffff0090e5ed0: 36230094  bl	#0xfffffff0090eeba8
0xfffffff0090e5ed4: e80240f9  ldr	x8, [x23]
0xfffffff0090e5ed8: 291cfff0  adrp	x9, #0xfffffff00746c000
0xfffffff0090e5edc: 29852c91  add	x9, x9, #0xb21
0xfffffff0090e5ee0: 2a1cfff0  adrp	x10, #0xfffffff00746c000
0xfffffff0090e5ee4: 4a512c91  add	x10, x10, #0xb14
0xfffffff0090e5ee8: 1f0100f1  cmp	x8, #0
0xfffffff0090e5eec: 4801899a  csel	x8, x10, x9, eq
0xfffffff0090e5ef0: 491cff90  adrp	x9, #0xfffffff00746d000
0xfffffff0090e5ef4: 294d0b91  add	x9, x9, #0x2d3
0xfffffff0090e5ef8: 4901899a  csel	x9, x10, x9, eq
0xfffffff0090e5efc: 6b9b86d2  mov	x11, #0x34db
0xfffffff0090e5f00: cbf6baf2  movk	x11, #0xd7b6, lsl #16
0xfffffff0090e5f04: 4bd0dbf2  movk	x11, #0xde82, lsl #32
0xfffffff0090e5f08: 6b63e8f2  movk	x11, #0x431b, lsl #48
0xfffffff0090e5f0c: 8b7ecb9b  umulh	x11, x20, x11
0xfffffff0090e5f10: 6bfd52d3  lsr	x11, x11, #0x12
0xfffffff0090e5f14: eb2306a9  stp	x11, x8, [sp, #0x60]
0xfffffff0090e5f18: e95305a9  stp	x9, x20, [sp, #0x50]
