; Candidate 3335
; ADRP+ADD at VM 0xfffffff008733afc (fileoff 0x172fafc): page=0x1fe9fe000 add_imm=0xd90

0xfffffff008733a7c: fd030191  add	x29, sp, #0x40
0xfffffff008733a80: f40303aa  mov	x20, x3
0xfffffff008733a84: f30302aa  mov	x19, x2
0xfffffff008733a88: f50301aa  mov	x21, x1
0xfffffff008733a8c: f60300aa  mov	x22, x0
0xfffffff008733a90: 370440b9  ldr	w23, [x1, #4]
0xfffffff008733a94: 000440f9  ldr	x0, [x0, #8]
0xfffffff008733a98: f3130094  bl	#0xfffffff008738a64
0xfffffff008733a9c: 000d0034  cbz	w0, #0xfffffff008733c3c
0xfffffff008733aa0: e8060051  sub	w8, w23, #1
0xfffffff008733aa4: 1f090071  cmp	w8, #2
0xfffffff008733aa8: 62000054  b.hs	#0xfffffff008733ab4
0xfffffff008733aac: 20008052  mov	w0, #1
0xfffffff008733ab0: 63000014  b	#0xfffffff008733c3c
0xfffffff008733ab4: 090080d2  mov	x9, #0
0xfffffff008733ab8: aa3a4079  ldrh	w10, [x21, #0x1c]
0xfffffff008733abc: 5f010071  cmp	w10, #0
0xfffffff008733ac0: e8079f1a  cset	w8, ne
0xfffffff008733ac4: ab3e4079  ldrh	w11, [x21, #0x1e]
0xfffffff008733ac8: 7f010071  cmp	w11, #0
0xfffffff008733acc: ed079f1a  cset	w13, ne
0xfffffff008733ad0: 2c008052  mov	w12, #1
0xfffffff008733ad4: a906098b  add	x9, x21, x9, lsl #1
0xfffffff008733ad8: 29394079  ldrh	w9, [x9, #0x1c]
0xfffffff008733adc: 49020035  cbnz	w9, #0xfffffff008733b24
0xfffffff008733ae0: ee030caa  mov	x14, x12
0xfffffff008733ae4: 0c008052  mov	w12, #0
0xfffffff008733ae8: 29008052  mov	w9, #1
0xfffffff008733aec: 4eff0737  tbnz	w14, #0, #0xfffffff008733ad4
0xfffffff008733af0: 0851fff0  adrp	x8, #0xfffffff007156000
0xfffffff008733af4: 08192f91  add	x8, x8, #0xbc6
0xfffffff008733af8: e80300f9  str	x8, [sp]
0xfffffff008733afc: e04fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008733b00: 00403691  add	x0, x0, #0xd90
0xfffffff008733b04: 4196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008733b08: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008733b0c: 2350fff0  adrp	x3, #0xfffffff00713a000
0xfffffff008733b10: 63bc3e91  add	x3, x3, #0xfaf
0xfffffff008733b14: 02008052  mov	w2, #0
0xfffffff008733b18: 86fdef97  bl	#0xfffffff008333130
0xfffffff008733b1c: 00008052  mov	w0, #0
0xfffffff008733b20: 47000014  b	#0xfffffff008733c3c
0xfffffff008733b24: ce064629  ldp	w14, w1, [x22, #0x30]
0xfffffff008733b28: 3f000e6b  cmp	w1, w14
0xfffffff008733b2c: 81020054  b.ne	#0xfffffff008733b7c
0xfffffff008733b30: 0c008052  mov	w12, #0
0xfffffff008733b34: 09008052  mov	w9, #0
0xfffffff008733b38: 2e008052  mov	w14, #1
0xfffffff008733b3c: 2f008052  mov	w15, #1
0xfffffff008733b40: 8a000034  cbz	w10, #0xfffffff008733b50
0xfffffff008733b44: 6b000034  cbz	w11, #0xfffffff008733b50
0xfffffff008733b48: 9001092a  orr	w16, w12, w9
0xfffffff008733b4c: 50050037  tbnz	w16, #0, #0xfffffff008733bf4
0xfffffff008733b50: 7f010071  cmp	w11, #0
0xfffffff008733b54: f0179f1a  cset	w16, eq
0xfffffff008733b58: 5f010071  cmp	w10, #0
0xfffffff008733b5c: f1179f1a  cset	w17, eq
0xfffffff008733b60: 2f020f2a  orr	w15, w17, w15
0xfffffff008733b64: 8f070036  tbz	w15, #0, #0xfffffff008733c54
0xfffffff008733b68: 0e020e2a  orr	w14, w16, w14
0xfffffff008733b6c: 4e070036  tbz	w14, #0, #0xfffffff008733c54
0xfffffff008733b70: ea0308aa  mov	x10, x8
0xfffffff008733b74: e8030daa  mov	x8, x13
0xfffffff008733b78: 3d000014  b	#0xfffffff008733c6c
