; Candidate 6901
; ADRP+ADD at VM 0xfffffff0088490a8 (fileoff 0x18450a8): page=0x1fe9a0000 add_imm=0xe80

0xfffffff008849028: 08811491  add	x8, x8, #0x520
0xfffffff00884902c: 89038052  mov	w9, #0x1c
0xfffffff008849030: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008849034: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849038: 08751391  add	x8, x8, #0x4dd
0xfffffff00884903c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008849040: 28098052  mov	w8, #0x49
0xfffffff008849044: f62300a9  stp	x22, x8, [sp]
0xfffffff008849048: 004dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00884904c: 00003a91  add	x0, x0, #0xe80
0xfffffff008849050: e18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008849054: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008849058: 4350ff90  adrp	x3, #0xfffffff007251000
0xfffffff00884905c: 632c0b91  add	x3, x3, #0x2cb
0xfffffff008849060: 02008052  mov	w2, #0
0xfffffff008849064: 33a8eb97  bl	#0xfffffff008333130
0xfffffff008849068: 167d8012  mov	w22, #-0x3e9
0xfffffff00884906c: 18000014  b	#0xfffffff0088490cc
0xfffffff008849070: 4fac0194  bl	#0xfffffff0088b41ac
0xfffffff008849074: f60300aa  mov	x22, x0
0xfffffff008849078: 80008052  mov	w0, #4
0xfffffff00884907c: f5c90094  bl	#0xfffffff00887b850
0xfffffff008849080: f35703a9  stp	x19, x21, [sp, #0x30]
0xfffffff008849084: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849088: 08c11691  add	x8, x8, #0x5b0
0xfffffff00884908c: 09058052  mov	w9, #0x28
0xfffffff008849090: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008849094: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849098: 08751391  add	x8, x8, #0x4dd
0xfffffff00884909c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088490a0: 28098052  mov	w8, #0x49
0xfffffff0088490a4: f62300a9  stp	x22, x8, [sp]
0xfffffff0088490a8: 004dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088490ac: 00003a91  add	x0, x0, #0xe80
0xfffffff0088490b0: e18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088490b4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088490b8: 4350ff90  adrp	x3, #0xfffffff007251000
0xfffffff0088490bc: 63000c91  add	x3, x3, #0x300
0xfffffff0088490c0: 02008052  mov	w2, #0
0xfffffff0088490c4: 1ba8eb97  bl	#0xfffffff008333130
0xfffffff0088490c8: 567d8012  mov	w22, #-0x3eb
0xfffffff0088490cc: 20098052  mov	w0, #0x49
0xfffffff0088490d0: c1008052  mov	w1, #6
0xfffffff0088490d4: bfc90094  bl	#0xfffffff00887b7d0
0xfffffff0088490d8: 00050034  cbz	w0, #0xfffffff008849178
0xfffffff0088490dc: 20098052  mov	w0, #0x49
0xfffffff0088490e0: cec90094  bl	#0xfffffff00887b818
0xfffffff0088490e4: f80300aa  mov	x24, x0
0xfffffff0088490e8: 31ac0194  bl	#0xfffffff0088b41ac
0xfffffff0088490ec: f70300aa  mov	x23, x0
0xfffffff0088490f0: c0008052  mov	w0, #6
0xfffffff0088490f4: d7c90094  bl	#0xfffffff00887b850
0xfffffff0088490f8: 98010034  cbz	w24, #0xfffffff008849128
0xfffffff0088490fc: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff008849100: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff008849104: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849108: 08751391  add	x8, x8, #0x4dd
0xfffffff00884910c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008849110: 28098052  mov	w8, #0x49
0xfffffff008849114: e04eff90  adrp	x0, #0xfffffff007225000
0xfffffff008849118: 00201791  add	x0, x0, #0x5c8
0xfffffff00884911c: f72300a9  stp	x23, x8, [sp]
0xfffffff008849120: d0b8d597  bl	#0xfffffff007db7460
0xfffffff008849124: 15000014  b	#0xfffffff008849178
