; Candidate 14805
; ADRP+ADD at VM 0xfffffff009943c7c (fileoff 0x293fc7c): page=0x1fe344000 add_imm=0xe80

0xfffffff009943bfc: b1fbfff2  movk	x17, #0xffdd, lsl #48
0xfffffff009943c00: 301ac1da  autda	x16, x17
0xfffffff009943c04: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff009943c08: e90310aa  mov	x9, x16
0xfffffff009943c0c: f10309aa  mov	x17, x9
0xfffffff009943c10: 1122f8f2  movk	x17, #0xc110, lsl #48
0xfffffff009943c14: 11093fd7  blraa	x8, x17
0xfffffff009943c18: ff0b00f9  str	xzr, [sp, #0x10]
0xfffffff009943c1c: 01000014  b	#0xfffffff009943c20
0xfffffff009943c20: e00b40f9  ldr	x0, [sp, #0x10]
0xfffffff009943c24: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009943c28: ffc30091  add	sp, sp, #0x30
0xfffffff009943c2c: ff0f5fd6  retab	
0xfffffff009943c30: 7f2303d5  pacibsp	
0xfffffff009943c34: ffc300d1  sub	sp, sp, #0x30
0xfffffff009943c38: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009943c3c: fd830091  add	x29, sp, #0x20
0xfffffff009943c40: a0831ff8  stur	x0, [x29, #-8]
0xfffffff009943c44: a8835ff8  ldur	x8, [x29, #-8]
0xfffffff009943c48: 086100f1  subs	x8, x8, #0x18
0xfffffff009943c4c: e8179f1a  cset	w8, eq
0xfffffff009943c50: 68010037  tbnz	w8, #0, #0xfffffff009943c7c
0xfffffff009943c54: 01000014  b	#0xfffffff009943c58
0xfffffff009943c58: e9030091  mov	x9, sp
0xfffffff009943c5c: 08e5feb0  adrp	x8, #0xfffffff0075e4000
0xfffffff009943c60: 08e11191  add	x8, x8, #0x478
0xfffffff009943c64: 280100f9  str	x8, [x9]
0xfffffff009943c68: c80980d2  mov	x8, #0x4e
0xfffffff009943c6c: 280500f9  str	x8, [x9, #8]
0xfffffff009943c70: 00e5feb0  adrp	x0, #0xfffffff0075e4000
0xfffffff009943c74: 00601191  add	x0, x0, #0x458
0xfffffff009943c78: 2542ad97  bl	#0xfffffff00849450c
0xfffffff009943c7c: 201aff90  adrp	x0, #0xfffffff007c87000
0xfffffff009943c80: 00003a91  add	x0, x0, #0xe80
0xfffffff009943c84: 1c4aa897  bl	#0xfffffff0083564f4
0xfffffff009943c88: e00b00f9  str	x0, [sp, #0x10]
0xfffffff009943c8c: e00b40f9  ldr	x0, [sp, #0x10]
0xfffffff009943c90: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009943c94: ffc30091  add	sp, sp, #0x30
0xfffffff009943c98: ff0f5fd6  retab	
0xfffffff009943c9c: 7f2303d5  pacibsp	
0xfffffff009943ca0: ff8300d1  sub	sp, sp, #0x20
0xfffffff009943ca4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009943ca8: fd430091  add	x29, sp, #0x10
0xfffffff009943cac: e00700f9  str	x0, [sp, #8]
0xfffffff009943cb0: e00740f9  ldr	x0, [sp, #8]
0xfffffff009943cb4: e00300f9  str	x0, [sp]
0xfffffff009943cb8: 3d050094  bl	#0xfffffff0099451ac
0xfffffff009943cbc: e00340f9  ldr	x0, [sp]
0xfffffff009943cc0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009943cc4: ff830091  add	sp, sp, #0x20
0xfffffff009943cc8: ff0f5fd6  retab	
0xfffffff009943ccc: 7f2303d5  pacibsp	
0xfffffff009943cd0: ffc300d1  sub	sp, sp, #0x30
0xfffffff009943cd4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009943cd8: fd830091  add	x29, sp, #0x20
0xfffffff009943cdc: e819fff0  adrp	x8, #0xfffffff007c82000
0xfffffff009943ce0: 08413b91  add	x8, x8, #0xed0
0xfffffff009943ce4: 09810091  add	x9, x8, #0x20
0xfffffff009943ce8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff009943cec: e10700f9  str	x1, [sp, #8]
0xfffffff009943cf0: e00b40f9  ldr	x0, [sp, #0x10]
0xfffffff009943cf4: e00300f9  str	x0, [sp]
0xfffffff009943cf8: 081140f9  ldr	x8, [x8, #0x20]
