; Candidate 1316
; ADRP+ADD at VM 0xfffffff00834c860 (fileoff 0x1348860): page=0x1fed57000 add_imm=0xd29

0xfffffff00834c7e0: 2a1440b9  ldr	w10, [x1, #0x14]
0xfffffff00834c7e4: 5ff10071  cmp	w10, #0x3c
0xfffffff00834c7e8: a3010054  b.lo	#0xfffffff00834c81c
0xfffffff00834c7ec: 0a0840f9  ldr	x10, [x0, #0x10]
0xfffffff00834c7f0: 4b1540f9  ldr	x11, [x10, #0x28]
0xfffffff00834c7f4: cb0100b4  cbz	x11, #0xfffffff00834c82c
0xfffffff00834c7f8: 73660011  add	w19, w19, #0x19
0xfffffff00834c7fc: 08000014  b	#0xfffffff00834c81c
0xfffffff00834c800: 081d40b9  ldr	w8, [x8, #0x1c]
0xfffffff00834c804: 73220011  add	w19, w19, #8
0xfffffff00834c808: 1f01096b  cmp	w8, w9
0xfffffff00834c80c: 80000054  b.eq	#0xfffffff00834c81c
0xfffffff00834c810: a06afff0  adrp	x0, #0xfffffff0070a3000
0xfffffff00834c814: 00a43491  add	x0, x0, #0xd29
0xfffffff00834c818: 3e5bfe97  bl	#0xfffffff0082e3510
0xfffffff00834c81c: e00313aa  mov	x0, x19
0xfffffff00834c820: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00834c824: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00834c828: ff0f5fd6  retab	
0xfffffff00834c82c: 13008052  mov	w19, #0
0xfffffff00834c830: 084143f8  ldur	x8, [x8, #0x34]
0xfffffff00834c834: 481500f9  str	x8, [x10, #0x28]
0xfffffff00834c838: 2866ff90  adrp	x8, #0xfffffff007010000
0xfffffff00834c83c: 007dc23d  ldr	q0, [x8, #0x9f0]
0xfffffff00834c840: 2041823c  stur	q0, [x9, #0x24]
0xfffffff00834c844: 88078052  mov	w8, #0x3c
0xfffffff00834c848: 280500b9  str	w8, [x9, #4]
0xfffffff00834c84c: 0866fff0  adrp	x8, #0xfffffff00700f000
0xfffffff00834c850: 008941fd  ldr	d0, [x8, #0x310]
0xfffffff00834c854: 20c101fc  stur	d0, [x9, #0x1c]
0xfffffff00834c858: 3f4103f8  stur	xzr, [x9, #0x34]
0xfffffff00834c85c: f0ffff17  b	#0xfffffff00834c81c
0xfffffff00834c860: a06afff0  adrp	x0, #0xfffffff0070a3000
0xfffffff00834c864: 00a43491  add	x0, x0, #0xd29
0xfffffff00834c868: 2a5bfe97  bl	#0xfffffff0082e3510
0xfffffff00834c86c: 200020d4  brk	#1
0xfffffff00834c870: 5f2403d5  bti	c
0xfffffff00834c874: 60f60090  adrp	x0, #0xfffffff00a218000
0xfffffff00834c878: 00a01b91  add	x0, x0, #0x6e8
0xfffffff00834c87c: c0035fd6  ret	
0xfffffff00834c880: 5f2403d5  bti	c
0xfffffff00834c884: e10300aa  mov	x1, x0
0xfffffff00834c888: 08008092  mov	x8, #-1
0xfffffff00834c88c: 080000f9  str	x8, [x0]
0xfffffff00834c890: 80b1ffd0  adrp	x0, #0xfffffff00797e000
0xfffffff00834c894: 00c01191  add	x0, x0, #0x470
0xfffffff00834c898: 02038052  mov	w2, #0x18
0xfffffff00834c89c: 806bfe17  b	#0xfffffff0082e769c
0xfffffff00834c8a0: 5f2403d5  bti	c
0xfffffff00834c8a4: 08008092  mov	x8, #-1
0xfffffff00834c8a8: 080000f9  str	x8, [x0]
0xfffffff00834c8ac: c0035fd6  ret	
0xfffffff00834c8b0: 7f2303d5  pacibsp	
0xfffffff00834c8b4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00834c8b8: fd030091  mov	x29, sp
0xfffffff00834c8bc: 88b1ffd0  adrp	x8, #0xfffffff00797e000
0xfffffff00834c8c0: 089d44b9  ldr	w8, [x8, #0x49c]
0xfffffff00834c8c4: 08511d12  and	w8, w8, #0xfffff8
0xfffffff00834c8c8: 1f610071  cmp	w8, #0x18
0xfffffff00834c8cc: 22010054  b.hs	#0xfffffff00834c8f0
0xfffffff00834c8d0: 00afffb0  adrp	x0, #0xfffffff00792d000
0xfffffff00834c8d4: 00c01c91  add	x0, x0, #0x730
0xfffffff00834c8d8: 01038052  mov	w1, #0x18
0xfffffff00834c8dc: 82008252  mov	w2, #0x1004
