; Candidate 944
; ADRP+ADD at VM 0xfffffff00810fea4 (fileoff 0x110bea4): page=0x1fef6b000 add_imm=0xe1c

0xfffffff00810fe24: 88070039  strb	w8, [x28, #1]
0xfffffff00810fe28: 800b0091  add	x0, x28, #2
0xfffffff00810fe2c: 28154039  ldrb	w8, [x9, #5]
0xfffffff00810fe30: 2801088b  add	x8, x9, x8
0xfffffff00810fe34: 01210091  add	x1, x8, #8
0xfffffff00810fe38: 828e4339  ldrb	w2, [x20, #0xe3]
0xfffffff00810fe3c: d5f2f097  bl	#0xfffffff007d4c990
0xfffffff00810fe40: 9c03198b  add	x28, x28, x25
0xfffffff00810fe44: e00318aa  mov	x0, x24
0xfffffff00810fe48: a551fa97  bl	#0xfffffff007fa44dc
0xfffffff00810fe4c: e00318aa  mov	x0, x24
0xfffffff00810fe50: 2850fa97  bl	#0xfffffff007fa3ef0
0xfffffff00810fe54: 98031acb  sub	x24, x28, x26
0xfffffff00810fe58: f81a00b9  str	w24, [x23, #0x18]
0xfffffff00810fe5c: f86200b9  str	w24, [x23, #0x60]
0xfffffff00810fe60: 683e4079  ldrh	w8, [x19, #0x1e]
0xfffffff00810fe64: 480b2837  tbnz	w8, #5, #0xfffffff00810ffcc
0xfffffff00810fe68: 7f0318eb  cmp	x27, x24
0xfffffff00810fe6c: 030b0054  b.lo	#0xfffffff00810ffcc
0xfffffff00810fe70: 686240b9  ldr	w8, [x19, #0x60]
0xfffffff00810fe74: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff00810fe78: 600240f9  ldr	x0, [x19]
0xfffffff00810fe7c: 1f01096b  cmp	w8, w9
0xfffffff00810fe80: 61020054  b.ne	#0xfffffff00810fecc
0xfffffff00810fe84: 600300b4  cbz	x0, #0xfffffff00810fef0
0xfffffff00810fe88: 08778152  mov	w8, #0xbb8
0xfffffff00810fe8c: 497bfff0  adrp	x9, #0xfffffff00707a000
0xfffffff00810fe90: 292d3791  add	x9, x9, #0xdcb
0xfffffff00810fe94: 4a7bfff0  adrp	x10, #0xfffffff00707a000
0xfffffff00810fe98: 4af93891  add	x10, x10, #0xe3e
0xfffffff00810fe9c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00810fea0: ea2300a9  stp	x10, x8, [sp]
0xfffffff00810fea4: 407bfff0  adrp	x0, #0xfffffff00707a000
0xfffffff00810fea8: 00703891  add	x0, x0, #0xe1c
0xfffffff00810feac: 98110e94  bl	#0xfffffff00849450c
0xfffffff00810feb0: e00318aa  mov	x0, x24
0xfffffff00810feb4: 0f50fa97  bl	#0xfffffff007fa3ef0
0xfffffff00810feb8: e00317aa  mov	x0, x23
0xfffffff00810febc: 7e2b0494  bl	#0xfffffff00821acb4
0xfffffff00810fec0: f70300aa  mov	x23, x0
0xfffffff00810fec4: a0ffffb5  cbnz	x0, #0xfffffff00810feb8
0xfffffff00810fec8: f2feff17  b	#0xfffffff00810fa90
0xfffffff00810fecc: e00000b4  cbz	x0, #0xfffffff00810fee8
0xfffffff00810fed0: 792b0494  bl	#0xfffffff00821acb4
0xfffffff00810fed4: e0ffffb5  cbnz	x0, #0xfffffff00810fed0
0xfffffff00810fed8: 7f0200f9  str	xzr, [x19]
0xfffffff00810fedc: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff00810fee0: 686200b9  str	w8, [x19, #0x60]
0xfffffff00810fee4: 03000014  b	#0xfffffff00810fef0
0xfffffff00810fee8: e80309aa  mov	x8, x9
0xfffffff00810feec: 696200b9  str	w9, [x19, #0x60]
0xfffffff00810fef0: 6903184b  sub	w9, w27, w24
0xfffffff00810fef4: 2a711d12  and	w10, w9, #0xfffffff8
0xfffffff00810fef8: 497d4093  sxtw	x9, w10
0xfffffff00810fefc: 2b2100d1  sub	x11, x9, #8
0xfffffff00810ff00: 097d4093  sxtw	x9, w8
0xfffffff00810ff04: 7f0109eb  cmp	x11, x9
0xfffffff00810ff08: 62000054  b.hs	#0xfffffff00810ff14
0xfffffff00810ff0c: e8030baa  mov	x8, x11
0xfffffff00810ff10: 21000014  b	#0xfffffff00810ff94
0xfffffff00810ff14: ea03086b  negs	w10, w8
0xfffffff00810ff18: 4a090012  and	w10, w10, #7
0xfffffff00810ff1c: 0b090012  and	w11, w8, #7
0xfffffff00810ff20: 6a458a5a  csneg	w10, w11, w10, mi
