; Candidate 7030
; ADRP+ADD at VM 0xfffffff008851d08 (fileoff 0x184dd08): page=0x1fe998000 add_imm=0xe80

0xfffffff008851c88: 41018052  mov	w1, #0xa
0xfffffff008851c8c: 04008012  mov	w4, #-1
0xfffffff008851c90: 050080d2  mov	x5, #0
0xfffffff008851c94: 9cb0e497  bl	#0xfffffff00817df04
0xfffffff008851c98: c1feff17  b	#0xfffffff00885179c
0xfffffff008851c9c: 44890194  bl	#0xfffffff0088b41ac
0xfffffff008851ca0: f70300aa  mov	x23, x0
0xfffffff008851ca4: 80008052  mov	w0, #4
0xfffffff008851ca8: eaa60094  bl	#0xfffffff00887b850
0xfffffff008851cac: e80316aa  mov	x8, x22
0xfffffff008851cb0: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008851cb4: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008851cb8: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff008851cbc: 4c018052  mov	w12, #0xa
0xfffffff008851cc0: ec2307a9  stp	x12, x8, [sp, #0x70]
0xfffffff008851cc4: eb5706a9  stp	x11, x21, [sp, #0x60]
0xfffffff008851cc8: ea6705a9  stp	x10, x25, [sp, #0x50]
0xfffffff008851ccc: e95304a9  stp	x9, x20, [sp, #0x40]
0xfffffff008851cd0: e84dfff0  adrp	x8, #0xfffffff007210000
0xfffffff008851cd4: 08b92791  add	x8, x8, #0x9ee
0xfffffff008851cd8: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008851cdc: a86b8052  mov	w8, #0x35d
0xfffffff008851ce0: a94effb0  adrp	x9, #0xfffffff007226000
0xfffffff008851ce4: 29bd1891  add	x9, x9, #0x62f
0xfffffff008851ce8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008851cec: a84effd0  adrp	x8, #0xfffffff007227000
0xfffffff008851cf0: 08811191  add	x8, x8, #0x460
0xfffffff008851cf4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008851cf8: e80d8052  mov	w8, #0x6f
0xfffffff008851cfc: 0350ffd0  adrp	x3, #0xfffffff007253000
0xfffffff008851d00: 630c0191  add	x3, x3, #0x43
0xfffffff008851d04: f72300a9  stp	x23, x8, [sp]
0xfffffff008851d08: c04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008851d0c: 00003a91  add	x0, x0, #0xe80
0xfffffff008851d10: a18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008851d14: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008851d18: 02008052  mov	w2, #0
0xfffffff008851d1c: 0585eb97  bl	#0xfffffff008333130
0xfffffff008851d20: 9afeff17  b	#0xfffffff008851788
0xfffffff008851d24: 7f2303d5  pacibsp	
0xfffffff008851d28: ff8303d1  sub	sp, sp, #0xe0
0xfffffff008851d2c: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff008851d30: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff008851d34: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff008851d38: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff008851d3c: fd430391  add	x29, sp, #0xd0
0xfffffff008851d40: f50302aa  mov	x21, x2
0xfffffff008851d44: f40301aa  mov	x20, x1
0xfffffff008851d48: f30300aa  mov	x19, x0
0xfffffff008851d4c: bf7f3ca9  stp	xzr, xzr, [x29, #-0x40]
0xfffffff008851d50: bf831bf8  stur	xzr, [x29, #-0x48]
0xfffffff008851d54: e00d8052  mov	w0, #0x6f
0xfffffff008851d58: e1008052  mov	w1, #7
0xfffffff008851d5c: 9da60094  bl	#0xfffffff00887b7d0
0xfffffff008851d60: e0020034  cbz	w0, #0xfffffff008851dbc
0xfffffff008851d64: e00d8052  mov	w0, #0x6f
0xfffffff008851d68: aca60094  bl	#0xfffffff00887b818
0xfffffff008851d6c: f70300aa  mov	x23, x0
0xfffffff008851d70: 0f890194  bl	#0xfffffff0088b41ac
0xfffffff008851d74: f60300aa  mov	x22, x0
0xfffffff008851d78: e0008052  mov	w0, #7
0xfffffff008851d7c: b5a60094  bl	#0xfffffff00887b850
0xfffffff008851d80: 77070034  cbz	w23, #0xfffffff008851e6c
0xfffffff008851d84: 684240b9  ldr	w8, [x19, #0x40]
