; Candidate 6468
; ADRP+ADD at VM 0xfffffff00882cfb4 (fileoff 0x1828fb4): page=0x1fe9bd000 add_imm=0xe80

0xfffffff00882cf34: 273a0194  bl	#0xfffffff00887b7d0
0xfffffff00882cf38: e0040034  cbz	w0, #0xfffffff00882cfd4
0xfffffff00882cf3c: 400f8052  mov	w0, #0x7a
0xfffffff00882cf40: 363a0194  bl	#0xfffffff00887b818
0xfffffff00882cf44: f60300aa  mov	x22, x0
0xfffffff00882cf48: 991c0294  bl	#0xfffffff0088b41ac
0xfffffff00882cf4c: f50300aa  mov	x21, x0
0xfffffff00882cf50: 00018052  mov	w0, #8
0xfffffff00882cf54: 3f3a0194  bl	#0xfffffff00887b850
0xfffffff00882cf58: 96010034  cbz	w22, #0xfffffff00882cf88
0xfffffff00882cf5c: f4ff02a9  stp	x20, xzr, [sp, #0x28]
0xfffffff00882cf60: a84fffd0  adrp	x8, #0xfffffff007222000
0xfffffff00882cf64: 08151291  add	x8, x8, #0x485
0xfffffff00882cf68: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00882cf6c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00882cf70: 480f8052  mov	w8, #0x7a
0xfffffff00882cf74: 204ffff0  adrp	x0, #0xfffffff007213000
0xfffffff00882cf78: 00b43791  add	x0, x0, #0xded
0xfffffff00882cf7c: f52300a9  stp	x21, x8, [sp]
0xfffffff00882cf80: 3829d697  bl	#0xfffffff007db7460
0xfffffff00882cf84: 14000014  b	#0xfffffff00882cfd4
0xfffffff00882cf88: 891c0294  bl	#0xfffffff0088b41ac
0xfffffff00882cf8c: f50300aa  mov	x21, x0
0xfffffff00882cf90: 00018052  mov	w0, #8
0xfffffff00882cf94: 2f3a0194  bl	#0xfffffff00887b850
0xfffffff00882cf98: f4ff02a9  stp	x20, xzr, [sp, #0x28]
0xfffffff00882cf9c: a84fffd0  adrp	x8, #0xfffffff007222000
0xfffffff00882cfa0: 08151291  add	x8, x8, #0x485
0xfffffff00882cfa4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00882cfa8: 480f8052  mov	w8, #0x7a
0xfffffff00882cfac: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00882cfb0: f50300f9  str	x21, [sp]
0xfffffff00882cfb4: e04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882cfb8: 00003a91  add	x0, x0, #0xe80
0xfffffff00882cfbc: e18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00882cfc0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882cfc4: 0351ff90  adrp	x3, #0xfffffff00724c000
0xfffffff00882cfc8: 63c41e91  add	x3, x3, #0x7b1
0xfffffff00882cfcc: 02008052  mov	w2, #0
0xfffffff00882cfd0: 5818ec97  bl	#0xfffffff008333130
0xfffffff00882cfd4: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff00882cfd8: e98eff90  adrp	x9, #0xfffffff007a08000
0xfffffff00882cfdc: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff00882cfe0: 290140f9  ldr	x9, [x9]
0xfffffff00882cfe4: 3f0108eb  cmp	x9, x8
0xfffffff00882cfe8: 01010054  b.ne	#0xfffffff00882d008
0xfffffff00882cfec: 00008052  mov	w0, #0
0xfffffff00882cff0: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff00882cff4: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff00882cff8: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff00882cffc: fc6f4da9  ldp	x28, x27, [sp, #0xd0]
0xfffffff00882d000: ff430491  add	sp, sp, #0x110
0xfffffff00882d004: ff0f5fd6  retab	
0xfffffff00882d008: 91c3d497  bl	#0xfffffff007d5de4c
0xfffffff00882d00c: 7f2303d5  pacibsp	
0xfffffff00882d010: ff4305d1  sub	sp, sp, #0x150
0xfffffff00882d014: f85f11a9  stp	x24, x23, [sp, #0x110]
0xfffffff00882d018: f65712a9  stp	x22, x21, [sp, #0x120]
0xfffffff00882d01c: f44f13a9  stp	x20, x19, [sp, #0x130]
0xfffffff00882d020: fd7b14a9  stp	x29, x30, [sp, #0x140]
0xfffffff00882d024: fd030591  add	x29, sp, #0x140
0xfffffff00882d028: f50302aa  mov	x21, x2
0xfffffff00882d02c: f40301aa  mov	x20, x1
0xfffffff00882d030: f30300aa  mov	x19, x0
