; Candidate 10200
; ADRP+ADD at VM 0xfffffff008cc0d70 (fileoff 0x1cbcd70): page=0x1fe69d000 add_imm=0xe87

0xfffffff008cc0cf0: 901bc1da  autda	x16, x28
0xfffffff008cc0cf4: 11f280d2  mov	x17, #0x790
0xfffffff008cc0cf8: 1002118b  add	x16, x16, x17
0xfffffff008cc0cfc: 080240f9  ldr	x8, [x16]
0xfffffff008cc0d00: e90310aa  mov	x9, x16
0xfffffff008cc0d04: e2e30191  add	x2, sp, #0x78
0xfffffff008cc0d08: e00313aa  mov	x0, x19
0xfffffff008cc0d0c: 61008052  mov	w1, #3
0xfffffff008cc0d10: a3008052  mov	w3, #5
0xfffffff008cc0d14: f10309aa  mov	x17, x9
0xfffffff008cc0d18: f190e2f2  movk	x17, #0x1487, lsl #48
0xfffffff008cc0d1c: 11093fd7  blraa	x8, x17
0xfffffff008cc0d20: c0030034  cbz	w0, #0xfffffff008cc0d98
0xfffffff008cc0d24: f70300aa  mov	x23, x0
0xfffffff008cc0d28: c80240b9  ldr	w8, [x22]
0xfffffff008cc0d2c: 081f1836  tbz	w8, #3, #0xfffffff008cc110c
0xfffffff008cc0d30: 09050012  and	w9, w8, #3
0xfffffff008cc0d34: c91e0034  cbz	w9, #0xfffffff008cc110c
0xfffffff008cc0d38: 48020036  tbz	w8, #0, #0xfffffff008cc0d80
0xfffffff008cc0d3c: 654dc897  bl	#0xfffffff007ed42d0
0xfffffff008cc0d40: ff4300f9  str	xzr, [sp, #0x80]
0xfffffff008cc0d44: e1030291  add	x1, sp, #0x80
0xfffffff008cc0d48: be4ec897  bl	#0xfffffff007ed4840
0xfffffff008cc0d4c: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff008cc0d50: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cc0d54: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cc0d58: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cc0d5c: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cc0d60: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cc0d64: 087dc99b  umulh	x8, x8, x9
0xfffffff008cc0d68: 08fd44d3  lsr	x8, x8, #4
0xfffffff008cc0d6c: e84f00a9  stp	x8, x19, [sp]
0xfffffff008cc0d70: e034ffb0  adrp	x0, #0xfffffff00735d000
0xfffffff008cc0d74: 001c3a91  add	x0, x0, #0xe87
0xfffffff008cc0d78: f6b9de97  bl	#0xfffffff00846f550
0xfffffff008cc0d7c: c80240b9  ldr	w8, [x22]
0xfffffff008cc0d80: 681c0836  tbz	w8, #1, #0xfffffff008cc110c
0xfffffff008cc0d84: f30300f9  str	x19, [sp]
0xfffffff008cc0d88: e034ffb0  adrp	x0, #0xfffffff00735d000
0xfffffff008cc0d8c: 00283b91  add	x0, x0, #0xeca
0xfffffff008cc0d90: a458da97  bl	#0xfffffff008357020
0xfffffff008cc0d94: de000014  b	#0xfffffff008cc110c
0xfffffff008cc0d98: f99347b8  ldur	w25, [sp, #0x79]
0xfffffff008cc0d9c: c80240b9  ldr	w8, [x22]
0xfffffff008cc0da0: c8041836  tbz	w8, #3, #0xfffffff008cc0e38
0xfffffff008cc0da4: 09050012  and	w9, w8, #3
0xfffffff008cc0da8: 89040034  cbz	w9, #0xfffffff008cc0e38
0xfffffff008cc0dac: 08030036  tbz	w8, #0, #0xfffffff008cc0e0c
0xfffffff008cc0db0: 484dc897  bl	#0xfffffff007ed42d0
0xfffffff008cc0db4: ff4300f9  str	xzr, [sp, #0x80]
0xfffffff008cc0db8: e1030291  add	x1, sp, #0x80
0xfffffff008cc0dbc: a14ec897  bl	#0xfffffff007ed4840
0xfffffff008cc0dc0: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff008cc0dc4: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cc0dc8: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cc0dcc: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cc0dd0: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cc0dd4: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cc0dd8: 087dc99b  umulh	x8, x8, x9
0xfffffff008cc0ddc: 08fd44d3  lsr	x8, x8, #4
0xfffffff008cc0de0: e9e74139  ldrb	w9, [sp, #0x79]
0xfffffff008cc0de4: eaeb4139  ldrb	w10, [sp, #0x7a]
0xfffffff008cc0de8: ebef4139  ldrb	w11, [sp, #0x7b]
0xfffffff008cc0dec: ecf34139  ldrb	w12, [sp, #0x7c]
