; Candidate 15323
; ADRP+ADD at VM 0xfffffff009b4f5e8 (fileoff 0x2b4b5e8): page=0x1fdad9000 add_imm=0xed0

0xfffffff009b4f568: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b4f56c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b4f570: e00314aa  mov	x0, x20
0xfffffff009b4f574: 010080d2  mov	x1, #0
0xfffffff009b4f578: f10308aa  mov	x17, x8
0xfffffff009b4f57c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4f580: 31093fd7  blraa	x9, x17
0xfffffff009b4f584: f80300aa  mov	x24, x0
0xfffffff009b4f588: 900240f9  ldr	x16, [x20]
0xfffffff009b4f58c: f10314aa  mov	x17, x20
0xfffffff009b4f590: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4f594: 301ac1da  autda	x16, x17
0xfffffff009b4f598: f10310aa  mov	x17, x16
0xfffffff009b4f59c: f147c1da  xpacd	x17
0xfffffff009b4f5a0: 1f0211eb  cmp	x16, x17
0xfffffff009b4f5a4: 40000054  b.eq	#0xfffffff009b4f5ac
0xfffffff009b4f5a8: 408e38d4  brk	#0xc472
0xfffffff009b4f5ac: 08620891  add	x8, x16, #0x218
0xfffffff009b4f5b0: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4f5b4: e00314aa  mov	x0, x20
0xfffffff009b4f5b8: 010080d2  mov	x1, #0
0xfffffff009b4f5bc: f10308aa  mov	x17, x8
0xfffffff009b4f5c0: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4f5c4: 31093fd7  blraa	x9, x17
0xfffffff009b4f5c8: e803132a  mov	w8, w19
0xfffffff009b4f5cc: e85702a9  stp	x8, x21, [sp, #0x20]
0xfffffff009b4f5d0: c8d6fef0  adrp	x8, #0xfffffff00762a000
0xfffffff009b4f5d4: 089d2a91  add	x8, x8, #0xaa7
0xfffffff009b4f5d8: c9d6fed0  adrp	x9, #0xfffffff007629000
0xfffffff009b4f5dc: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b4f5e0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b4f5e4: f80300a9  stp	x24, x0, [sp]
0xfffffff009b4f5e8: c0d6feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b4f5ec: 00403b91  add	x0, x0, #0xed0
0xfffffff009b4f5f0: e3d6feb0  adrp	x3, #0xfffffff00762c000
0xfffffff009b4f5f4: 63982091  add	x3, x3, #0x826
0xfffffff009b4f5f8: e10317aa  mov	x1, x23
0xfffffff009b4f5fc: e20316aa  mov	x2, x22
0xfffffff009b4f600: cc8e9f97  bl	#0xfffffff008333130
0xfffffff009b4f604: 888e41f9  ldr	x8, [x20, #0x318]
0xfffffff009b4f608: 3a010035  cbnz	w26, #0xfffffff009b4f62c
0xfffffff009b4f60c: 0904a052  mov	w9, #0x200000
0xfffffff009b4f610: 091500b9  str	w9, [x8, #0x14]
0xfffffff009b4f614: d3010034  cbz	w19, #0xfffffff009b4f64c
0xfffffff009b4f618: 292b40f9  ldr	x9, [x25, #0x50]
0xfffffff009b4f61c: 3f0d00b9  str	wzr, [x9, #0xc]
0xfffffff009b4f620: 091940b9  ldr	w9, [x8, #0x18]
0xfffffff009b4f624: 29010b32  orr	w9, w9, #0x200000
0xfffffff009b4f628: 0e000014  b	#0xfffffff009b4f660
0xfffffff009b4f62c: 0902a052  mov	w9, #0x100000
0xfffffff009b4f630: 091500b9  str	w9, [x8, #0x14]
0xfffffff009b4f634: 33010034  cbz	w19, #0xfffffff009b4f658
0xfffffff009b4f638: 292b40f9  ldr	x9, [x25, #0x50]
0xfffffff009b4f63c: 3f0d00b9  str	wzr, [x9, #0xc]
0xfffffff009b4f640: 091940b9  ldr	w9, [x8, #0x18]
0xfffffff009b4f644: 29010c32  orr	w9, w9, #0x100000
0xfffffff009b4f648: 06000014  b	#0xfffffff009b4f660
0xfffffff009b4f64c: 091940b9  ldr	w9, [x8, #0x18]
0xfffffff009b4f650: 29790a12  and	w9, w9, #0xffdfffff
0xfffffff009b4f654: 03000014  b	#0xfffffff009b4f660
0xfffffff009b4f658: 091940b9  ldr	w9, [x8, #0x18]
0xfffffff009b4f65c: 29790b12  and	w9, w9, #0xffefffff
0xfffffff009b4f660: 091900b9  str	w9, [x8, #0x18]
0xfffffff009b4f664: fd7b47a9  ldp	x29, x30, [sp, #0x70]
