; Candidate 13884
; ADRP+ADD at VM 0xfffffff0095e96ec (fileoff 0x25e56ec): page=0x1fe613000 add_imm=0xd40

0xfffffff0095e966c: f10300aa  mov	x17, x0
0xfffffff0095e9670: d1a3e0f2  movk	x17, #0x51e, lsl #48
0xfffffff0095e9674: 301ac1da  autda	x16, x17
0xfffffff0095e9678: 080e43f8  ldr	x8, [x16, #0x30]!
0xfffffff0095e967c: e90310aa  mov	x9, x16
0xfffffff0095e9680: f10309aa  mov	x17, x9
0xfffffff0095e9684: 1185e8f2  movk	x17, #0x4428, lsl #48
0xfffffff0095e9688: 11093fd7  blraa	x8, x17
0xfffffff0095e968c: 00090036  tbz	w0, #0, #0xfffffff0095e97ac
0xfffffff0095e9690: 68b640f9  ldr	x8, [x19, #0x168]
0xfffffff0095e9694: 480100b4  cbz	x8, #0xfffffff0095e96bc
0xfffffff0095e9698: 69b240f9  ldr	x9, [x19, #0x160]
0xfffffff0095e969c: 2b0140f9  ldr	x11, [x9]
0xfffffff0095e96a0: ea0308aa  mov	x10, x8
0xfffffff0095e96a4: 4b0d02f8  str	x11, [x10, #0x20]!
0xfffffff0095e96a8: 4b0000b5  cbnz	x11, #0xfffffff0095e96b0
0xfffffff0095e96ac: 2a0500f9  str	x10, [x9, #8]
0xfffffff0095e96b0: 280100f9  str	x8, [x9]
0xfffffff0095e96b4: 7fb600f9  str	xzr, [x19, #0x168]
0xfffffff0095e96b8: 7fc20539  strb	wzr, [x19, #0x170]
0xfffffff0095e96bc: 702240b9  ldr	w16, [x19, #0x20]
0xfffffff0095e96c0: 1f120071  cmp	w16, #4
0xfffffff0095e96c4: 68070054  b.hi	#0xfffffff0095e97b0
0xfffffff0095e96c8: 1f1200f1  cmp	x16, #4
0xfffffff0095e96cc: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff0095e96d0: 11000090  adrp	x17, #0xfffffff0095e9000
0xfffffff0095e96d4: 31321f91  add	x17, x17, #0x7cc
0xfffffff0095e96d8: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff0095e96dc: 11000010  adr	x17, #0xfffffff0095e96dc
0xfffffff0095e96e0: 3002108b  add	x16, x17, x16
0xfffffff0095e96e4: 00021fd6  br	x16
0xfffffff0095e96e8: 9f2403d5  bti	j
0xfffffff0095e96ec: 8030fff0  adrp	x0, #0xfffffff007bfc000
0xfffffff0095e96f0: 00003591  add	x0, x0, #0xd40
0xfffffff0095e96f4: 80b3b597  bl	#0xfffffff0083564f4
0xfffffff0095e96f8: e00100b4  cbz	x0, #0xfffffff0095e9734
0xfffffff0095e96fc: 10000090  adrp	x16, #0xfffffff0095e9000
0xfffffff0095e9700: 10821f91  add	x16, x16, #0x7e0
0xfffffff0095e9704: f1a09ad2  mov	x17, #0xd507
0xfffffff0095e9708: 3002c1da  pacia	x16, x17
0xfffffff0095e970c: 100000a9  stp	x16, x0, [x0]
0xfffffff0095e9710: 28008052  mov	w8, #1
0xfffffff0095e9714: 081000b9  str	w8, [x0, #0x10]
0xfffffff0095e9718: 68b240f9  ldr	x8, [x19, #0x160]
0xfffffff0095e971c: 0a0140f9  ldr	x10, [x8]
0xfffffff0095e9720: e90300aa  mov	x9, x0
0xfffffff0095e9724: 2a0d02f8  str	x10, [x9, #0x20]!
0xfffffff0095e9728: 4a0000b5  cbnz	x10, #0xfffffff0095e9730
0xfffffff0095e972c: 090500f9  str	x9, [x8, #8]
0xfffffff0095e9730: 000100f9  str	x0, [x8]
0xfffffff0095e9734: 9f2403d5  bti	j
0xfffffff0095e9738: 700240f9  ldr	x16, [x19]
0xfffffff0095e973c: f10313aa  mov	x17, x19
0xfffffff0095e9740: b1c0fdf2  movk	x17, #0xee05, lsl #48
0xfffffff0095e9744: 301ac1da  autda	x16, x17
0xfffffff0095e9748: 112d80d2  mov	x17, #0x168
0xfffffff0095e974c: 1002118b  add	x16, x16, x17
0xfffffff0095e9750: 080240f9  ldr	x8, [x16]
0xfffffff0095e9754: e90310aa  mov	x9, x16
0xfffffff0095e9758: e00313aa  mov	x0, x19
0xfffffff0095e975c: f10309aa  mov	x17, x9
0xfffffff0095e9760: 7123e6f2  movk	x17, #0x311b, lsl #48
0xfffffff0095e9764: 11093fd7  blraa	x8, x17
0xfffffff0095e9768: 700240f9  ldr	x16, [x19]
