; Candidate 9269
; ADRP+ADD at VM 0xfffffff008a1e9cc (fileoff 0x1a1a9cc): page=0x1fe87b000 add_imm=0xe40

0xfffffff008a1e94c: 3b000014  b	#0xfffffff008a1ea38
0xfffffff008a1e950: b4578052  mov	w20, #0x2bd
0xfffffff008a1e954: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008a1e958: 700240f9  ldr	x16, [x19]
0xfffffff008a1e95c: f10313aa  mov	x17, x19
0xfffffff008a1e960: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a1e964: 301ac1da  autda	x16, x17
0xfffffff008a1e968: 113d80d2  mov	x17, #0x1e8
0xfffffff008a1e96c: 1002118b  add	x16, x16, x17
0xfffffff008a1e970: 080240f9  ldr	x8, [x16]
0xfffffff008a1e974: e90310aa  mov	x9, x16
0xfffffff008a1e978: e00313aa  mov	x0, x19
0xfffffff008a1e97c: 010080d2  mov	x1, #0
0xfffffff008a1e980: f10309aa  mov	x17, x9
0xfffffff008a1e984: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a1e988: 11093fd7  blraa	x8, x17
0xfffffff008a1e98c: 700240f9  ldr	x16, [x19]
0xfffffff008a1e990: f10313aa  mov	x17, x19
0xfffffff008a1e994: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a1e998: 301ac1da  autda	x16, x17
0xfffffff008a1e99c: 113d80d2  mov	x17, #0x1e8
0xfffffff008a1e9a0: 1002118b  add	x16, x16, x17
0xfffffff008a1e9a4: 080240f9  ldr	x8, [x16]
0xfffffff008a1e9a8: e90310aa  mov	x9, x16
0xfffffff008a1e9ac: e00313aa  mov	x0, x19
0xfffffff008a1e9b0: 010080d2  mov	x1, #0
0xfffffff008a1e9b4: f10309aa  mov	x17, x9
0xfffffff008a1e9b8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a1e9bc: 11093fd7  blraa	x8, x17
0xfffffff008a1e9c0: f543ffd0  adrp	x21, #0xfffffff00729c000
0xfffffff008a1e9c4: b5f21091  add	x21, x21, #0x43c
0xfffffff008a1e9c8: e05700a9  stp	x0, x21, [sp]
0xfffffff008a1e9cc: c043fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a1e9d0: 00003991  add	x0, x0, #0xe40
0xfffffff008a1e9d4: 6181ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a1e9d8: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a1e9dc: 0344ffb0  adrp	x3, #0xfffffff00729f000
0xfffffff008a1e9e0: 63203091  add	x3, x3, #0xc08
0xfffffff008a1e9e4: 02028052  mov	w2, #0x10
0xfffffff008a1e9e8: d251e497  bl	#0xfffffff008333130
0xfffffff008a1e9ec: 700240f9  ldr	x16, [x19]
0xfffffff008a1e9f0: f10313aa  mov	x17, x19
0xfffffff008a1e9f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a1e9f8: 301ac1da  autda	x16, x17
0xfffffff008a1e9fc: f10310aa  mov	x17, x16
0xfffffff008a1ea00: f147c1da  xpacd	x17
0xfffffff008a1ea04: 1f0211eb  cmp	x16, x17
0xfffffff008a1ea08: 40000054  b.eq	#0xfffffff008a1ea10
0xfffffff008a1ea0c: 408e38d4  brk	#0xc472
0xfffffff008a1ea10: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a1ea14: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a1ea18: e00313aa  mov	x0, x19
0xfffffff008a1ea1c: 010080d2  mov	x1, #0
0xfffffff008a1ea20: f10308aa  mov	x17, x8
0xfffffff008a1ea24: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a1ea28: 31093fd7  blraa	x9, x17
0xfffffff008a1ea2c: e05700a9  stp	x0, x21, [sp]
0xfffffff008a1ea30: e043ffd0  adrp	x0, #0xfffffff00729c000
0xfffffff008a1ea34: 00401191  add	x0, x0, #0x450
0xfffffff008a1ea38: 7ae1e497  bl	#0xfffffff008357020
0xfffffff008a1ea3c: 6bffff17  b	#0xfffffff008a1e7e8
0xfffffff008a1ea40: 5f2403d5  bti	c
0xfffffff008a1ea44: 00804639  ldrb	w0, [x0, #0x1a0]
0xfffffff008a1ea48: c0035fd6  ret	
