; Candidate 2363
; ADRP+ADD at VM 0xfffffff008627de4 (fileoff 0x1623de4): page=0x1feae5000 add_imm=0xe8c

0xfffffff008627d64: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff008627d68: 100040f9  ldr	x16, [x0]
0xfffffff008627d6c: f10300aa  mov	x17, x0
0xfffffff008627d70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008627d74: 301ac1da  autda	x16, x17
0xfffffff008627d78: f10310aa  mov	x17, x16
0xfffffff008627d7c: f147c1da  xpacd	x17
0xfffffff008627d80: 1f0211eb  cmp	x16, x17
0xfffffff008627d84: 40000054  b.eq	#0xfffffff008627d8c
0xfffffff008627d88: 408e38d4  brk	#0xc472
0xfffffff008627d8c: 48010034  cbz	w8, #0xfffffff008627db4
0xfffffff008627d90: 08a21891  add	x8, x16, #0x628
0xfffffff008627d94: 091643f9  ldr	x9, [x16, #0x628]
0xfffffff008627d98: f10308aa  mov	x17, x8
0xfffffff008627d9c: 71adeef2  movk	x17, #0x756b, lsl #48
0xfffffff008627da0: 31093fd7  blraa	x9, x17
0xfffffff008627da4: b4820011  add	w20, w21, #0x20
0xfffffff008627da8: 0857fff0  adrp	x8, #0xfffffff00710a000
0xfffffff008627dac: 08a52691  add	x8, x8, #0x9a9
0xfffffff008627db0: 0a000014  b	#0xfffffff008627dd8
0xfffffff008627db4: 08c21891  add	x8, x16, #0x630
0xfffffff008627db8: 091a43f9  ldr	x9, [x16, #0x630]
0xfffffff008627dbc: f10308aa  mov	x17, x8
0xfffffff008627dc0: 1125e3f2  movk	x17, #0x1928, lsl #48
0xfffffff008627dc4: 31093fd7  blraa	x9, x17
0xfffffff008627dc8: 0857fff0  adrp	x8, #0xfffffff00710a000
0xfffffff008627dcc: 08b12691  add	x8, x8, #0x9ac
0xfffffff008627dd0: 14428052  mov	w20, #0x210
0xfffffff008627dd4: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008627dd8: 2957ffb0  adrp	x9, #0xfffffff00710c000
0xfffffff008627ddc: 29493b91  add	x9, x9, #0xed2
0xfffffff008627de0: e92300a9  stp	x9, x8, [sp]
0xfffffff008627de4: 2057ffb0  adrp	x0, #0xfffffff00710c000
0xfffffff008627de8: 00303a91  add	x0, x0, #0xe8c
0xfffffff008627dec: 510b0094  bl	#0xfffffff00862ab30
0xfffffff008627df0: 700240f9  ldr	x16, [x19]
0xfffffff008627df4: f10313aa  mov	x17, x19
0xfffffff008627df8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008627dfc: 301ac1da  autda	x16, x17
0xfffffff008627e00: f10310aa  mov	x17, x16
0xfffffff008627e04: f147c1da  xpacd	x17
0xfffffff008627e08: 1f0211eb  cmp	x16, x17
0xfffffff008627e0c: 40000054  b.eq	#0xfffffff008627e14
0xfffffff008627e10: 408e38d4  brk	#0xc472
0xfffffff008627e14: 08c21091  add	x8, x16, #0x430
0xfffffff008627e18: 091a42f9  ldr	x9, [x16, #0x430]
0xfffffff008627e1c: a1820351  sub	w1, w21, #0xe0
0xfffffff008627e20: e00313aa  mov	x0, x19
0xfffffff008627e24: 020080d2  mov	x2, #0
0xfffffff008627e28: 030080d2  mov	x3, #0
0xfffffff008627e2c: f10308aa  mov	x17, x8
0xfffffff008627e30: 9178ecf2  movk	x17, #0x63c4, lsl #48
0xfffffff008627e34: 31093fd7  blraa	x9, x17
0xfffffff008627e38: 700240f9  ldr	x16, [x19]
0xfffffff008627e3c: f10313aa  mov	x17, x19
0xfffffff008627e40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008627e44: 301ac1da  autda	x16, x17
0xfffffff008627e48: f10310aa  mov	x17, x16
0xfffffff008627e4c: f147c1da  xpacd	x17
0xfffffff008627e50: 1f0211eb  cmp	x16, x17
0xfffffff008627e54: 40000054  b.eq	#0xfffffff008627e5c
0xfffffff008627e58: 408e38d4  brk	#0xc472
0xfffffff008627e5c: 04c21091  add	x4, x16, #0x430
0xfffffff008627e60: 101a42f9  ldr	x16, [x16, #0x430]
