; Candidate 4040
; ADRP+ADD at VM 0xfffffff008789b0c (fileoff 0x1785b0c): page=0x1fe9a8000 add_imm=0xd90

0xfffffff008789a8c: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008789a90: 170940f9  ldr	x23, [x8, #0x10]
0xfffffff008789a94: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff008789a98: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff008789a9c: c90100b4  cbz	x9, #0xfffffff008789ad4
0xfffffff008789aa0: e9e18052  mov	w9, #0x70f
0xfffffff008789aa4: 284effd0  adrp	x8, #0xfffffff00714f000
0xfffffff008789aa8: 08b90a91  add	x8, x8, #0x2ae
0xfffffff008789aac: e82700a9  stp	x8, x9, [sp]
0xfffffff008789ab0: 404dff90  adrp	x0, #0xfffffff007131000
0xfffffff008789ab4: 00403691  add	x0, x0, #0xd90
0xfffffff008789ab8: a193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008789abc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008789ac0: 02008052  mov	w2, #0
0xfffffff008789ac4: e34dff90  adrp	x3, #0xfffffff007145000
0xfffffff008789ac8: 63e03191  add	x3, x3, #0xc78
0xfffffff008789acc: 99a5ee97  bl	#0xfffffff008333130
0xfffffff008789ad0: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff008789ad4: e94228ab  adds	x9, x23, w8, uxtw
0xfffffff008789ad8: 42050054  b.hs	#0xfffffff008789b80
0xfffffff008789adc: 298d60d3  ubfx	x9, x9, #0x20, #4
0xfffffff008789ae0: 29030079  strh	w9, [x25]
0xfffffff008789ae4: e91740f9  ldr	x9, [sp, #0x28]
0xfffffff008789ae8: 370940f9  ldr	x23, [x9, #0x10]
0xfffffff008789aec: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff008789af0: 690000b5  cbnz	x9, #0xfffffff008789afc
0xfffffff008789af4: 087d4092  and	x8, x8, #0xffffffff
0xfffffff008789af8: 0e000014  b	#0xfffffff008789b30
0xfffffff008789afc: 09e28052  mov	w9, #0x710
0xfffffff008789b00: 284effd0  adrp	x8, #0xfffffff00714f000
0xfffffff008789b04: 08b90a91  add	x8, x8, #0x2ae
0xfffffff008789b08: e82700a9  stp	x8, x9, [sp]
0xfffffff008789b0c: 404dff90  adrp	x0, #0xfffffff007131000
0xfffffff008789b10: 00403691  add	x0, x0, #0xd90
0xfffffff008789b14: a193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008789b18: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008789b1c: 02008052  mov	w2, #0
0xfffffff008789b20: e34dff90  adrp	x3, #0xfffffff007145000
0xfffffff008789b24: 63b03291  add	x3, x3, #0xcac
0xfffffff008789b28: 82a5ee97  bl	#0xfffffff008333130
0xfffffff008789b2c: e82340b9  ldr	w8, [sp, #0x20]
0xfffffff008789b30: e80208ab  adds	x8, x23, x8
0xfffffff008789b34: 62020054  b.hs	#0xfffffff008789b80
0xfffffff008789b38: 282300b8  stur	w8, [x25, #2]
0xfffffff008789b3c: 366300b8  stur	w22, [x25, #6]
0xfffffff008789b40: e8889f92  mov	x8, #-0xfc48
0xfffffff008789b44: 0800b0f2  movk	x8, #0x8000, lsl #16
0xfffffff008789b48: 6802088b  add	x8, x19, x8
0xfffffff008789b4c: 2900c092  mov	x9, #-0x100000001
0xfffffff008789b50: 1f0109eb  cmp	x8, x9
0xfffffff008789b54: 29040054  b.ls	#0xfffffff008789bd8
0xfffffff008789b58: 0877c0d2  mov	x8, #0x3b800000000
0xfffffff008789b5c: 7b03088b  add	x27, x27, x8
0xfffffff008789b60: b5060091  add	x21, x21, #1
0xfffffff008789b64: 18231891  add	x24, x24, #0x608
0xfffffff008789b68: 39b30091  add	x25, x25, #0x2c
0xfffffff008789b6c: 9f0315eb  cmp	x28, x21
0xfffffff008789b70: 41f5ff54  b.ne	#0xfffffff008789a18
0xfffffff008789b74: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff008789b78: e91f40b9  ldr	w9, [sp, #0x1c]
0xfffffff008789b7c: 04000014  b	#0xfffffff008789b8c
0xfffffff008789b80: 00008012  mov	w0, #-1
0xfffffff008789b84: 07000014  b	#0xfffffff008789ba0
0xfffffff008789b88: 09008052  mov	w9, #0
