; Candidate 5160
; ADRP+ADD at VM 0xfffffff0087dc9b4 (fileoff 0x17d89b4): page=0x1fea0d000 add_imm=0xe80

0xfffffff0087dc934: f70300aa  mov	x23, x0
0xfffffff0087dc938: 1d5e0394  bl	#0xfffffff0088b41ac
0xfffffff0087dc93c: f60300aa  mov	x22, x0
0xfffffff0087dc940: 00018052  mov	w0, #8
0xfffffff0087dc944: c37b0294  bl	#0xfffffff00887b850
0xfffffff0087dc948: d7010034  cbz	w23, #0xfffffff0087dc980
0xfffffff0087dc94c: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087dc950: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc954: 08811291  add	x8, x8, #0x4a0
0xfffffff0087dc958: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dc95c: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc960: 081d0291  add	x8, x8, #0x87
0xfffffff0087dc964: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dc968: 280a8052  mov	w8, #0x51
0xfffffff0087dc96c: a051ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087dc970: 00a42d91  add	x0, x0, #0xb69
0xfffffff0087dc974: f62300a9  stp	x22, x8, [sp]
0xfffffff0087dc978: ba6ad797  bl	#0xfffffff007db7460
0xfffffff0087dc97c: 16000014  b	#0xfffffff0087dc9d4
0xfffffff0087dc980: 0b5e0394  bl	#0xfffffff0088b41ac
0xfffffff0087dc984: f60300aa  mov	x22, x0
0xfffffff0087dc988: 00018052  mov	w0, #8
0xfffffff0087dc98c: b17b0294  bl	#0xfffffff00887b850
0xfffffff0087dc990: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087dc994: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc998: 08811291  add	x8, x8, #0x4a0
0xfffffff0087dc99c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dc9a0: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dc9a4: 081d0291  add	x8, x8, #0x87
0xfffffff0087dc9a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dc9ac: 280a8052  mov	w8, #0x51
0xfffffff0087dc9b0: f62300a9  stp	x22, x8, [sp]
0xfffffff0087dc9b4: 6050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087dc9b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087dc9bc: 6191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087dc9c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087dc9c4: 0353ff90  adrp	x3, #0xfffffff00723c000
0xfffffff0087dc9c8: 63b80491  add	x3, x3, #0x12e
0xfffffff0087dc9cc: 02008052  mov	w2, #0
0xfffffff0087dc9d0: d859ed97  bl	#0xfffffff008333130
0xfffffff0087dc9d4: a81a40f9  ldr	x8, [x21, #0x30]
0xfffffff0087dc9d8: 021140b9  ldr	w2, [x8, #0x10]
0xfffffff0087dc9dc: 97088052  mov	w23, #0x44
0xfffffff0087dc9e0: d774a572  movk	w23, #0x2ba6, lsl #16
0xfffffff0087dc9e4: 80088052  mov	w0, #0x44
0xfffffff0087dc9e8: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0087dc9ec: 21018052  mov	w1, #9
0xfffffff0087dc9f0: 03008092  mov	x3, #-1
0xfffffff0087dc9f4: 040080d2  mov	x4, #0
0xfffffff0087dc9f8: 050080d2  mov	x5, #0
0xfffffff0087dc9fc: 4285e697  bl	#0xfffffff00817df04
0xfffffff0087dca00: a11a40f9  ldr	x1, [x21, #0x30]
0xfffffff0087dca04: a22e40f9  ldr	x2, [x21, #0x58]
0xfffffff0087dca08: e00313aa  mov	x0, x19
0xfffffff0087dca0c: 43000094  bl	#0xfffffff0087dcb18
0xfffffff0087dca10: 125e0394  bl	#0xfffffff0088b4258
0xfffffff0087dca14: f60300aa  mov	x22, x0
0xfffffff0087dca18: a81a40f9  ldr	x8, [x21, #0x30]
0xfffffff0087dca1c: 021140b9  ldr	w2, [x8, #0x10]
0xfffffff0087dca20: e0120011  add	w0, w23, #4
0xfffffff0087dca24: 21018052  mov	w1, #9
0xfffffff0087dca28: 03008092  mov	x3, #-1
0xfffffff0087dca2c: 040080d2  mov	x4, #0
0xfffffff0087dca30: 050080d2  mov	x5, #0
