; Candidate 94
; ADRP+ADD at VM 0xfffffff007e1d718 (fileoff 0xe19718): page=0x1ff22e000 add_imm=0xe70

0xfffffff007e1d698: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007e1d69c: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff007e1d6a0: 88008052  mov	w8, #4
0xfffffff007e1d6a4: e81f00b9  str	w8, [sp, #0x1c]
0xfffffff007e1d6a8: 881d0190  adrp	x8, #0xfffffff00a1cd000
0xfffffff007e1d6ac: 006942f9  ldr	x0, [x8, #0x4d0]
0xfffffff007e1d6b0: e2830091  add	x2, sp, #0x20
0xfffffff007e1d6b4: e3730091  add	x3, sp, #0x1c
0xfffffff007e1d6b8: 5498fd97  bl	#0xfffffff007d83808
0xfffffff007e1d6bc: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff007e1d6c0: 1f000071  cmp	w0, #0
0xfffffff007e1d6c4: 0409407a  ccmp	w8, #0, #4, eq
0xfffffff007e1d6c8: e0020054  b.eq	#0xfffffff007e1d724
0xfffffff007e1d6cc: e01340f9  ldr	x0, [sp, #0x20]
0xfffffff007e1d6d0: c00200b4  cbz	x0, #0xfffffff007e1d728
0xfffffff007e1d6d4: 1f0400f1  cmp	x0, #1
0xfffffff007e1d6d8: 81000054  b.ne	#0xfffffff007e1d6e8
0xfffffff007e1d6dc: 80d038d5  mrs	x0, tpidr_el1
0xfffffff007e1d6e0: a0c0ff97  bl	#0xfffffff007e0d960
0xfffffff007e1d6e4: 001442f9  ldr	x0, [x0, #0x428]
0xfffffff007e1d6e8: 080040b9  ldr	w8, [x0]
0xfffffff007e1d6ec: 08790072  ands	w8, w8, #0x7fffffff
0xfffffff007e1d6f0: a0010054  b.eq	#0xfffffff007e1d724
0xfffffff007e1d6f4: 1f050071  cmp	w8, #1
0xfffffff007e1d6f8: 80010054  b.eq	#0xfffffff007e1d728
0xfffffff007e1d6fc: 080040b9  ldr	w8, [x0]
0xfffffff007e1d700: 08790012  and	w8, w8, #0x7fffffff
0xfffffff007e1d704: 89cd8052  mov	w9, #0x66c
0xfffffff007e1d708: 6a91ffd0  adrp	x10, #0xfffffff00704b000
0xfffffff007e1d70c: 4a3d3091  add	x10, x10, #0xc0f
0xfffffff007e1d710: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff007e1d714: e80300f9  str	x8, [sp]
0xfffffff007e1d718: 6091ffd0  adrp	x0, #0xfffffff00704b000
0xfffffff007e1d71c: 00c03991  add	x0, x0, #0xe70
0xfffffff007e1d720: 7bdb1994  bl	#0xfffffff00849450c
0xfffffff007e1d724: 000080d2  mov	x0, #0
0xfffffff007e1d728: a8835ff8  ldur	x8, [x29, #-8]
0xfffffff007e1d72c: 491d01d0  adrp	x9, #0xfffffff00a1c7000
0xfffffff007e1d730: 29010091  add	x9, x9, #0
0xfffffff007e1d734: 290140f9  ldr	x9, [x9]
0xfffffff007e1d738: 3f0108eb  cmp	x9, x8
0xfffffff007e1d73c: 81000054  b.ne	#0xfffffff007e1d74c
0xfffffff007e1d740: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff007e1d744: ff830191  add	sp, sp, #0x60
0xfffffff007e1d748: ff0f5fd6  retab	
0xfffffff007e1d74c: c001fd97  bl	#0xfffffff007d5de4c
0xfffffff007e1d750: 7f2303d5  pacibsp	
0xfffffff007e1d754: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff007e1d758: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff007e1d75c: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff007e1d760: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff007e1d764: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff007e1d768: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff007e1d76c: fd430191  add	x29, sp, #0x50
0xfffffff007e1d770: 13fc41f9  ldr	x19, [x0, #0x3f8]
0xfffffff007e1d774: 280013aa  orr	x8, x1, x19
0xfffffff007e1d778: 880900b4  cbz	x8, #0xfffffff007e1d8a8
0xfffffff007e1d77c: f50301aa  mov	x21, x1
0xfffffff007e1d780: f60300aa  mov	x22, x0
0xfffffff007e1d784: 94d038d5  mrs	x20, tpidr_el1
0xfffffff007e1d788: 28423bd5  mrs	x8, daif
0xfffffff007e1d78c: 48003837  tbnz	w8, #7, #0xfffffff007e1d794
0xfffffff007e1d790: df4703d5  msr	daifset, #7
0xfffffff007e1d794: 29008052  mov	w9, #1
