; Candidate 1004
; ADRP+ADD at VM 0xfffffff008164798 (fileoff 0x1160798): page=0x1fef1b000 add_imm=0xe41

0xfffffff008164718: 33010035  cbnz	w19, #0xfffffff00816473c
0xfffffff00816471c: 81d038d5  mrs	x1, tpidr_el1
0xfffffff008164720: 281844b9  ldr	w8, [x1, #0x418]
0xfffffff008164724: 69050190  adrp	x9, #0xfffffff00a210000
0xfffffff008164728: 29412791  add	x9, x9, #0x9d0
0xfffffff00816472c: e20308aa  mov	x2, x8
0xfffffff008164730: 3ffda288  casl	w2, wzr, [x9]
0xfffffff008164734: 5f00086b  cmp	w2, w8
0xfffffff008164738: 41010054  b.ne	#0xfffffff008164760
0xfffffff00816473c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008164740: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008164744: ffc30091  add	sp, sp, #0x30
0xfffffff008164748: ff0f5fd6  retab	
0xfffffff00816474c: 60050190  adrp	x0, #0xfffffff00a210000
0xfffffff008164750: 00202791  add	x0, x0, #0x9c8
0xfffffff008164754: 02008052  mov	w2, #0
0xfffffff008164758: e81cf197  bl	#0xfffffff007dabaf8
0xfffffff00816475c: e7ffff17  b	#0xfffffff0081646f8
0xfffffff008164760: 60050190  adrp	x0, #0xfffffff00a210000
0xfffffff008164764: 00202791  add	x0, x0, #0x9c8
0xfffffff008164768: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00816476c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008164770: ffc30091  add	sp, sp, #0x30
0xfffffff008164774: ff2303d5  autibsp	
0xfffffff008164778: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00816477c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008164784
0xfffffff008164780: 208e38d4  brk	#0xc471
0xfffffff008164784: f81ff117  b	#0xfffffff007dac764
0xfffffff008164788: c878fff0  adrp	x8, #0xfffffff00707f000
0xfffffff00816478c: 08153591  add	x8, x8, #0xd45
0xfffffff008164790: c9df8052  mov	w9, #0x6fe
0xfffffff008164794: e82700a9  stp	x8, x9, [sp]
0xfffffff008164798: c078fff0  adrp	x0, #0xfffffff00707f000
0xfffffff00816479c: 00043991  add	x0, x0, #0xe41
0xfffffff0081647a0: 5bbf0c94  bl	#0xfffffff00849450c
0xfffffff0081647a4: 7f2303d5  pacibsp	
0xfffffff0081647a8: ffc301d1  sub	sp, sp, #0x70
0xfffffff0081647ac: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff0081647b0: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff0081647b4: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0081647b8: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0081647bc: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0081647c0: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0081647c4: fd830191  add	x29, sp, #0x60
0xfffffff0081647c8: 402800b4  cbz	x0, #0xfffffff008164cd0
0xfffffff0081647cc: 3f3c00f1  cmp	x1, #0xf
0xfffffff0081647d0: e9280054  b.ls	#0xfffffff008164cec
0xfffffff0081647d4: f30302aa  mov	x19, x2
0xfffffff0081647d8: f50300aa  mov	x21, x0
0xfffffff0081647dc: 08004079  ldrh	w8, [x0]
0xfffffff0081647e0: 3f0c08eb  cmp	x1, x8, lsl #3
0xfffffff0081647e4: e1020054  b.ne	#0xfffffff008164840
0xfffffff0081647e8: a0c0ffd0  adrp	x0, #0xfffffff00797a000
0xfffffff0081647ec: 00c00191  add	x0, x0, #0x70
0xfffffff0081647f0: 81008052  mov	w1, #4
0xfffffff0081647f4: b809f197  bl	#0xfffffff007da6ed4
0xfffffff0081647f8: f40300aa  mov	x20, x0
0xfffffff0081647fc: c00300b4  cbz	x0, #0xfffffff008164874
0xfffffff008164800: 28008052  mov	w8, #1
0xfffffff008164804: 881200b9  str	w8, [x20, #0x10]
0xfffffff008164808: 9fa201f9  str	xzr, [x20, #0x340]
0xfffffff00816480c: a81a4039  ldrb	w8, [x21, #6]
0xfffffff008164810: 88620039  strb	w8, [x20, #0x18]
0xfffffff008164814: a80a4079  ldrh	w8, [x21, #4]
