; Candidate 6386
; ADRP+ADD at VM 0xfffffff008828b10 (fileoff 0x1824b10): page=0x1fe9c1000 add_imm=0xe80

0xfffffff008828a90: 63302791  add	x3, x3, #0x9cc
0xfffffff008828a94: 02008052  mov	w2, #0
0xfffffff008828a98: a629ec97  bl	#0xfffffff008333130
0xfffffff008828a9c: e00315aa  mov	x0, x21
0xfffffff008828aa0: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008828aa4: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008828aa8: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008828aac: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008828ab0: ff830291  add	sp, sp, #0xa0
0xfffffff008828ab4: ff0f5fd6  retab	
0xfffffff008828ab8: bd2d0294  bl	#0xfffffff0088b41ac
0xfffffff008828abc: f60300aa  mov	x22, x0
0xfffffff008828ac0: c0008052  mov	w0, #6
0xfffffff008828ac4: 634b0194  bl	#0xfffffff00887b850
0xfffffff008828ac8: e80315aa  mov	x8, x21
0xfffffff008828acc: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008828ad0: 6a3e46b9  ldr	w10, [x19, #0x63c]
0xfffffff008828ad4: e82b00f9  str	x8, [sp, #0x50]
0xfffffff008828ad8: e80314aa  mov	x8, x20
0xfffffff008828adc: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff008828ae0: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008828ae4: 88858052  mov	w8, #0x42c
0xfffffff008828ae8: c94fffb0  adrp	x9, #0xfffffff007221000
0xfffffff008828aec: 295d2591  add	x9, x9, #0x957
0xfffffff008828af0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008828af4: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828af8: 08653291  add	x8, x8, #0xc99
0xfffffff008828afc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008828b00: e80a8052  mov	w8, #0x57
0xfffffff008828b04: 0351fff0  adrp	x3, #0xfffffff00724b000
0xfffffff008828b08: 63842691  add	x3, x3, #0x9a1
0xfffffff008828b0c: f62300a9  stp	x22, x8, [sp]
0xfffffff008828b10: 004effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008828b14: 00003a91  add	x0, x0, #0xe80
0xfffffff008828b18: 018fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008828b1c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008828b20: 02008052  mov	w2, #0
0xfffffff008828b24: 8329ec97  bl	#0xfffffff008333130
0xfffffff008828b28: 75edff35  cbnz	w21, #0xfffffff0088288d4
0xfffffff008828b2c: 69ffff17  b	#0xfffffff0088288d0
0xfffffff008828b30: 7f2303d5  pacibsp	
0xfffffff008828b34: ff0302d1  sub	sp, sp, #0x80
0xfffffff008828b38: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008828b3c: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008828b40: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008828b44: fdc30191  add	x29, sp, #0x70
0xfffffff008828b48: f30300aa  mov	x19, x0
0xfffffff008828b4c: e00a8052  mov	w0, #0x57
0xfffffff008828b50: c1008052  mov	w1, #6
0xfffffff008828b54: 1f4b0194  bl	#0xfffffff00887b7d0
0xfffffff008828b58: a0050034  cbz	w0, #0xfffffff008828c0c
0xfffffff008828b5c: e00a8052  mov	w0, #0x57
0xfffffff008828b60: 2e4b0194  bl	#0xfffffff00887b818
0xfffffff008828b64: f50300aa  mov	x21, x0
0xfffffff008828b68: 912d0294  bl	#0xfffffff0088b41ac
0xfffffff008828b6c: f40300aa  mov	x20, x0
0xfffffff008828b70: c0008052  mov	w0, #6
0xfffffff008828b74: 374b0194  bl	#0xfffffff00887b850
0xfffffff008828b78: f5010034  cbz	w21, #0xfffffff008828bb4
0xfffffff008828b7c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008828b80: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008828b84: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828b88: 09d92691  add	x9, x8, #0x9b6
0xfffffff008828b8c: c84fffb0  adrp	x8, #0xfffffff007221000
