; Candidate 12184
; ADRP+ADD at VM 0xfffffff009059c54 (fileoff 0x2055c54): page=0x1fe3f3000 add_imm=0xed8

0xfffffff009059bd4: e10314aa  mov	x1, x20
0xfffffff009059bd8: f10309aa  mov	x17, x9
0xfffffff009059bdc: 5160f8f2  movk	x17, #0xc302, lsl #48
0xfffffff009059be0: 11093fd7  blraa	x8, x17
0xfffffff009059be4: 00040036  tbz	w0, #0, #0xfffffff009059c64
0xfffffff009059be8: 602640f9  ldr	x0, [x19, #0x48]
0xfffffff009059bec: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff009059bf0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009059bf4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009059bf8: ff830191  add	sp, sp, #0x60
0xfffffff009059bfc: ff0f5fd6  retab	
0xfffffff009059c00: 08848052  mov	w8, #0x420
0xfffffff009059c04: 891ffff0  adrp	x9, #0xfffffff00744c000
0xfffffff009059c08: 297d1391  add	x9, x9, #0x4df
0xfffffff009059c0c: 6a1fff90  adrp	x10, #0xfffffff007445000
0xfffffff009059c10: 4a913491  add	x10, x10, #0xd24
0xfffffff009059c14: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff009059c18: 681fffd0  adrp	x8, #0xfffffff007447000
0xfffffff009059c1c: 08e51991  add	x8, x8, #0x679
0xfffffff009059c20: 09000014  b	#0xfffffff009059c44
0xfffffff009059c24: 68848052  mov	w8, #0x423
0xfffffff009059c28: 891ffff0  adrp	x9, #0xfffffff00744c000
0xfffffff009059c2c: 297d1391  add	x9, x9, #0x4df
0xfffffff009059c30: 6a1fff90  adrp	x10, #0xfffffff007445000
0xfffffff009059c34: 4a913491  add	x10, x10, #0xd24
0xfffffff009059c38: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff009059c3c: 881ffff0  adrp	x8, #0xfffffff00744c000
0xfffffff009059c40: 08713991  add	x8, x8, #0xe5c
0xfffffff009059c44: 891ffff0  adrp	x9, #0xfffffff00744c000
0xfffffff009059c48: 29f93891  add	x9, x9, #0xe3e
0xfffffff009059c4c: ff2b01a9  stp	xzr, x10, [sp, #0x10]
0xfffffff009059c50: e92300a9  stp	x9, x8, [sp]
0xfffffff009059c54: 801ffff0  adrp	x0, #0xfffffff00744c000
0xfffffff009059c58: 00603b91  add	x0, x0, #0xed8
0xfffffff009059c5c: f1f4cb97  bl	#0xfffffff008357020
0xfffffff009059c60: e2ffff17  b	#0xfffffff009059be8
0xfffffff009059c64: a8848052  mov	w8, #0x425
0xfffffff009059c68: 891ffff0  adrp	x9, #0xfffffff00744c000
0xfffffff009059c6c: 297d1391  add	x9, x9, #0x4df
0xfffffff009059c70: 6a1fff90  adrp	x10, #0xfffffff007445000
0xfffffff009059c74: 4a913491  add	x10, x10, #0xd24
0xfffffff009059c78: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff009059c7c: 881ffff0  adrp	x8, #0xfffffff00744c000
0xfffffff009059c80: 08693e91  add	x8, x8, #0xf9a
0xfffffff009059c84: 891ffff0  adrp	x9, #0xfffffff00744c000
0xfffffff009059c88: 29f93891  add	x9, x9, #0xe3e
0xfffffff009059c8c: ff2b01a9  stp	xzr, x10, [sp, #0x10]
0xfffffff009059c90: e92300a9  stp	x9, x8, [sp]
0xfffffff009059c94: 801ffff0  adrp	x0, #0xfffffff00744c000
0xfffffff009059c98: 00603b91  add	x0, x0, #0xed8
0xfffffff009059c9c: e1f4cb97  bl	#0xfffffff008357020
0xfffffff009059ca0: 602640f9  ldr	x0, [x19, #0x48]
0xfffffff009059ca4: 400100b4  cbz	x0, #0xfffffff009059ccc
0xfffffff009059ca8: 100040f9  ldr	x16, [x0]
0xfffffff009059cac: f10300aa  mov	x17, x0
0xfffffff009059cb0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009059cb4: 301ac1da  autda	x16, x17
0xfffffff009059cb8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009059cbc: e90310aa  mov	x9, x16
0xfffffff009059cc0: f10309aa  mov	x17, x9
0xfffffff009059cc4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009059cc8: 11093fd7  blraa	x8, x17
0xfffffff009059ccc: 7f2600f9  str	xzr, [x19, #0x48]
0xfffffff009059cd0: c6ffff17  b	#0xfffffff009059be8
