; Candidate 16605
; ADRP+ADD at VM 0xfffffff009f00098 (fileoff 0x2efc098): page=0x1fde37000 add_imm=0xdd8

0xfffffff009f00018: 4a892291  add	x10, x10, #0x8a2
0xfffffff009f0001c: ea7303a9  stp	x10, x28, [sp, #0x30]
0xfffffff009f00020: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff009f00024: fb0f00f9  str	x27, [sp, #0x18]
0xfffffff009f00028: e85b40f9  ldr	x8, [sp, #0xb0]
0xfffffff009f0002c: fb000014  b	#0xfffffff009f00418
0xfffffff009f00030: b68316f8  stur	x22, [x29, #-0x98]
0xfffffff009f00034: a8260090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009f00038: 081d4ab9  ldr	w8, [x8, #0xa1c]
0xfffffff009f0003c: 69008052  mov	w9, #3
0xfffffff009f00040: 3f01286a  bics	wzr, w9, w8
0xfffffff009f00044: 00340054  b.eq	#0xfffffff009f006c4
0xfffffff009f00048: e85740f9  ldr	x8, [sp, #0xa8]
0xfffffff009f0004c: 080140f9  ldr	x8, [x8]
0xfffffff009f00050: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff009f00054: aa0358f8  ldur	x10, [x29, #-0x80]
0xfffffff009f00058: 6b3241a9  ldp	x11, x12, [x19, #0x10]
0xfffffff009f0005c: 6d2240b9  ldr	w13, [x19, #0x20]
0xfffffff009f00060: ecb704a9  stp	x12, x13, [sp, #0x48]
0xfffffff009f00064: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff009f00068: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff009f0006c: f5f301a9  stp	x21, x28, [sp, #0x18]
0xfffffff009f00070: e85b40f9  ldr	x8, [sp, #0xb0]
0xfffffff009f00074: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f00078: e8688a52  mov	w8, #0x5347
0xfffffff009f0007c: 60cafeb0  adrp	x0, #0xfffffff00784d000
0xfffffff009f00080: 00442e91  add	x0, x0, #0xb91
0xfffffff009f00084: e80700f9  str	x8, [sp, #8]
0xfffffff009f00088: 68cafeb0  adrp	x8, #0xfffffff00784d000
0xfffffff009f0008c: 08911e91  add	x8, x8, #0x7a4
0xfffffff009f00090: e80300f9  str	x8, [sp]
0xfffffff009f00094: 0cfefd97  bl	#0xfffffff009e7f8c4
0xfffffff009f00098: a0f1fef0  adrp	x0, #0xfffffff007d37000
0xfffffff009f0009c: 00603791  add	x0, x0, #0xdd8
0xfffffff009f000a0: e10318aa  mov	x1, x24
0xfffffff009f000a4: 9a599197  bl	#0xfffffff00835670c
0xfffffff009f000a8: e8048092  mov	x8, #-0x28
0xfffffff009f000ac: a9260090  adrp	x9, #0xfffffff00a3d4000
0xfffffff009f000b0: 29212a91  add	x9, x9, #0xa88
0xfffffff009f000b4: 280128f8  ldadd	x8, x8, [x9]
0xfffffff009f000b8: 9c038052  mov	w28, #0x1c
0xfffffff009f000bc: e7000014  b	#0xfffffff009f00458
0xfffffff009f000c0: fc0300aa  mov	x28, x0
0xfffffff009f000c4: b68316f8  stur	x22, [x29, #-0x98]
0xfffffff009f000c8: a88358f8  ldur	x8, [x29, #-0x78]
0xfffffff009f000cc: 080300b4  cbz	x8, #0xfffffff009f0012c
0xfffffff009f000d0: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff009f000d4: aa0358f8  ldur	x10, [x29, #-0x80]
0xfffffff009f000d8: eb6740f9  ldr	x11, [sp, #0xc8]
0xfffffff009f000dc: 6b0140f9  ldr	x11, [x11]
0xfffffff009f000e0: ec5740f9  ldr	x12, [sp, #0xa8]
0xfffffff009f000e4: 8c0140f9  ldr	x12, [x12]
0xfffffff009f000e8: 9fab0171  cmp	w28, #0x6a
0xfffffff009f000ec: 680a0054  b.hi	#0xfffffff009f00238
0xfffffff009f000f0: adf1fe90  adrp	x13, #0xfffffff007d34000
0xfffffff009f000f4: ad011191  add	x13, x13, #0x440
0xfffffff009f000f8: ad597cf8  ldr	x13, [x13, w28, uxtw #3]
0xfffffff009f000fc: 51000014  b	#0xfffffff009f00240
0xfffffff009f00100: b68316f8  stur	x22, [x29, #-0x98]
0xfffffff009f00104: e86740f9  ldr	x8, [sp, #0xc8]
0xfffffff009f00108: 080140f9  ldr	x8, [x8]
0xfffffff009f0010c: e95740f9  ldr	x9, [sp, #0xa8]
0xfffffff009f00110: 290140f9  ldr	x9, [x9]
0xfffffff009f00114: 9fab0171  cmp	w28, #0x6a
