; Candidate 862
; ADRP+ADD at VM 0xfffffff0080e3d20 (fileoff 0x10dfd20): page=0x1fef93000 add_imm=0xdd7

0xfffffff0080e3ca0: 4801080b  add	w8, w10, w8
0xfffffff0080e3ca4: 1f050071  cmp	w8, #1
0xfffffff0080e3ca8: cb000054  b.lt	#0xfffffff0080e3cc0
0xfffffff0080e3cac: 29d140b9  ldr	w9, [x9, #0xd0]
0xfffffff0080e3cb0: 1f01096b  cmp	w8, w9
0xfffffff0080e3cb4: e0c79f1a  cset	w0, le
0xfffffff0080e3cb8: 02000014  b	#0xfffffff0080e3cc0
0xfffffff0080e3cbc: 20008052  mov	w0, #1
0xfffffff0080e3cc0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0080e3cc4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0080e3cc8: ff0f5fd6  retab	
0xfffffff0080e3ccc: a07cff90  adrp	x0, #0xfffffff007077000
0xfffffff0080e3cd0: 00cc3691  add	x0, x0, #0xdb3
0xfffffff0080e3cd4: a17cff90  adrp	x1, #0xfffffff007077000
0xfffffff0080e3cd8: 214c3791  add	x1, x1, #0xdd3
0xfffffff0080e3cdc: e2088052  mov	w2, #0x47
0xfffffff0080e3ce0: cdee0e94  bl	#0xfffffff00849f814
0xfffffff0080e3ce4: 7f2303d5  pacibsp	
0xfffffff0080e3ce8: ff8303d1  sub	sp, sp, #0xe0
0xfffffff0080e3cec: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff0080e3cf0: fd430391  add	x29, sp, #0xd0
0xfffffff0080e3cf4: 28070190  adrp	x8, #0xfffffff00a1c7000
0xfffffff0080e3cf8: 08010091  add	x8, x8, #0
0xfffffff0080e3cfc: 080140f9  ldr	x8, [x8]
0xfffffff0080e3d00: a8831ff8  stur	x8, [x29, #-8]
0xfffffff0080e3d04: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0080e3d08: e00305ad  stp	q0, q0, [sp, #0xa0]
0xfffffff0080e3d0c: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff0080e3d10: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff0080e3d14: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff0080e3d18: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff0080e3d1c: e00300ad  stp	q0, q0, [sp]
0xfffffff0080e3d20: 807cfff0  adrp	x0, #0xfffffff007076000
0xfffffff0080e3d24: 005c3791  add	x0, x0, #0xdd7
0xfffffff0080e3d28: 36e6f197  bl	#0xfffffff007d5d600
0xfffffff0080e3d2c: 02040091  add	x2, x0, #1
0xfffffff0080e3d30: 817cfff0  adrp	x1, #0xfffffff007076000
0xfffffff0080e3d34: 215c3791  add	x1, x1, #0xdd7
0xfffffff0080e3d38: e0030091  mov	x0, sp
0xfffffff0080e3d3c: 5f7c01f1  cmp	x2, #0x5f
0xfffffff0080e3d40: 68000054  b.hi	#0xfffffff0080e3d4c
0xfffffff0080e3d44: 13a3f197  bl	#0xfffffff007d4c990
0xfffffff0080e3d48: 04000014  b	#0xfffffff0080e3d58
0xfffffff0080e3d4c: e20b8052  mov	w2, #0x5f
0xfffffff0080e3d50: 10a3f197  bl	#0xfffffff007d4c990
0xfffffff0080e3d54: ff7f0139  strb	wzr, [sp, #0x5f]
0xfffffff0080e3d58: 100000b0  adrp	x16, #0xfffffff0080e4000
0xfffffff0080e3d5c: 10920b91  add	x16, x16, #0x2e4
0xfffffff0080e3d60: b19597d2  mov	x17, #0xbcad
0xfffffff0080e3d64: 3002c1da  pacia	x16, x17
0xfffffff0080e3d68: f03f00f9  str	x16, [sp, #0x78]
0xfffffff0080e3d6c: 100000b0  adrp	x16, #0xfffffff0080e4000
0xfffffff0080e3d70: 10220b91  add	x16, x16, #0x2c8
0xfffffff0080e3d74: d12587d2  mov	x17, #0x392e
0xfffffff0080e3d78: 3002c1da  pacia	x16, x17
0xfffffff0080e3d7c: f04300f9  str	x16, [sp, #0x80]
0xfffffff0080e3d80: 10000090  adrp	x16, #0xfffffff0080e3000
0xfffffff0080e3d84: 10523791  add	x16, x16, #0xdd4
0xfffffff0080e3d88: 113394d2  mov	x17, #0xa198
0xfffffff0080e3d8c: 3002c1da  pacia	x16, x17
0xfffffff0080e3d90: f04700f9  str	x16, [sp, #0x88]
0xfffffff0080e3d94: 28008052  mov	w8, #1
0xfffffff0080e3d98: e86b00b9  str	w8, [sp, #0x68]
0xfffffff0080e3d9c: e10a01d0  adrp	x1, #0xfffffff00a241000
