; Candidate 10990
; ADRP+ADD at VM 0xfffffff008df0564 (fileoff 0x1dec564): page=0x1fe5d4000 add_imm=0xd21

0xfffffff008df04e4: aa2eff90  adrp	x10, #0xfffffff0073c4000
0xfffffff008df04e8: 4a593991  add	x10, x10, #0xe56
0xfffffff008df04ec: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008df04f0: a92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008df04f4: 29493991  add	x9, x9, #0xe52
0xfffffff008df04f8: ab2eff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008df04fc: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008df0500: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008df0504: eb0300f9  str	x11, [sp]
0xfffffff008df0508: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df050c: 00543891  add	x0, x0, #0xe15
0xfffffff008df0510: c49ad597  bl	#0xfffffff008357020
0xfffffff008df0514: c8ffff17  b	#0xfffffff008df0434
0xfffffff008df0518: 7f2303d5  pacibsp	
0xfffffff008df051c: ff8301d1  sub	sp, sp, #0x60
0xfffffff008df0520: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008df0524: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008df0528: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008df052c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008df0530: fd430191  add	x29, sp, #0x50
0xfffffff008df0534: f30302aa  mov	x19, x2
0xfffffff008df0538: f40301aa  mov	x20, x1
0xfffffff008df053c: f50300aa  mov	x21, x0
0xfffffff008df0540: 78a800f0  adrp	x24, #0xfffffff00a2ff000
0xfffffff008df0544: 08476c39  ldrb	w8, [x24, #0xb11]
0xfffffff008df0548: b62eff90  adrp	x22, #0xfffffff0073c4000
0xfffffff008df054c: d61a3b91  add	x22, x22, #0xec6
0xfffffff008df0550: b72eff90  adrp	x23, #0xfffffff0073c4000
0xfffffff008df0554: f7ca3491  add	x23, x23, #0xd32
0xfffffff008df0558: 1f290071  cmp	w8, #0xa
0xfffffff008df055c: a8000054  b.hi	#0xfffffff008df0570
0xfffffff008df0560: f75b00a9  stp	x23, x22, [sp]
0xfffffff008df0564: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0568: 00843491  add	x0, x0, #0xd21
0xfffffff008df056c: ad9ad597  bl	#0xfffffff008357020
0xfffffff008df0570: 61a800f0  adrp	x1, #0xfffffff00a2ff000
0xfffffff008df0574: 21c03091  add	x1, x1, #0xc30
0xfffffff008df0578: 70ffffd0  adrp	x16, #0xfffffff008dde000
0xfffffff008df057c: 10d20e91  add	x16, x16, #0x3b4
0xfffffff008df0580: 519081d2  mov	x17, #0xc82
0xfffffff008df0584: 3002c1da  pacia	x16, x17
0xfffffff008df0588: e00310aa  mov	x0, x16
0xfffffff008df058c: e20315aa  mov	x2, x21
0xfffffff008df0590: e30314aa  mov	x3, x20
0xfffffff008df0594: e40313aa  mov	x4, x19
0xfffffff008df0598: 84bcff97  bl	#0xfffffff008ddf7a8
0xfffffff008df059c: f30300aa  mov	x19, x0
0xfffffff008df05a0: 1f000071  cmp	w0, #0
0xfffffff008df05a4: c8088052  mov	w8, #0x46
0xfffffff008df05a8: 49018052  mov	w9, #0xa
0xfffffff008df05ac: 2801881a  csel	w8, w9, w8, eq
0xfffffff008df05b0: 09476c39  ldrb	w9, [x24, #0xb11]
0xfffffff008df05b4: 1f01096b  cmp	w8, w9
0xfffffff008df05b8: e3000054  b.lo	#0xfffffff008df05d4
0xfffffff008df05bc: 687e4093  sxtw	x8, w19
0xfffffff008df05c0: f75b00a9  stp	x23, x22, [sp]
0xfffffff008df05c4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008df05c8: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df05cc: 00503591  add	x0, x0, #0xd54
0xfffffff008df05d0: 949ad597  bl	#0xfffffff008357020
0xfffffff008df05d4: e00313aa  mov	x0, x19
0xfffffff008df05d8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008df05dc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008df05e0: f65743a9  ldp	x22, x21, [sp, #0x30]
