; Candidate 3741
; ADRP+ADD at VM 0xfffffff008758510 (fileoff 0x1754510): page=0x1fe9d9000 add_imm=0xd90

0xfffffff008758490: f8b1fc97  bl	#0xfffffff008684c70
0xfffffff008758494: c0821ff8  stur	x0, [x22, #-8]
0xfffffff008758498: 600300b4  cbz	x0, #0xfffffff008758504
0xfffffff00875849c: 6850fff0  adrp	x8, #0xfffffff007167000
0xfffffff0087584a0: 003547fd  ldr	d0, [x8, #0xe68]
0xfffffff0087584a4: e20314aa  mov	x2, x20
0xfffffff0087584a8: 400c03fc  str	d0, [x2, #0x30]!
0xfffffff0087584ac: 550400f9  str	x21, [x2, #8]
0xfffffff0087584b0: 100040f9  ldr	x16, [x0]
0xfffffff0087584b4: f10300aa  mov	x17, x0
0xfffffff0087584b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087584bc: 301ac1da  autda	x16, x17
0xfffffff0087584c0: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff0087584c4: e90310aa  mov	x9, x16
0xfffffff0087584c8: 21008052  mov	w1, #1
0xfffffff0087584cc: e30316aa  mov	x3, x22
0xfffffff0087584d0: f10309aa  mov	x17, x9
0xfffffff0087584d4: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff0087584d8: 11093fd7  blraa	x8, x17
0xfffffff0087584dc: a0020034  cbz	w0, #0xfffffff008758530
0xfffffff0087584e0: c04effb0  adrp	x0, #0xfffffff007131000
0xfffffff0087584e4: 00403691  add	x0, x0, #0xd90
0xfffffff0087584e8: 2195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087584ec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087584f0: 434fffb0  adrp	x3, #0xfffffff007141000
0xfffffff0087584f4: 63641491  add	x3, x3, #0x519
0xfffffff0087584f8: 02008052  mov	w2, #0
0xfffffff0087584fc: 0d6bef97  bl	#0xfffffff008333130
0xfffffff008758500: 0c000014  b	#0xfffffff008758530
0xfffffff008758504: 0850ffb0  adrp	x8, #0xfffffff007159000
0xfffffff008758508: 085d2391  add	x8, x8, #0x8d7
0xfffffff00875850c: e80300f9  str	x8, [sp]
0xfffffff008758510: c04effb0  adrp	x0, #0xfffffff007131000
0xfffffff008758514: 00403691  add	x0, x0, #0xd90
0xfffffff008758518: 2195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875851c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008758520: 434fffb0  adrp	x3, #0xfffffff007141000
0xfffffff008758524: 637c1391  add	x3, x3, #0x4df
0xfffffff008758528: 02008052  mov	w2, #0
0xfffffff00875852c: 016bef97  bl	#0xfffffff008333130
0xfffffff008758530: 932e00f9  str	x19, [x20, #0x58]
0xfffffff008758534: e00314aa  mov	x0, x20
0xfffffff008758538: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00875853c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008758540: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008758544: ff030191  add	sp, sp, #0x40
0xfffffff008758548: ff0f5fd6  retab	
0xfffffff00875854c: 5f2403d5  bti	c
0xfffffff008758550: 9effff17  b	#0xfffffff0087583c8
0xfffffff008758554: 7f2303d5  pacibsp	
0xfffffff008758558: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00875855c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008758560: fd430091  add	x29, sp, #0x10
0xfffffff008758564: f30300aa  mov	x19, x0
0xfffffff008758568: 3095fff0  adrp	x16, #0xfffffff0079ff000
0xfffffff00875856c: 10023891  add	x16, x16, #0xe00
0xfffffff008758570: 10420091  add	x16, x16, #0x10
0xfffffff008758574: f10300aa  mov	x17, x0
0xfffffff008758578: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00875857c: 300ac1da  pacda	x16, x17
0xfffffff008758580: 100000f9  str	x16, [x0]
0xfffffff008758584: 002840f9  ldr	x0, [x0, #0x50]
0xfffffff008758588: 600100b4  cbz	x0, #0xfffffff0087585b4
0xfffffff00875858c: 100040f9  ldr	x16, [x0]
