; Candidate 16651
; ADRP+ADD at VM 0xfffffff009f11394 (fileoff 0x2f0d394): page=0x1fd944000 add_imm=0xe1d

0xfffffff009f11314: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff009f11318: 027c40f9  ldr	x2, [x0, #0xf8]
0xfffffff009f1131c: 24cafe90  adrp	x4, #0xfffffff007855000
0xfffffff009f11320: 84803691  add	x4, x4, #0xda0
0xfffffff009f11324: e5e30091  add	x5, sp, #0x38
0xfffffff009f11328: 41008052  mov	w1, #2
0xfffffff009f1132c: 3f46ff97  bl	#0xfffffff009ee2c28
0xfffffff009f11330: 1f080071  cmp	w0, #2
0xfffffff009f11334: e0040054  b.eq	#0xfffffff009f113d0
0xfffffff009f11338: c0070035  cbnz	w0, #0xfffffff009f11430
0xfffffff009f1133c: f61f40f9  ldr	x22, [sp, #0x38]
0xfffffff009f11340: d7620091  add	x23, x22, #0x18
0xfffffff009f11344: c82a4079  ldrh	w8, [x22, #0x14]
0xfffffff009f11348: e86a68f8  ldr	x8, [x23, x8]
0xfffffff009f1134c: 093e8452  mov	w9, #0x21f0
0xfffffff009f11350: 7802098b  add	x24, x19, x9
0xfffffff009f11354: 1901158b  add	x25, x8, x21
0xfffffff009f11358: e8e701a9  stp	x8, x25, [sp, #0x18]
0xfffffff009f1135c: 3acafe90  adrp	x26, #0xfffffff007855000
0xfffffff009f11360: 5aef3791  add	x26, x26, #0xdfb
0xfffffff009f11364: 48ae8052  mov	w8, #0x572
0xfffffff009f11368: e8e300a9  stp	x8, x24, [sp, #8]
0xfffffff009f1136c: fa0300f9  str	x26, [sp]
0xfffffff009f11370: 20cafe90  adrp	x0, #0xfffffff007855000
0xfffffff009f11374: 000c3791  add	x0, x0, #0xdc3
0xfffffff009f11378: 3db9fd97  bl	#0xfffffff009e7f86c
0xfffffff009f1137c: f91b00f9  str	x25, [sp, #0x30]
0xfffffff009f11380: 3901f8b6  tbz	x25, #0x3f, #0xfffffff009f113a4
0xfffffff009f11384: f9d701a9  stp	x25, x21, [sp, #0x18]
0xfffffff009f11388: 08af8052  mov	w8, #0x578
0xfffffff009f1138c: e8e300a9  stp	x8, x24, [sp, #8]
0xfffffff009f11390: fa0300f9  str	x26, [sp]
0xfffffff009f11394: 20cafe90  adrp	x0, #0xfffffff007855000
0xfffffff009f11398: 00743891  add	x0, x0, #0xe1d
0xfffffff009f1139c: 4ab9fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f113a0: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff009f113a4: c82a4079  ldrh	w8, [x22, #0x14]
0xfffffff009f113a8: e91b40f9  ldr	x9, [sp, #0x30]
0xfffffff009f113ac: e96a28f8  str	x9, [x23, x8]
0xfffffff009f113b0: e00313aa  mov	x0, x19
0xfffffff009f113b4: 21008052  mov	w1, #1
0xfffffff009f113b8: e20316aa  mov	x2, x22
0xfffffff009f113bc: e30314aa  mov	x3, x20
0xfffffff009f113c0: 9b67ff97  bl	#0xfffffff009eeb22c
0xfffffff009f113c4: e00316aa  mov	x0, x22
0xfffffff009f113c8: 3543ff97  bl	#0xfffffff009ee209c
0xfffffff009f113cc: 23000014  b	#0xfffffff009f11458
0xfffffff009f113d0: bf0600f1  cmp	x21, #1
0xfffffff009f113d4: 2b040054  b.lt	#0xfffffff009f11458
0xfffffff009f113d8: 28008052  mov	w8, #1
0xfffffff009f113dc: e81b00f9  str	x8, [sp, #0x30]
0xfffffff009f113e0: 22cafe90  adrp	x2, #0xfffffff007855000
0xfffffff009f113e4: 42803691  add	x2, x2, #0xda0
0xfffffff009f113e8: e3c30091  add	x3, sp, #0x30
0xfffffff009f113ec: e00313aa  mov	x0, x19
0xfffffff009f113f0: 41008052  mov	w1, #2
0xfffffff009f113f4: 04018052  mov	w4, #8
0xfffffff009f113f8: 85008052  mov	w5, #4
0xfffffff009f113fc: e60314aa  mov	x6, x20
0xfffffff009f11400: a063ff97  bl	#0xfffffff009eea280
0xfffffff009f11404: 083e8452  mov	w8, #0x21f0
0xfffffff009f11408: 6802088b  add	x8, x19, x8
0xfffffff009f1140c: 40030034  cbz	w0, #0xfffffff009f11474
0xfffffff009f11410: e80301a9  stp	x8, x0, [sp, #0x10]
