; Candidate 17
; ADRP+ADD at VM 0xfffffff007d82f48 (fileoff 0xd7ef48): page=0x2439000 add_imm=0xda0

0xfffffff007d82ec8: ad6d1c32  orr	w13, w13, #0xfffffff0
0xfffffff007d82ecc: 8d0900b9  str	w13, [x12, #8]
0xfffffff007d82ed0: 2c0140f9  ldr	x12, [x9]
0xfffffff007d82ed4: 0d00be12  mov	w13, #0xfffffff
0xfffffff007d82ed8: 8d0d00b9  str	w13, [x12, #0xc]
0xfffffff007d82edc: 2c0140f9  ldr	x12, [x9]
0xfffffff007d82ee0: 8d0940b9  ldr	w13, [x12, #8]
0xfffffff007d82ee4: ad011d32  orr	w13, w13, #8
0xfffffff007d82ee8: 8d0900b9  str	w13, [x12, #8]
0xfffffff007d82eec: cc2401b0  adrp	x12, #0xfffffff00a21b000
0xfffffff007d82ef0: 8c410691  add	x12, x12, #0x190
0xfffffff007d82ef4: 8c0d168b  add	x12, x12, x22, lsl #3
0xfffffff007d82ef8: 95fd9fc8  stlr	x21, [x12]
0xfffffff007d82efc: 8cfe43d3  lsr	x12, x20, #3
0xfffffff007d82f00: 6b0140b9  ldr	w11, [x11]
0xfffffff007d82f04: 8d09cb9a  udiv	x13, x12, x11
0xfffffff007d82f08: abb10b9b  msub	x11, x13, x11, x12
0xfffffff007d82f0c: 4a0140b9  ldr	w10, [x10]
0xfffffff007d82f10: 5f010b6b  cmp	w10, w11
0xfffffff007d82f14: 09020054  b.ls	#0xfffffff007d82f54
0xfffffff007d82f18: 0a078052  mov	w10, #0x38
0xfffffff007d82f1c: c8220a9b  madd	x8, x22, x10, x8
0xfffffff007d82f20: 290140f9  ldr	x9, [x9]
0xfffffff007d82f24: 0a038052  mov	w10, #0x18
0xfffffff007d82f28: 69250a9b  madd	x9, x11, x10, x9
0xfffffff007d82f2c: 3f1500b9  str	wzr, [x9, #0x14]
0xfffffff007d82f30: 680200f9  str	x8, [x19]
0xfffffff007d82f34: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff007d82f38: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff007d82f3c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff007d82f40: ff030191  add	sp, sp, #0x40
0xfffffff007d82f44: ff0f5fd6  retab	
0xfffffff007d82f48: c02101b0  adrp	x0, #0xfffffff00a1bb000
0xfffffff007d82f4c: 00803691  add	x0, x0, #0xda0
0xfffffff007d82f50: af741c94  bl	#0xfffffff0084a020c
0xfffffff007d82f54: 0896ffd0  adrp	x8, #0xfffffff007044000
0xfffffff007d82f58: 08810591  add	x8, x8, #0x160
0xfffffff007d82f5c: 69448052  mov	w9, #0x223
0xfffffff007d82f60: e82700a9  stp	x8, x9, [sp]
0xfffffff007d82f64: 0096ffd0  adrp	x0, #0xfffffff007044000
0xfffffff007d82f68: 00280891  add	x0, x0, #0x20a
0xfffffff007d82f6c: 68451c94  bl	#0xfffffff00849450c
0xfffffff007d82f70: 7f2303d5  pacibsp	
0xfffffff007d82f74: ff4302d1  sub	sp, sp, #0x90
0xfffffff007d82f78: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff007d82f7c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff007d82f80: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff007d82f84: fd030291  add	x29, sp, #0x80
0xfffffff007d82f88: 282201b0  adrp	x8, #0xfffffff00a1c7000
0xfffffff007d82f8c: 08010091  add	x8, x8, #0
0xfffffff007d82f90: 080140f9  ldr	x8, [x8]
0xfffffff007d82f94: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff007d82f98: ff7f04a9  stp	xzr, xzr, [sp, #0x40]
0xfffffff007d82f9c: ff2b00f9  str	xzr, [sp, #0x50]
0xfffffff007d82fa0: ff3700b9  str	wzr, [sp, #0x34]
0xfffffff007d82fa4: 800600b4  cbz	x0, #0xfffffff007d83074
0xfffffff007d82fa8: f30303aa  mov	x19, x3
0xfffffff007d82fac: f50301aa  mov	x21, x1
0xfffffff007d82fb0: 28040051  sub	w8, w1, #1
0xfffffff007d82fb4: 3f0c0071  cmp	w1, #3
0xfffffff007d82fb8: 09919f5a  csinv	w9, w8, wzr, ls
0xfffffff007d82fbc: 3f090071  cmp	w9, #2
0xfffffff007d82fc0: e8050054  b.hi	#0xfffffff007d8307c
0xfffffff007d82fc4: 0848298b  add	x8, x0, w9, uxtw #2
