; Candidate 10582
; ADRP+ADD at VM 0xfffffff008ddeca4 (fileoff 0x1ddaca4): page=0x1fe5e6000 add_imm=0xe15

0xfffffff008ddec24: 519081d2  mov	x17, #0xc82
0xfffffff008ddec28: 110b3fd7  blraa	x24, x17
0xfffffff008ddec2c: 40060035  cbnz	w0, #0xfffffff008ddecf4
0xfffffff008ddec30: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008ddec34: 1f5500f1  cmp	x8, #0x15
0xfffffff008ddec38: 80090054  b.eq	#0xfffffff008dded68
0xfffffff008ddec3c: 88078052  mov	w8, #0x3c
0xfffffff008ddec40: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ddec44: 282fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddec48: 08493991  add	x8, x8, #0xe52
0xfffffff008ddec4c: 092ffff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddec50: 299d1691  add	x9, x9, #0x5a7
0xfffffff008ddec54: 7c000014  b	#0xfffffff008ddee44
0xfffffff008ddec58: e8058052  mov	w8, #0x2f
0xfffffff008ddec5c: 092ffff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddec60: 29490d91  add	x9, x9, #0x352
0xfffffff008ddec64: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ddec68: 282fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddec6c: 08493991  add	x8, x8, #0xe52
0xfffffff008ddec70: 0a2ffff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddec74: 4ab51491  add	x10, x10, #0x52d
0xfffffff008ddec78: 09000014  b	#0xfffffff008ddec9c
0xfffffff008ddec7c: 08068052  mov	w8, #0x30
0xfffffff008ddec80: 092ffff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddec84: 29490d91  add	x9, x9, #0x352
0xfffffff008ddec88: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ddec8c: 282fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddec90: 08493991  add	x8, x8, #0xe52
0xfffffff008ddec94: 0a2ffff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddec98: 4add1491  add	x10, x10, #0x537
0xfffffff008ddec9c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008ddeca0: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008ddeca4: 202fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddeca8: 00543891  add	x0, x0, #0xe15
0xfffffff008ddecac: dde0d597  bl	#0xfffffff008357020
0xfffffff008ddecb0: c8088052  mov	w8, #0x46
0xfffffff008ddecb4: 57008012  mov	w23, #-3
0xfffffff008ddecb8: 36000014  b	#0xfffffff008dded90
0xfffffff008ddecbc: 68068052  mov	w8, #0x33
0xfffffff008ddecc0: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff008ddecc4: 282fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddecc8: 08493991  add	x8, x8, #0xe52
0xfffffff008ddeccc: 092ffff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddecd0: 29bd1591  add	x9, x9, #0x56f
0xfffffff008ddecd4: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008ddecd8: e90300f9  str	x9, [sp]
0xfffffff008ddecdc: 202fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddece0: 00543891  add	x0, x0, #0xe15
0xfffffff008ddece4: cfe0d597  bl	#0xfffffff008357020
0xfffffff008ddece8: c8088052  mov	w8, #0x46
0xfffffff008ddecec: 77008012  mov	w23, #-4
0xfffffff008ddecf0: 28000014  b	#0xfffffff008dded90
0xfffffff008ddecf4: f70300aa  mov	x23, x0
0xfffffff008ddecf8: 1f0c0031  cmn	w0, #3
0xfffffff008ddecfc: 210b0054  b.ne	#0xfffffff008ddee60
0xfffffff008dded00: 48078052  mov	w8, #0x3a
0xfffffff008dded04: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff008dded08: 082ffff0  adrp	x8, #0xfffffff0073c1000
0xfffffff008dded0c: 08791691  add	x8, x8, #0x59e
0xfffffff008dded10: 092ffff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008dded14: 29051691  add	x9, x9, #0x581
0xfffffff008dded18: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008dded1c: e90300f9  str	x9, [sp]
0xfffffff008dded20: 202fffd0  adrp	x0, #0xfffffff0073c4000
