; Candidate 2756
; ADRP+ADD at VM 0xfffffff0086e6aa4 (fileoff 0x16e2aa4): page=0x1fea4b000 add_imm=0xd90

0xfffffff0086e6a24: 001d0039  strb	w0, [x8, #7]
0xfffffff0086e6a28: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff0086e6a2c: 0801148b  add	x8, x8, x20
0xfffffff0086e6a30: 00e10039  strb	w0, [x8, #0x38]
0xfffffff0086e6a34: 94060091  add	x20, x20, #1
0xfffffff0086e6a38: 9f0e00f1  cmp	x20, #3
0xfffffff0086e6a3c: 01feff54  b.ne	#0xfffffff0086e69fc
0xfffffff0086e6a40: 080240b9  ldr	w8, [x16]
0xfffffff0086e6a44: 68000034  cbz	w8, #0xfffffff0086e6a50
0xfffffff0086e6a48: 340240b9  ldr	w20, [x17]
0xfffffff0086e6a4c: 20000014  b	#0xfffffff0086e6acc
0xfffffff0086e6a50: 14008052  mov	w20, #0
0xfffffff0086e6a54: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e6a58: 89008052  mov	w9, #4
0xfffffff0086e6a5c: 6b2a41a9  ldp	x11, x10, [x19, #0x10]
0xfffffff0086e6a60: 945e1853  lsl	w20, w20, #8
0xfffffff0086e6a64: 7f010aeb  cmp	x11, x10
0xfffffff0086e6a68: 02010054  b.hs	#0xfffffff0086e6a88
0xfffffff0086e6a6c: 08210011  add	w8, w8, #8
0xfffffff0086e6a70: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e6a74: 6c050091  add	x12, x11, #1
0xfffffff0086e6a78: 6c0a00f9  str	x12, [x19, #0x10]
0xfffffff0086e6a7c: 6b014039  ldrb	w11, [x11]
0xfffffff0086e6a80: 94020b2a  orr	w20, w20, w11
0xfffffff0086e6a84: eb030caa  mov	x11, x12
0xfffffff0086e6a88: 29050071  subs	w9, w9, #1
0xfffffff0086e6a8c: a1feff54  b.ne	#0xfffffff0086e6a60
0xfffffff0086e6a90: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e6a94: 290140b9  ldr	w9, [x9]
0xfffffff0086e6a98: 3f011a6a  tst	w9, w26
0xfffffff0086e6a9c: 80010054  b.eq	#0xfffffff0086e6acc
0xfffffff0086e6aa0: f42300a9  stp	x20, x8, [sp]
0xfffffff0086e6aa4: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e6aa8: 00403691  add	x0, x0, #0xd90
0xfffffff0086e6aac: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e6ab0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e6ab4: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e6ab8: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e6abc: 02008052  mov	w2, #0
0xfffffff0086e6ac0: 9c31f197  bl	#0xfffffff008333130
0xfffffff0086e6ac4: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e6ac8: 080240b9  ldr	w8, [x16]
0xfffffff0086e6acc: 957e1f53  lsr	w21, w20, #0x1f
0xfffffff0086e6ad0: 897a1f53  lsl	w9, w20, #1
0xfffffff0086e6ad4: 290200b9  str	w9, [x17]
0xfffffff0086e6ad8: 08050051  sub	w8, w8, #1
0xfffffff0086e6adc: 080200b9  str	w8, [x16]
0xfffffff0086e6ae0: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e6ae4: 290140b9  ldr	w9, [x9]
0xfffffff0086e6ae8: 3f011a6a  tst	w9, w26
0xfffffff0086e6aec: e0010054  b.eq	#0xfffffff0086e6b28
0xfffffff0086e6af0: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff0086e6af4: 4853ffd0  adrp	x8, #0xfffffff007150000
0xfffffff0086e6af8: 08451591  add	x8, x8, #0x551
0xfffffff0086e6afc: 29008052  mov	w9, #1
0xfffffff0086e6b00: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e6b04: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e6b08: 00403691  add	x0, x0, #0xd90
0xfffffff0086e6b0c: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e6b10: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e6b14: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e6b18: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e6b1c: 02008052  mov	w2, #0
0xfffffff0086e6b20: 8431f197  bl	#0xfffffff008333130
