; Candidate 11340
; ADRP+ADD at VM 0xfffffff008ef4054 (fileoff 0x1ef0054): page=0x1fe516000 add_imm=0xd07

0xfffffff008ef3fd4: a828fff0  adrp	x8, #0xfffffff00740a000
0xfffffff008ef3fd8: 08252a91  add	x8, x8, #0xa89
0xfffffff008ef3fdc: 69008052  mov	w9, #3
0xfffffff008ef3fe0: 7f2200a9  stp	xzr, x8, [x19]
0xfffffff008ef3fe4: 690200b9  str	w9, [x19]
0xfffffff008ef3fe8: 48088052  mov	w8, #0x42
0xfffffff008ef3fec: 680a00f9  str	x8, [x19, #0x10]
0xfffffff008ef3ff0: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008ef3ff4: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008ef3ff8: ff430191  add	sp, sp, #0x50
0xfffffff008ef3ffc: ff0f5fd6  retab	
0xfffffff008ef4000: 7f2303d5  pacibsp	
0xfffffff008ef4004: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ef4008: fd030091  mov	x29, sp
0xfffffff008ef400c: 1061ff90  adrp	x16, #0xfffffff007b14000
0xfffffff008ef4010: 10021f91  add	x16, x16, #0x7c0
0xfffffff008ef4014: 10420091  add	x16, x16, #0x10
0xfffffff008ef4018: f10300aa  mov	x17, x0
0xfffffff008ef401c: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef4020: 300ac1da  pacda	x16, x17
0xfffffff008ef4024: 100000f9  str	x16, [x0]
0xfffffff008ef4028: 080440f9  ldr	x8, [x0, #8]
0xfffffff008ef402c: 480100b5  cbnz	x8, #0xfffffff008ef4054
0xfffffff008ef4030: e10300aa  mov	x1, x0
0xfffffff008ef4034: 0061ffb0  adrp	x0, #0xfffffff007b15000
0xfffffff008ef4038: 00002091  add	x0, x0, #0x800
0xfffffff008ef403c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008ef4040: ff2303d5  autibsp	
0xfffffff008ef4044: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008ef4048: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008ef4050
0xfffffff008ef404c: 208e38d4  brk	#0xc471
0xfffffff008ef4050: af89d117  b	#0xfffffff00835670c
0xfffffff008ef4054: a028ffd0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef4058: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef405c: aef5ff97  bl	#0xfffffff008ef1714
0xfffffff008ef4060: 7f2303d5  pacibsp	
0xfffffff008ef4064: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ef4068: fd030091  mov	x29, sp
0xfffffff008ef406c: 1061ff90  adrp	x16, #0xfffffff007b14000
0xfffffff008ef4070: 10021f91  add	x16, x16, #0x7c0
0xfffffff008ef4074: 10420091  add	x16, x16, #0x10
0xfffffff008ef4078: f10300aa  mov	x17, x0
0xfffffff008ef407c: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef4080: 300ac1da  pacda	x16, x17
0xfffffff008ef4084: 100000f9  str	x16, [x0]
0xfffffff008ef4088: 080440f9  ldr	x8, [x0, #8]
0xfffffff008ef408c: 680000b5  cbnz	x8, #0xfffffff008ef4098
0xfffffff008ef4090: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008ef4094: ff0f5fd6  retab	
0xfffffff008ef4098: a028ffd0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef409c: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef40a0: 9df5ff97  bl	#0xfffffff008ef1714
0xfffffff008ef40a4: 7f2303d5  pacibsp	
0xfffffff008ef40a8: ff4301d1  sub	sp, sp, #0x50
0xfffffff008ef40ac: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008ef40b0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008ef40b4: fd030191  add	x29, sp, #0x40
0xfffffff008ef40b8: e90301aa  mov	x9, x1
0xfffffff008ef40bc: f40300aa  mov	x20, x0
0xfffffff008ef40c0: f30308aa  mov	x19, x8
0xfffffff008ef40c4: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff008ef40c8: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008ef40cc: e00300ad  stp	q0, q0, [sp]
0xfffffff008ef40d0: 010841a9  ldp	x1, x2, [x0, #0x10]
