; Candidate 11597
; ADRP+ADD at VM 0xfffffff008fc3b84 (fileoff 0x1fbfb84): page=0x1feb6e000 add_imm=0xdd8

0xfffffff008fc3b04: e20301aa  mov	x2, x1
0xfffffff008fc3b08: e10300aa  mov	x1, x0
0xfffffff008fc3b0c: 605bffd0  adrp	x0, #0xfffffff007b31000
0xfffffff008fc3b10: 00603791  add	x0, x0, #0xdd8
0xfffffff008fc3b14: e28ecc17  b	#0xfffffff0082e769c
0xfffffff008fc3b18: 5f2403d5  bti	c
0xfffffff008fc3b1c: 409a00d0  adrp	x0, #0xfffffff00a30d000
0xfffffff008fc3b20: 00801191  add	x0, x0, #0x460
0xfffffff008fc3b24: c0035fd6  ret	
0xfffffff008fc3b28: 7f2303d5  pacibsp	
0xfffffff008fc3b2c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008fc3b30: fd030091  mov	x29, sp
0xfffffff008fc3b34: 6123ffd0  adrp	x1, #0xfffffff007431000
0xfffffff008fc3b38: 217c1691  add	x1, x1, #0x59f
0xfffffff008fc3b3c: 429a00d0  adrp	x2, #0xfffffff00a30d000
0xfffffff008fc3b40: 42600491  add	x2, x2, #0x118
0xfffffff008fc3b44: 030c9752  mov	w3, #0xb860
0xfffffff008fc3b48: 8300a072  movk	w3, #4, lsl #16
0xfffffff008fc3b4c: fb7fcc97  bl	#0xfffffff0082e3b38
0xfffffff008fc3b50: 705bffd0  adrp	x16, #0xfffffff007b31000
0xfffffff008fc3b54: 10c20191  add	x16, x16, #0x70
0xfffffff008fc3b58: 10420091  add	x16, x16, #0x10
0xfffffff008fc3b5c: f10300aa  mov	x17, x0
0xfffffff008fc3b60: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fc3b64: 300ac1da  pacda	x16, x17
0xfffffff008fc3b68: 100000f9  str	x16, [x0]
0xfffffff008fc3b6c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008fc3b70: ff0f5fd6  retab	
0xfffffff008fc3b74: 7f2303d5  pacibsp	
0xfffffff008fc3b78: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008fc3b7c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008fc3b80: fd430091  add	x29, sp, #0x10
0xfffffff008fc3b84: 605bffd0  adrp	x0, #0xfffffff007b31000
0xfffffff008fc3b88: 00603791  add	x0, x0, #0xdd8
0xfffffff008fc3b8c: 010c9752  mov	w1, #0xb860
0xfffffff008fc3b90: 8100a072  movk	w1, #4, lsl #16
0xfffffff008fc3b94: a98ecc97  bl	#0xfffffff0082e7638
0xfffffff008fc3b98: f30300aa  mov	x19, x0
0xfffffff008fc3b9c: 549a00d0  adrp	x20, #0xfffffff00a30d000
0xfffffff008fc3ba0: 94821191  add	x20, x20, #0x460
0xfffffff008fc3ba4: e10314aa  mov	x1, x20
0xfffffff008fc3ba8: fb0eff97  bl	#0xfffffff008f87794
0xfffffff008fc3bac: 705bffb0  adrp	x16, #0xfffffff007b30000
0xfffffff008fc3bb0: 10021791  add	x16, x16, #0x5c0
0xfffffff008fc3bb4: 10420091  add	x16, x16, #0x10
0xfffffff008fc3bb8: f10300aa  mov	x17, x0
0xfffffff008fc3bbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fc3bc0: 300ac1da  pacda	x16, x17
0xfffffff008fc3bc4: 100000f9  str	x16, [x0]
0xfffffff008fc3bc8: e00314aa  mov	x0, x20
0xfffffff008fc3bcc: 5a85cc97  bl	#0xfffffff0082e5134
0xfffffff008fc3bd0: e00313aa  mov	x0, x19
0xfffffff008fc3bd4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008fc3bd8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008fc3bdc: ff0f5fd6  retab	
0xfffffff008fc3be0: 5f2403d5  bti	c
0xfffffff008fc3be4: e10300aa  mov	x1, x0
0xfffffff008fc3be8: 605bffd0  adrp	x0, #0xfffffff007b31000
0xfffffff008fc3bec: 00603791  add	x0, x0, #0xdd8
0xfffffff008fc3bf0: 928ecc17  b	#0xfffffff0082e7638
0xfffffff008fc3bf4: 7f2303d5  pacibsp	
0xfffffff008fc3bf8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008fc3bfc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008fc3c00: fd430091  add	x29, sp, #0x10
