; Candidate 15042
; ADRP+ADD at VM 0xfffffff009a62798 (fileoff 0x2a5e798): page=0x1fe254000 add_imm=0xde8

0xfffffff009a62718: fd830091  add	x29, sp, #0x20
0xfffffff009a6271c: f40303aa  mov	x20, x3
0xfffffff009a62720: f30302aa  mov	x19, x2
0xfffffff009a62724: f60301aa  mov	x22, x1
0xfffffff009a62728: f50300aa  mov	x21, x0
0xfffffff009a6272c: 6812ffb0  adrp	x8, #0xfffffff007caf000
0xfffffff009a62730: 08c12491  add	x8, x8, #0x930
0xfffffff009a62734: 010140f9  ldr	x1, [x8]
0xfffffff009a62738: e00316aa  mov	x0, x22
0xfffffff009a6273c: 6e05a297  bl	#0xfffffff0082e3cf4
0xfffffff009a62740: e80300aa  mov	x8, x0
0xfffffff009a62744: 00008052  mov	w0, #0
0xfffffff009a62748: 330400b4  cbz	x19, #0xfffffff009a627cc
0xfffffff009a6274c: 080400b4  cbz	x8, #0xfffffff009a627cc
0xfffffff009a62750: 4812ffd0  adrp	x8, #0xfffffff007cac000
0xfffffff009a62754: 089d43f9  ldr	x8, [x8, #0x738]
0xfffffff009a62758: 098d47f8  ldr	x9, [x8, #0x78]!
0xfffffff009a6275c: e00315aa  mov	x0, x21
0xfffffff009a62760: f10308aa  mov	x17, x8
0xfffffff009a62764: 514de9f2  movk	x17, #0x4a6a, lsl #48
0xfffffff009a62768: 31093fd7  blraa	x9, x17
0xfffffff009a6276c: 00030034  cbz	w0, #0xfffffff009a627cc
0xfffffff009a62770: b62200f9  str	x22, [x21, #0x40]
0xfffffff009a62774: 680240b9  ldr	w8, [x19]
0xfffffff009a62778: a86a00b9  str	w8, [x21, #0x68]
0xfffffff009a6277c: c83640b9  ldr	w8, [x22, #0x34]
0xfffffff009a62780: 1f210071  cmp	w8, #8
0xfffffff009a62784: 69000054  b.ls	#0xfffffff009a62790
0xfffffff009a62788: 00008052  mov	w0, #0
0xfffffff009a6278c: 10000014  b	#0xfffffff009a627cc
0xfffffff009a62790: a86200b9  str	w8, [x21, #0x60]
0xfffffff009a62794: 01f17dd3  lsl	x1, x8, #3
0xfffffff009a62798: a012ff90  adrp	x0, #0xfffffff007cb6000
0xfffffff009a6279c: 00a03791  add	x0, x0, #0xde8
0xfffffff009a627a0: 8cd1a397  bl	#0xfffffff008356dd0
0xfffffff009a627a4: a01a00f9  str	x0, [x21, #0x30]
0xfffffff009a627a8: 200100b4  cbz	x0, #0xfffffff009a627cc
0xfffffff009a627ac: 74000037  tbnz	w20, #0, #0xfffffff009a627b8
0xfffffff009a627b0: 20008052  mov	w0, #1
0xfffffff009a627b4: 06000014  b	#0xfffffff009a627cc
0xfffffff009a627b8: a86240b9  ldr	w8, [x21, #0x60]
0xfffffff009a627bc: 20008052  mov	w0, #1
0xfffffff009a627c0: 1f050071  cmp	w8, #1
0xfffffff009a627c4: 41000054  b.ne	#0xfffffff009a627cc
0xfffffff009a627c8: 60120039  strb	w0, [x19, #4]
0xfffffff009a627cc: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009a627d0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009a627d4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff009a627d8: ff0f5fd6  retab	
0xfffffff009a627dc: 7f2303d5  pacibsp	
0xfffffff009a627e0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a627e4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a627e8: fd430091  add	x29, sp, #0x10
0xfffffff009a627ec: f30300aa  mov	x19, x0
0xfffffff009a627f0: 1f6400b9  str	wzr, [x0, #0x64]
0xfffffff009a627f4: 086040b9  ldr	w8, [x0, #0x60]
0xfffffff009a627f8: 02f17dd3  lsl	x2, x8, #3
0xfffffff009a627fc: 011840f9  ldr	x1, [x0, #0x30]
0xfffffff009a62800: 1f1800f9  str	xzr, [x0, #0x30]
0xfffffff009a62804: a012ff90  adrp	x0, #0xfffffff007cb6000
0xfffffff009a62808: 00e03891  add	x0, x0, #0xe38
0xfffffff009a6280c: 77d1a397  bl	#0xfffffff008356de8
0xfffffff009a62810: 7f1600f9  str	xzr, [x19, #0x28]
0xfffffff009a62814: 7ffe03a9  stp	xzr, xzr, [x19, #0x38]
