; Candidate 6638
; ADRP+ADD at VM 0xfffffff008837090 (fileoff 0x1833090): page=0x1fe9b2000 add_imm=0xe80

0xfffffff008837010: f0110194  bl	#0xfffffff00887b7d0
0xfffffff008837014: e0040034  cbz	w0, #0xfffffff0088370b0
0xfffffff008837018: 200f8052  mov	w0, #0x79
0xfffffff00883701c: ff110194  bl	#0xfffffff00887b818
0xfffffff008837020: f60300aa  mov	x22, x0
0xfffffff008837024: 62f40194  bl	#0xfffffff0088b41ac
0xfffffff008837028: f50300aa  mov	x21, x0
0xfffffff00883702c: c0008052  mov	w0, #6
0xfffffff008837030: 08120194  bl	#0xfffffff00887b850
0xfffffff008837034: 96010034  cbz	w22, #0xfffffff008837064
0xfffffff008837038: e80314aa  mov	x8, x20
0xfffffff00883703c: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff008837040: 684fff90  adrp	x8, #0xfffffff007223000
0xfffffff008837044: 08890991  add	x8, x8, #0x262
0xfffffff008837048: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883704c: 280f8052  mov	w8, #0x79
0xfffffff008837050: f52300a9  stp	x21, x8, [sp]
0xfffffff008837054: e04effd0  adrp	x0, #0xfffffff007215000
0xfffffff008837058: 00a81591  add	x0, x0, #0x56a
0xfffffff00883705c: 0101d697  bl	#0xfffffff007db7460
0xfffffff008837060: 14000014  b	#0xfffffff0088370b0
0xfffffff008837064: 52f40194  bl	#0xfffffff0088b41ac
0xfffffff008837068: f50300aa  mov	x21, x0
0xfffffff00883706c: c0008052  mov	w0, #6
0xfffffff008837070: f8110194  bl	#0xfffffff00887b850
0xfffffff008837074: e80314aa  mov	x8, x20
0xfffffff008837078: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff00883707c: 684fff90  adrp	x8, #0xfffffff007223000
0xfffffff008837080: 08890991  add	x8, x8, #0x262
0xfffffff008837084: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008837088: 280f8052  mov	w8, #0x79
0xfffffff00883708c: f52300a9  stp	x21, x8, [sp]
0xfffffff008837090: 804dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008837094: 00003a91  add	x0, x0, #0xe80
0xfffffff008837098: 818effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00883709c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088370a0: a350fff0  adrp	x3, #0xfffffff00724e000
0xfffffff0088370a4: 63101091  add	x3, x3, #0x404
0xfffffff0088370a8: 02008052  mov	w2, #0
0xfffffff0088370ac: 21f0eb97  bl	#0xfffffff008333130
0xfffffff0088370b0: e00314aa  mov	x0, x20
0xfffffff0088370b4: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088370b8: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088370bc: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088370c0: ff030291  add	sp, sp, #0x80
0xfffffff0088370c4: ff0f5fd6  retab	
0xfffffff0088370c8: 39f40194  bl	#0xfffffff0088b41ac
0xfffffff0088370cc: f50300aa  mov	x21, x0
0xfffffff0088370d0: 80008052  mov	w0, #4
0xfffffff0088370d4: df110194  bl	#0xfffffff00887b850
0xfffffff0088370d8: e80314aa  mov	x8, x20
0xfffffff0088370dc: 690a40b9  ldr	w9, [x19, #8]
0xfffffff0088370e0: 6ada40b9  ldr	w10, [x19, #0xd8]
0xfffffff0088370e4: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff0088370e8: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0088370ec: c84effb0  adrp	x8, #0xfffffff007210000
0xfffffff0088370f0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088370f4: 897c8052  mov	w9, #0x3e4
0xfffffff0088370f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088370fc: 684fff90  adrp	x8, #0xfffffff007223000
0xfffffff008837100: 08890991  add	x8, x8, #0x262
0xfffffff008837104: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008837108: 280f8052  mov	w8, #0x79
0xfffffff00883710c: f52300a9  stp	x21, x8, [sp]
