; Candidate 1725
; ADRP+ADD at VM 0xfffffff0084f91d0 (fileoff 0x14f51d0): page=0x1febe8000 add_imm=0xdd8

0xfffffff0084f9150: 00c500f9  str	x0, [x8, #0x188]
0xfffffff0084f9154: e0ee0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff0084f9158: 00400691  add	x0, x0, #0x190
0xfffffff0084f915c: 015fffb0  adrp	x1, #0xfffffff0070da000
0xfffffff0084f9160: 219c0791  add	x1, x1, #0x1e7
0xfffffff0084f9164: e2ee00b0  adrp	x2, #0xfffffff00a2d6000
0xfffffff0084f9168: 42001891  add	x2, x2, #0x600
0xfffffff0084f916c: 03968052  mov	w3, #0x4b0
0xfffffff0084f9170: 72aaf797  bl	#0xfffffff0082e3b38
0xfffffff0084f9174: f0a4ffb0  adrp	x16, #0xfffffff007996000
0xfffffff0084f9178: 10223891  add	x16, x16, #0xe08
0xfffffff0084f917c: 10420091  add	x16, x16, #0x10
0xfffffff0084f9180: f10300aa  mov	x17, x0
0xfffffff0084f9184: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0084f9188: 300ac1da  pacda	x16, x17
0xfffffff0084f918c: 100000f9  str	x16, [x0]
0xfffffff0084f9190: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0084f9194: ff0f5fd6  retab	
0xfffffff0084f9198: 5f2403d5  bti	c
0xfffffff0084f919c: e0ee0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff0084f91a0: 00400691  add	x0, x0, #0x190
0xfffffff0084f91a4: 54adf717  b	#0xfffffff0082e46f4
0xfffffff0084f91a8: 5f2403d5  bti	c
0xfffffff0084f91ac: 000080d2  mov	x0, #0
0xfffffff0084f91b0: c0035fd6  ret	
0xfffffff0084f91b4: 5f2403d5  bti	c
0xfffffff0084f91b8: 4fadf717  b	#0xfffffff0082e46f4
0xfffffff0084f91bc: 5f2403d5  bti	c
0xfffffff0084f91c0: 4dadf717  b	#0xfffffff0082e46f4
0xfffffff0084f91c4: 7f2303d5  pacibsp	
0xfffffff0084f91c8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0084f91cc: fd030091  mov	x29, sp
0xfffffff0084f91d0: 405fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f91d4: 00603791  add	x0, x0, #0xdd8
0xfffffff0084f91d8: 18c0f897  bl	#0xfffffff008329238
0xfffffff0084f91dc: e8ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f91e0: 00dd00f9  str	x0, [x8, #0x1b8]
0xfffffff0084f91e4: 405fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f91e8: 00083891  add	x0, x0, #0xe02
0xfffffff0084f91ec: 13c0f897  bl	#0xfffffff008329238
0xfffffff0084f91f0: e8ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f91f4: 00e100f9  str	x0, [x8, #0x1c0]
0xfffffff0084f91f8: 405fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f91fc: 00883891  add	x0, x0, #0xe22
0xfffffff0084f9200: 0ec0f897  bl	#0xfffffff008329238
0xfffffff0084f9204: e8ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f9208: 00e500f9  str	x0, [x8, #0x1c8]
0xfffffff0084f920c: 405fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f9210: 00e43891  add	x0, x0, #0xe39
0xfffffff0084f9214: 09c0f897  bl	#0xfffffff008329238
0xfffffff0084f9218: e8ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f921c: 00e900f9  str	x0, [x8, #0x1d0]
0xfffffff0084f9220: 405fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f9224: 004c3991  add	x0, x0, #0xe53
0xfffffff0084f9228: 04c0f897  bl	#0xfffffff008329238
0xfffffff0084f922c: e8ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f9230: 00ed00f9  str	x0, [x8, #0x1d8]
0xfffffff0084f9234: 405fff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f9238: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0084f923c: ffbff897  bl	#0xfffffff008329238
0xfffffff0084f9240: e8ee0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f9244: 00f100f9  str	x0, [x8, #0x1e0]
0xfffffff0084f9248: e0ee0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff0084f924c: 00a02591  add	x0, x0, #0x968
