; Candidate 2636
; ADRP+ADD at VM 0xfffffff0086d6114 (fileoff 0x16d2114): page=0x1fea5b000 add_imm=0xd90

0xfffffff0086d6094: 7b0700f1  subs	x27, x27, #1
0xfffffff0086d6098: e1f9ff54  b.ne	#0xfffffff0086d5fd4
0xfffffff0086d609c: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff0086d60a0: 25000014  b	#0xfffffff0086d6134
0xfffffff0086d60a4: c853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d60a8: 08710191  add	x8, x8, #0x5c
0xfffffff0086d60ac: e80300f9  str	x8, [sp]
0xfffffff0086d60b0: c052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086d60b4: 00403691  add	x0, x0, #0xd90
0xfffffff0086d60b8: 2199fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d60bc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d60c0: e352ff90  adrp	x3, #0xfffffff007132000
0xfffffff0086d60c4: 63542291  add	x3, x3, #0x895
0xfffffff0086d60c8: 02008052  mov	w2, #0
0xfffffff0086d60cc: 1974f197  bl	#0xfffffff008333130
0xfffffff0086d60d0: 19000014  b	#0xfffffff0086d6134
0xfffffff0086d60d4: f9eb00a9  stp	x25, x26, [sp, #8]
0xfffffff0086d60d8: c853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d60dc: 08710191  add	x8, x8, #0x5c
0xfffffff0086d60e0: e80300f9  str	x8, [sp]
0xfffffff0086d60e4: c052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086d60e8: 00403691  add	x0, x0, #0xd90
0xfffffff0086d60ec: 2199fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d60f0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d60f4: e352ff90  adrp	x3, #0xfffffff007132000
0xfffffff0086d60f8: 63d02291  add	x3, x3, #0x8b4
0xfffffff0086d60fc: 02008052  mov	w2, #0
0xfffffff0086d6100: 0c74f197  bl	#0xfffffff008333130
0xfffffff0086d6104: 0c000014  b	#0xfffffff0086d6134
0xfffffff0086d6108: c853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d610c: 08710191  add	x8, x8, #0x5c
0xfffffff0086d6110: e85300a9  stp	x8, x20, [sp]
0xfffffff0086d6114: c052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086d6118: 00403691  add	x0, x0, #0xd90
0xfffffff0086d611c: 2199fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d6120: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d6124: e352ff90  adrp	x3, #0xfffffff007132000
0xfffffff0086d6128: 63282491  add	x3, x3, #0x90a
0xfffffff0086d612c: 02008052  mov	w2, #0
0xfffffff0086d6130: 0074f197  bl	#0xfffffff008333130
0xfffffff0086d6134: e01f40b9  ldr	w0, [sp, #0x1c]
0xfffffff0086d6138: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0086d613c: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0086d6140: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0086d6144: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0086d6148: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0086d614c: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff0086d6150: ff830291  add	sp, sp, #0xa0
0xfffffff0086d6154: ff0f5fd6  retab	
0xfffffff0086d6158: 7f2303d5  pacibsp	
0xfffffff0086d615c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086d6160: fd030091  mov	x29, sp
0xfffffff0086d6164: e80301aa  mov	x8, x1
0xfffffff0086d6168: e90300aa  mov	x9, x0
0xfffffff0086d616c: 005e8052  mov	w0, #0x2f0
0xfffffff0086d6170: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0086d6174: 210540f9  ldr	x1, [x9, #8]
0xfffffff0086d6178: 810200b4  cbz	x1, #0xfffffff0086d61c8
0xfffffff0086d617c: 290040f9  ldr	x9, [x1]
0xfffffff0086d6180: 3f0102eb  cmp	x9, x2
0xfffffff0086d6184: 81000054  b.ne	#0xfffffff0086d6194
0xfffffff0086d6188: 297840b9  ldr	w9, [x1, #0x78]
0xfffffff0086d618c: 3f01086b  cmp	w9, w8
0xfffffff0086d6190: 80000054  b.eq	#0xfffffff0086d61a0
