; Candidate 5500
; ADRP+ADD at VM 0xfffffff0087f4c78 (fileoff 0x17f0c78): page=0x1fe9f5000 add_imm=0xe80

0xfffffff0087f4bf8: 09478052  mov	w9, #0x238
0xfffffff0087f4bfc: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087f4c00: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4c04: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f4c08: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f4c0c: e80e8052  mov	w8, #0x77
0xfffffff0087f4c10: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f4c14: f70300f9  str	x23, [sp]
0xfffffff0087f4c18: a04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f4c1c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f4c20: a190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f4c24: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f4c28: 6352ff90  adrp	x3, #0xfffffff007240000
0xfffffff0087f4c2c: 635c1e91  add	x3, x3, #0x797
0xfffffff0087f4c30: 02008052  mov	w2, #0
0xfffffff0087f4c34: 3ff9ec97  bl	#0xfffffff008333130
0xfffffff0087f4c38: 06feff17  b	#0xfffffff0087f4450
0xfffffff0087f4c3c: 5cfd0294  bl	#0xfffffff0088b41ac
0xfffffff0087f4c40: f70300aa  mov	x23, x0
0xfffffff0087f4c44: 80008052  mov	w0, #4
0xfffffff0087f4c48: 021b0294  bl	#0xfffffff00887b850
0xfffffff0087f4c4c: 480340b9  ldr	w8, [x26]
0xfffffff0087f4c50: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0087f4c54: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4c58: 08392d91  add	x8, x8, #0xb4e
0xfffffff0087f4c5c: 893e8052  mov	w9, #0x1f4
0xfffffff0087f4c60: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f4c64: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4c68: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f4c6c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f4c70: e80e8052  mov	w8, #0x77
0xfffffff0087f4c74: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f4c78: a04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f4c7c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f4c80: a190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f4c84: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f4c88: 6352ff90  adrp	x3, #0xfffffff007240000
0xfffffff0087f4c8c: 63ac1991  add	x3, x3, #0x66b
0xfffffff0087f4c90: 02008052  mov	w2, #0
0xfffffff0087f4c94: 27f9ec97  bl	#0xfffffff008333130
0xfffffff0087f4c98: eefdff17  b	#0xfffffff0087f4450
0xfffffff0087f4c9c: 44fd0294  bl	#0xfffffff0088b41ac
0xfffffff0087f4ca0: f70300aa  mov	x23, x0
0xfffffff0087f4ca4: 80008052  mov	w0, #4
0xfffffff0087f4ca8: ea1a0294  bl	#0xfffffff00887b850
0xfffffff0087f4cac: 4a0340b9  ldr	w10, [x26]
0xfffffff0087f4cb0: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4cb4: 08c93091  add	x8, x8, #0xc32
0xfffffff0087f4cb8: 09488052  mov	w9, #0x240
0xfffffff0087f4cbc: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087f4cc0: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4cc4: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f4cc8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f4ccc: e80e8052  mov	w8, #0x77
0xfffffff0087f4cd0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f4cd4: f70300f9  str	x23, [sp]
0xfffffff0087f4cd8: a04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f4cdc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f4ce0: a190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f4ce4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f4ce8: 6352ff90  adrp	x3, #0xfffffff007240000
0xfffffff0087f4cec: 63401f91  add	x3, x3, #0x7d0
0xfffffff0087f4cf0: 02008052  mov	w2, #0
0xfffffff0087f4cf4: 0ff9ec97  bl	#0xfffffff008333130
