; Candidate 9603
; ADRP+ADD at VM 0xfffffff008a7f4b0 (fileoff 0x1a7b4b0): page=0x1860000 add_imm=0xeb8

0xfffffff008a7f430: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008a7f434: e90310aa  mov	x9, x16
0xfffffff008a7f438: f10309aa  mov	x17, x9
0xfffffff008a7f43c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008a7f440: 11093fd7  blraa	x8, x17
0xfffffff008a7f444: 7f7200f9  str	xzr, [x19, #0xe0]
0xfffffff008a7f448: 217fff90  adrp	x1, #0xfffffff007a63000
0xfffffff008a7f44c: 217841f9  ldr	x1, [x1, #0x2f0]
0xfffffff008a7f450: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff008a7f454: e00313aa  mov	x0, x19
0xfffffff008a7f458: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008a7f45c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008a7f460: ff2303d5  autibsp	
0xfffffff008a7f464: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008a7f468: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008a7f470
0xfffffff008a7f46c: 208e38d4  brk	#0xc471
0xfffffff008a7f470: f10301aa  mov	x17, x1
0xfffffff008a7f474: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff008a7f478: 110a1fd7  braa	x16, x17
0xfffffff008a7f47c: 5f2403d5  bti	c
0xfffffff008a7f480: 006c40f9  ldr	x0, [x0, #0xd8]
0xfffffff008a7f484: c0035fd6  ret	
0xfffffff008a7f488: 5f2403d5  bti	c
0xfffffff008a7f48c: c0035fd6  ret	
0xfffffff008a7f490: 5f2403d5  bti	c
0xfffffff008a7f494: 9894e117  b	#0xfffffff0082e46f4
0xfffffff008a7f498: 5f2403d5  bti	c
0xfffffff008a7f49c: 00008052  mov	w0, #0
0xfffffff008a7f4a0: c0035fd6  ret	
0xfffffff008a7f4a4: 7f2303d5  pacibsp	
0xfffffff008a7f4a8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a7f4ac: fd030091  mov	x29, sp
0xfffffff008a7f4b0: 00c30090  adrp	x0, #0xfffffff00a2df000
0xfffffff008a7f4b4: 00e03a91  add	x0, x0, #0xeb8
0xfffffff008a7f4b8: 8141fff0  adrp	x1, #0xfffffff0072b2000
0xfffffff008a7f4bc: 21301991  add	x1, x1, #0x64c
0xfffffff008a7f4c0: 227fff90  adrp	x2, #0xfffffff007a63000
0xfffffff008a7f4c4: 424441f9  ldr	x2, [x2, #0x288]
0xfffffff008a7f4c8: 031d8052  mov	w3, #0xe8
0xfffffff008a7f4cc: 9b91e197  bl	#0xfffffff0082e3b38
0xfffffff008a7f4d0: 307ffff0  adrp	x16, #0xfffffff007a66000
0xfffffff008a7f4d4: 10823491  add	x16, x16, #0xd20
0xfffffff008a7f4d8: 10420091  add	x16, x16, #0x10
0xfffffff008a7f4dc: f10300aa  mov	x17, x0
0xfffffff008a7f4e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a7f4e4: 300ac1da  pacda	x16, x17
0xfffffff008a7f4e8: 100000f9  str	x16, [x0]
0xfffffff008a7f4ec: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a7f4f0: ff0f5fd6  retab	
0xfffffff008a7f4f4: 5f2403d5  bti	c
0xfffffff008a7f4f8: 00c30090  adrp	x0, #0xfffffff00a2df000
0xfffffff008a7f4fc: 00e03a91  add	x0, x0, #0xeb8
0xfffffff008a7f500: 7d94e117  b	#0xfffffff0082e46f4
0xfffffff008a7f504: 7f2303d5  pacibsp	
0xfffffff008a7f508: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a7f50c: fd030091  mov	x29, sp
0xfffffff008a7f510: 8141fff0  adrp	x1, #0xfffffff0072b2000
0xfffffff008a7f514: 217c1a91  add	x1, x1, #0x69f
0xfffffff008a7f518: 227fff90  adrp	x2, #0xfffffff007a63000
0xfffffff008a7f51c: 424041f9  ldr	x2, [x2, #0x280]
0xfffffff008a7f520: 03208052  mov	w3, #0x100
0xfffffff008a7f524: 8591e197  bl	#0xfffffff0082e3b38
0xfffffff008a7f528: 507fff90  adrp	x16, #0xfffffff007a67000
0xfffffff008a7f52c: 10820f91  add	x16, x16, #0x3e0
