; Candidate 69
; ADRP+ADD at VM 0xfffffff007dc5d3c (fileoff 0xdc1d3c): page=0x1ff282000 add_imm=0xeb3

0xfffffff007dc5cbc: aae35f38  ldurb	w10, [x29, #-2]
0xfffffff007dc5cc0: 29010a0b  add	w9, w9, w10
0xfffffff007dc5cc4: 2929090b  add	w9, w9, w9, lsl #10
0xfffffff007dc5cc8: 2919494a  eor	w9, w9, w9, lsr #6
0xfffffff007dc5ccc: aaf35f38  ldurb	w10, [x29, #-1]
0xfffffff007dc5cd0: 29010a0b  add	w9, w9, w10
0xfffffff007dc5cd4: 2929090b  add	w9, w9, w9, lsl #10
0xfffffff007dc5cd8: 2919494a  eor	w9, w9, w9, lsr #6
0xfffffff007dc5cdc: 290d090b  add	w9, w9, w9, lsl #3
0xfffffff007dc5ce0: 292d494a  eor	w9, w9, w9, lsr #11
0xfffffff007dc5ce4: 293d090b  add	w9, w9, w9, lsl #15
0xfffffff007dc5ce8: 8ad8fff0  adrp	x10, #0xfffffff0078d8000
0xfffffff007dc5cec: 4ac146b9  ldr	w10, [x10, #0x6c0]
0xfffffff007dc5cf0: 4a050051  sub	w10, w10, #1
0xfffffff007dc5cf4: 29010a0a  and	w9, w9, w10
0xfffffff007dc5cf8: 0a038052  mov	w10, #0x18
0xfffffff007dc5cfc: 2021aa9b  umaddl	x0, w9, w10, x8
0xfffffff007dc5d00: 03008052  mov	w3, #0
0xfffffff007dc5d04: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007dc5d08: ffc30091  add	sp, sp, #0x30
0xfffffff007dc5d0c: ff2303d5  autibsp	
0xfffffff007dc5d10: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007dc5d14: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007dc5d1c
0xfffffff007dc5d18: 208e38d4  brk	#0xc471
0xfffffff007dc5d1c: 6de50014  b	#0xfffffff007dff2d0
0xfffffff007dc5d20: c8df8052  mov	w8, #0x6fe
0xfffffff007dc5d24: 0994ffd0  adrp	x9, #0xfffffff007047000
0xfffffff007dc5d28: 29a53991  add	x9, x9, #0xe69
0xfffffff007dc5d2c: 0a94ffd0  adrp	x10, #0xfffffff007047000
0xfffffff007dc5d30: 4a753d91  add	x10, x10, #0xf5d
0xfffffff007dc5d34: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007dc5d38: ea0300f9  str	x10, [sp]
0xfffffff007dc5d3c: 0094ffd0  adrp	x0, #0xfffffff007047000
0xfffffff007dc5d40: 00cc3a91  add	x0, x0, #0xeb3
0xfffffff007dc5d44: f2391b94  bl	#0xfffffff00849450c
0xfffffff007dc5d48: 48e08052  mov	w8, #0x702
0xfffffff007dc5d4c: 0994ffd0  adrp	x9, #0xfffffff007047000
0xfffffff007dc5d50: 29a53991  add	x9, x9, #0xe69
0xfffffff007dc5d54: 0a94ffd0  adrp	x10, #0xfffffff007047000
0xfffffff007dc5d58: 4a753d91  add	x10, x10, #0xf5d
0xfffffff007dc5d5c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007dc5d60: ea0300f9  str	x10, [sp]
0xfffffff007dc5d64: 0094ffd0  adrp	x0, #0xfffffff007047000
0xfffffff007dc5d68: 00c83d91  add	x0, x0, #0xf72
0xfffffff007dc5d6c: e8391b94  bl	#0xfffffff00849450c
0xfffffff007dc5d70: 7f2303d5  pacibsp	
0xfffffff007dc5d74: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff007dc5d78: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff007dc5d7c: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff007dc5d80: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff007dc5d84: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff007dc5d88: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff007dc5d8c: fd430191  add	x29, sp, #0x50
0xfffffff007dc5d90: f50301aa  mov	x21, x1
0xfffffff007dc5d94: f40300aa  mov	x20, x0
0xfffffff007dc5d98: 96d038d5  mrs	x22, tpidr_el1
0xfffffff007dc5d9c: 37423bd5  mrs	x23, daif
0xfffffff007dc5da0: 57003837  tbnz	w23, #7, #0xfffffff007dc5da8
0xfffffff007dc5da4: df4703d5  msr	daifset, #7
0xfffffff007dc5da8: 38008052  mov	w24, #1
0xfffffff007dc5dac: 93820191  add	x19, x20, #0x60
0xfffffff007dc5db0: c84a41b9  ldr	w8, [x22, #0x148]
0xfffffff007dc5db4: 08050011  add	w8, w8, #1
0xfffffff007dc5db8: c84a01b9  str	w8, [x22, #0x148]
