; Candidate 13958
; ADRP+ADD at VM 0xfffffff00963b7e4 (fileoff 0x26377e4): page=0xd4e000 add_imm=0xec0

0xfffffff00963b764: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff00963b768: ffc30191  add	sp, sp, #0x70
0xfffffff00963b76c: ff0f5fd6  retab	
0xfffffff00963b770: 5f2403d5  bti	c
0xfffffff00963b774: 08000291  add	x8, x0, #0x80
0xfffffff00963b778: 810000b4  cbz	x1, #0xfffffff00963b788
0xfffffff00963b77c: 200440ad  ldp	q0, q1, [x1]
0xfffffff00963b780: 000500ad  stp	q0, q1, [x8]
0xfffffff00963b784: c0035fd6  ret	
0xfffffff00963b788: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00963b78c: 000100ad  stp	q0, q0, [x8]
0xfffffff00963b790: c0035fd6  ret	
0xfffffff00963b794: 5f2403d5  bti	c
0xfffffff00963b798: 01b000b9  str	w1, [x0, #0xb0]
0xfffffff00963b79c: c0035fd6  ret	
0xfffffff00963b7a0: 5f2403d5  bti	c
0xfffffff00963b7a4: 01b400b9  str	w1, [x0, #0xb4]
0xfffffff00963b7a8: c0035fd6  ret	
0xfffffff00963b7ac: 5f2403d5  bti	c
0xfffffff00963b7b0: 015000f9  str	x1, [x0, #0xa0]
0xfffffff00963b7b4: c0035fd6  ret	
0xfffffff00963b7b8: 5f2403d5  bti	c
0xfffffff00963b7bc: 015400f9  str	x1, [x0, #0xa8]
0xfffffff00963b7c0: c0035fd6  ret	
0xfffffff00963b7c4: 5f2403d5  bti	c
0xfffffff00963b7c8: 013c00f9  str	x1, [x0, #0x78]
0xfffffff00963b7cc: c0035fd6  ret	
0xfffffff00963b7d0: 5f2403d5  bti	c
0xfffffff00963b7d4: c8a3b217  b	#0xfffffff0082e46f4
0xfffffff00963b7d8: 7f2303d5  pacibsp	
0xfffffff00963b7dc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00963b7e0: fd030091  mov	x29, sp
0xfffffff00963b7e4: 606a00d0  adrp	x0, #0xfffffff00a389000
0xfffffff00963b7e8: 00003b91  add	x0, x0, #0xec0
0xfffffff00963b7ec: 81f9feb0  adrp	x1, #0xfffffff00756c000
0xfffffff00963b7f0: 21680d91  add	x1, x1, #0x35a
0xfffffff00963b7f4: 222eff90  adrp	x2, #0xfffffff007bff000
0xfffffff00963b7f8: 421046f9  ldr	x2, [x2, #0xc20]
0xfffffff00963b7fc: 03178052  mov	w3, #0xb8
0xfffffff00963b800: cea0b297  bl	#0xfffffff0082e3b38
0xfffffff00963b804: 702effb0  adrp	x16, #0xfffffff007c08000
0xfffffff00963b808: 10023c91  add	x16, x16, #0xf00
0xfffffff00963b80c: 10420091  add	x16, x16, #0x10
0xfffffff00963b810: f10300aa  mov	x17, x0
0xfffffff00963b814: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00963b818: 300ac1da  pacda	x16, x17
0xfffffff00963b81c: 100000f9  str	x16, [x0]
0xfffffff00963b820: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00963b824: ff0f5fd6  retab	
0xfffffff00963b828: 5f2403d5  bti	c
0xfffffff00963b82c: 606a00d0  adrp	x0, #0xfffffff00a389000
0xfffffff00963b830: 00003b91  add	x0, x0, #0xec0
0xfffffff00963b834: b0a3b217  b	#0xfffffff0082e46f4
0xfffffff00963b838: 5f2403d5  bti	c
0xfffffff00963b83c: 08084039  ldrb	w8, [x0, #2]
0xfffffff00963b840: 1f010071  cmp	w8, #0
0xfffffff00963b844: e0079f1a  cset	w0, ne
0xfffffff00963b848: c0035fd6  ret	
0xfffffff00963b84c: 7f2303d5  pacibsp	
0xfffffff00963b850: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00963b854: fd030091  mov	x29, sp
0xfffffff00963b858: 81f9feb0  adrp	x1, #0xfffffff00756c000
0xfffffff00963b85c: 21540e91  add	x1, x1, #0x395
0xfffffff00963b860: 626a00f0  adrp	x2, #0xfffffff00a38a000
