; Candidate 14817
; ADRP+ADD at VM 0xfffffff0099706e4 (fileoff 0x296c6e4): page=0x1fdc7a000 add_imm=0xda5

0xfffffff009970664: ff0302d1  sub	sp, sp, #0x80
0xfffffff009970668: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00997066c: fdc30191  add	x29, sp, #0x70
0xfffffff009970670: 8818ffd0  adrp	x8, #0xfffffff007c82000
0xfffffff009970674: 089146f9  ldr	x8, [x8, #0xd20]
0xfffffff009970678: e80700f9  str	x8, [sp, #8]
0xfffffff00997067c: a0031ff8  stur	x0, [x29, #-0x10]
0xfffffff009970680: a1831ef8  stur	x1, [x29, #-0x18]
0xfffffff009970684: a8035ff8  ldur	x8, [x29, #-0x10]
0xfffffff009970688: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00997068c: 48158052  mov	w8, #0xaa
0xfffffff009970690: a8731e38  sturb	w8, [x29, #-0x19]
0xfffffff009970694: bf731e38  sturb	wzr, [x29, #-0x19]
0xfffffff009970698: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff00997069c: e90308aa  mov	x9, x8
0xfffffff0099706a0: a9831df8  stur	x9, [x29, #-0x28]
0xfffffff0099706a4: a8031df8  stur	x8, [x29, #-0x30]
0xfffffff0099706a8: a0835ef8  ldur	x0, [x29, #-0x18]
0xfffffff0099706ac: 8818ffd0  adrp	x8, #0xfffffff007c82000
0xfffffff0099706b0: 085946f9  ldr	x8, [x8, #0xcb0]
0xfffffff0099706b4: 010140f9  ldr	x1, [x8]
0xfffffff0099706b8: 8fcda597  bl	#0xfffffff0082e3cf4
0xfffffff0099706bc: a0031df8  stur	x0, [x29, #-0x30]
0xfffffff0099706c0: a8035df8  ldur	x8, [x29, #-0x30]
0xfffffff0099706c4: 080100f1  subs	x8, x8, #0
0xfffffff0099706c8: e8079f1a  cset	w8, ne
0xfffffff0099706cc: a8010037  tbnz	w8, #0, #0xfffffff009970700
0xfffffff0099706d0: 01000014  b	#0xfffffff0099706d4
0xfffffff0099706d4: e9030091  mov	x9, sp
0xfffffff0099706d8: c8e3fed0  adrp	x8, #0xfffffff0075ea000
0xfffffff0099706dc: 08513791  add	x8, x8, #0xdd4
0xfffffff0099706e0: 280100f9  str	x8, [x9]
0xfffffff0099706e4: c0e3fed0  adrp	x0, #0xfffffff0075ea000
0xfffffff0099706e8: 00943691  add	x0, x0, #0xda5
0xfffffff0099706ec: 4fc6ff97  bl	#0xfffffff009962028
0xfffffff0099706f0: 48588052  mov	w8, #0x2c2
0xfffffff0099706f4: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0099706f8: a8c31fb8  stur	w8, [x29, #-4]
0xfffffff0099706fc: fb000014  b	#0xfffffff009970ae8
0xfffffff009970700: a0035df8  ldur	x0, [x29, #-0x30]
0xfffffff009970704: 100040f9  ldr	x16, [x0]
0xfffffff009970708: e80300aa  mov	x8, x0
0xfffffff00997070c: f10308aa  mov	x17, x8
0xfffffff009970710: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009970714: 301ac1da  autda	x16, x17
0xfffffff009970718: 112780d2  mov	x17, #0x138
0xfffffff00997071c: 1002118b  add	x16, x16, x17
0xfffffff009970720: 080240f9  ldr	x8, [x16]
0xfffffff009970724: e90310aa  mov	x9, x16
0xfffffff009970728: c1e3fed0  adrp	x1, #0xfffffff0075ea000
0xfffffff00997072c: 21683891  add	x1, x1, #0xe1a
0xfffffff009970730: f10309aa  mov	x17, x9
0xfffffff009970734: 71c7e5f2  movk	x17, #0x2e3b, lsl #48
0xfffffff009970738: 11093fd7  blraa	x8, x17
0xfffffff00997073c: a0831df8  stur	x0, [x29, #-0x28]
0xfffffff009970740: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff009970744: 080100f1  subs	x8, x8, #0
0xfffffff009970748: e8179f1a  cset	w8, eq
0xfffffff00997074c: 88050037  tbnz	w8, #0, #0xfffffff0099707fc
0xfffffff009970750: 01000014  b	#0xfffffff009970754
0xfffffff009970754: e80740f9  ldr	x8, [sp, #8]
0xfffffff009970758: e9f301b2  mov	x9, #-0x5555555555555556
0xfffffff00997075c: e91f00f9  str	x9, [sp, #0x38]
0xfffffff009970760: a0835df8  ldur	x0, [x29, #-0x28]
