; Candidate 8573
; ADRP+ADD at VM 0xfffffff0088b2960 (fileoff 0x18ae960): page=0x1fe982000 add_imm=0xd6f

0xfffffff0088b28e0: 1500150b  add	w21, w0, w21
0xfffffff0088b28e4: e00318aa  mov	x0, x24
0xfffffff0088b28e8: 7bf3fd97  bl	#0xfffffff00882f6d4
0xfffffff0088b28ec: f80300aa  mov	x24, x0
0xfffffff0088b28f0: e00317aa  mov	x0, x23
0xfffffff0088b28f4: baf5fd97  bl	#0xfffffff00882ffdc
0xfffffff0088b28f8: 1f0300eb  cmp	x24, x0
0xfffffff0088b28fc: 21fdff54  b.ne	#0xfffffff0088b28a0
0xfffffff0088b2900: e00314aa  mov	x0, x20
0xfffffff0088b2904: fb0316aa  mov	x27, x22
0xfffffff0088b2908: e10316aa  mov	x1, x22
0xfffffff0088b290c: b123ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b2910: f6bf40b9  ldr	w22, [sp, #0xbc]
0xfffffff0088b2914: 60090034  cbz	w0, #0xfffffff0088b2a40
0xfffffff0088b2918: e00314aa  mov	x0, x20
0xfffffff0088b291c: bf23ff97  bl	#0xfffffff00887b818
0xfffffff0088b2920: b602f837  tbnz	w22, #0x1f, #0xfffffff0088b2974
0xfffffff0088b2924: d9021b12  and	w25, w22, #0x20
0xfffffff0088b2928: 1a000052  eor	w26, w0, #1
0xfffffff0088b292c: 20060094  bl	#0xfffffff0088b41ac
0xfffffff0088b2930: f50300aa  mov	x21, x0
0xfffffff0088b2934: e0031baa  mov	x0, x27
0xfffffff0088b2938: c623ff97  bl	#0xfffffff00887b850
0xfffffff0088b293c: f80300aa  mov	x24, x0
0xfffffff0088b2940: e00317aa  mov	x0, x23
0xfffffff0088b2944: 3bf3fd97  bl	#0xfffffff00882f630
0xfffffff0088b2948: 4817592a  orr	w8, w26, w25, lsr #5
0xfffffff0088b294c: e8020037  tbnz	w8, #0, #0xfffffff0088b29a8
0xfffffff0088b2950: e8030391  add	x8, sp, #0xc0
0xfffffff0088b2954: e0a302a9  stp	x0, x8, [sp, #0x28]
0xfffffff0088b2958: a80302d1  sub	x8, x29, #0x80
0xfffffff0088b295c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088b2960: 004cffd0  adrp	x0, #0xfffffff007234000
0xfffffff0088b2964: 00bc3591  add	x0, x0, #0xd6f
0xfffffff0088b2968: f4e300a9  stp	x20, x24, [sp, #8]
0xfffffff0088b296c: f50300f9  str	x21, [sp]
0xfffffff0088b2970: 0c000014  b	#0xfffffff0088b29a0
0xfffffff0088b2974: 60040034  cbz	w0, #0xfffffff0088b2a00
0xfffffff0088b2978: e803164b  neg	w8, w22
0xfffffff0088b297c: 28042837  tbnz	w8, #5, #0xfffffff0088b2a00
0xfffffff0088b2980: e00317aa  mov	x0, x23
0xfffffff0088b2984: 2bf3fd97  bl	#0xfffffff00882f630
0xfffffff0088b2988: e8030391  add	x8, sp, #0xc0
0xfffffff0088b298c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b2990: a80302d1  sub	x8, x29, #0x80
0xfffffff0088b2994: e84f00a9  stp	x8, x19, [sp]
0xfffffff0088b2998: 004cffd0  adrp	x0, #0xfffffff007234000
0xfffffff0088b299c: 004c3591  add	x0, x0, #0xd53
0xfffffff0088b29a0: b012d497  bl	#0xfffffff007db7460
0xfffffff0088b29a4: 27000014  b	#0xfffffff0088b2a40
0xfffffff0088b29a8: 01060094  bl	#0xfffffff0088b41ac
0xfffffff0088b29ac: f50300aa  mov	x21, x0
0xfffffff0088b29b0: e0031baa  mov	x0, x27
0xfffffff0088b29b4: a723ff97  bl	#0xfffffff00887b850
0xfffffff0088b29b8: f60300aa  mov	x22, x0
0xfffffff0088b29bc: e00317aa  mov	x0, x23
0xfffffff0088b29c0: 1cf3fd97  bl	#0xfffffff00882f630
0xfffffff0088b29c4: e8030391  add	x8, sp, #0xc0
0xfffffff0088b29c8: e0a302a9  stp	x0, x8, [sp, #0x28]
0xfffffff0088b29cc: a80302d1  sub	x8, x29, #0x80
0xfffffff0088b29d0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088b29d4: f4db00a9  stp	x20, x22, [sp, #8]
0xfffffff0088b29d8: f50300f9  str	x21, [sp]
0xfffffff0088b29dc: a049fff0  adrp	x0, #0xfffffff0071e9000
