; Candidate 8225
; ADRP+ADD at VM 0xfffffff00889d500 (fileoff 0x1899500): page=0x1fe94c000 add_imm=0xe80

0xfffffff00889d480: 18020034  cbz	w24, #0xfffffff00889d4c0
0xfffffff00889d484: 680240b9  ldr	w8, [x19]
0xfffffff00889d488: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff00889d48c: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff00889d490: 884cfff0  adrp	x8, #0xfffffff007230000
0xfffffff00889d494: 083d1d91  add	x8, x8, #0x74f
0xfffffff00889d498: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00889d49c: a84cff90  adrp	x8, #0xfffffff007231000
0xfffffff00889d4a0: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889d4a4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889d4a8: a80f8052  mov	w8, #0x7d
0xfffffff00889d4ac: 804cfff0  adrp	x0, #0xfffffff007230000
0xfffffff00889d4b0: 00f41f91  add	x0, x0, #0x7fd
0xfffffff00889d4b4: f72300a9  stp	x23, x8, [sp]
0xfffffff00889d4b8: ea67d497  bl	#0xfffffff007db7460
0xfffffff00889d4bc: 19000014  b	#0xfffffff00889d520
0xfffffff00889d4c0: 3b5b0094  bl	#0xfffffff0088b41ac
0xfffffff00889d4c4: f70300aa  mov	x23, x0
0xfffffff00889d4c8: 00018052  mov	w0, #8
0xfffffff00889d4cc: e178ff97  bl	#0xfffffff00887b850
0xfffffff00889d4d0: e80316aa  mov	x8, x22
0xfffffff00889d4d4: 690240b9  ldr	w9, [x19]
0xfffffff00889d4d8: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff00889d4dc: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff00889d4e0: 884cfff0  adrp	x8, #0xfffffff007230000
0xfffffff00889d4e4: 083d1d91  add	x8, x8, #0x74f
0xfffffff00889d4e8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00889d4ec: a84cff90  adrp	x8, #0xfffffff007231000
0xfffffff00889d4f0: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889d4f4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889d4f8: a80f8052  mov	w8, #0x7d
0xfffffff00889d4fc: f72300a9  stp	x23, x8, [sp]
0xfffffff00889d500: 604aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00889d504: 00003a91  add	x0, x0, #0xe80
0xfffffff00889d508: 418bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00889d50c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889d510: 034efff0  adrp	x3, #0xfffffff007260000
0xfffffff00889d514: 631c2491  add	x3, x3, #0x907
0xfffffff00889d518: 02008052  mov	w2, #0
0xfffffff00889d51c: 0557ea97  bl	#0xfffffff008333130
0xfffffff00889d520: e00316aa  mov	x0, x22
0xfffffff00889d524: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00889d528: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00889d52c: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00889d530: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff00889d534: ff830291  add	sp, sp, #0xa0
0xfffffff00889d538: ff0f5fd6  retab	
0xfffffff00889d53c: 7f2303d5  pacibsp	
0xfffffff00889d540: ff4304d1  sub	sp, sp, #0x110
0xfffffff00889d544: fc6f0ba9  stp	x28, x27, [sp, #0xb0]
0xfffffff00889d548: fa670ca9  stp	x26, x25, [sp, #0xc0]
0xfffffff00889d54c: f85f0da9  stp	x24, x23, [sp, #0xd0]
0xfffffff00889d550: f6570ea9  stp	x22, x21, [sp, #0xe0]
0xfffffff00889d554: f44f0fa9  stp	x20, x19, [sp, #0xf0]
0xfffffff00889d558: fd7b10a9  stp	x29, x30, [sp, #0x100]
0xfffffff00889d55c: fd030491  add	x29, sp, #0x100
0xfffffff00889d560: fa0307aa  mov	x26, x7
0xfffffff00889d564: f80306aa  mov	x24, x6
0xfffffff00889d568: f70305aa  mov	x23, x5
0xfffffff00889d56c: f90304aa  mov	x25, x4
0xfffffff00889d570: f50303aa  mov	x21, x3
0xfffffff00889d574: f60302aa  mov	x22, x2
0xfffffff00889d578: f40301aa  mov	x20, x1
0xfffffff00889d57c: f30300aa  mov	x19, x0
