; Candidate 6061
; ADRP+ADD at VM 0xfffffff008811d18 (fileoff 0x180dd18): page=0x1fe9d8000 add_imm=0xe80

0xfffffff008811c98: c9468052  mov	w9, #0x236
0xfffffff008811c9c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008811ca0: 6850ff90  adrp	x8, #0xfffffff00721d000
0xfffffff008811ca4: 08fd1391  add	x8, x8, #0x4ff
0xfffffff008811ca8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008811cac: 880e8052  mov	w8, #0x74
0xfffffff008811cb0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008811cb4: f40300f9  str	x20, [sp]
0xfffffff008811cb8: c04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008811cbc: 00003a91  add	x0, x0, #0xe80
0xfffffff008811cc0: a18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008811cc4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008811cc8: a351ffd0  adrp	x3, #0xfffffff007247000
0xfffffff008811ccc: 63c02991  add	x3, x3, #0xa70
0xfffffff008811cd0: 02008052  mov	w2, #0
0xfffffff008811cd4: 1785ec97  bl	#0xfffffff008333130
0xfffffff008811cd8: c07e8012  mov	w0, #-0x3f7
0xfffffff008811cdc: 18000014  b	#0xfffffff008811d3c
0xfffffff008811ce0: 33890294  bl	#0xfffffff0088b41ac
0xfffffff008811ce4: f30300aa  mov	x19, x0
0xfffffff008811ce8: 80008052  mov	w0, #4
0xfffffff008811cec: d9a60194  bl	#0xfffffff00887b850
0xfffffff008811cf0: ff5303a9  stp	xzr, x20, [sp, #0x30]
0xfffffff008811cf4: 4850fff0  adrp	x8, #0xfffffff00721c000
0xfffffff008811cf8: 08450491  add	x8, x8, #0x111
0xfffffff008811cfc: 49468052  mov	w9, #0x232
0xfffffff008811d00: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008811d04: 6850ff90  adrp	x8, #0xfffffff00721d000
0xfffffff008811d08: 08fd1391  add	x8, x8, #0x4ff
0xfffffff008811d0c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008811d10: 880e8052  mov	w8, #0x74
0xfffffff008811d14: f32300a9  stp	x19, x8, [sp]
0xfffffff008811d18: c04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008811d1c: 00003a91  add	x0, x0, #0xe80
0xfffffff008811d20: a18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008811d24: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008811d28: a351ffd0  adrp	x3, #0xfffffff007247000
0xfffffff008811d2c: 63f82891  add	x3, x3, #0xa3e
0xfffffff008811d30: 02008052  mov	w2, #0
0xfffffff008811d34: ff84ec97  bl	#0xfffffff008333130
0xfffffff008811d38: 007d8012  mov	w0, #-0x3e9
0xfffffff008811d3c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008811d40: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008811d44: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008811d48: ff030291  add	sp, sp, #0x80
0xfffffff008811d4c: ff0f5fd6  retab	
0xfffffff008811d50: 7f2303d5  pacibsp	
0xfffffff008811d54: ff0302d1  sub	sp, sp, #0x80
0xfffffff008811d58: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008811d5c: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008811d60: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008811d64: fdc30191  add	x29, sp, #0x70
0xfffffff008811d68: f30301aa  mov	x19, x1
0xfffffff008811d6c: 200600b4  cbz	x0, #0xfffffff008811e30
0xfffffff008811d70: f40300aa  mov	x20, x0
0xfffffff008811d74: 08c84391  add	x8, x0, #0xf2, lsl #12
0xfffffff008811d78: 16a10491  add	x22, x8, #0x128
0xfffffff008811d7c: c00640f9  ldr	x0, [x22, #8]
0xfffffff008811d80: 000200b4  cbz	x0, #0xfffffff008811dc0
0xfffffff008811d84: c80240f9  ldr	x8, [x22]
0xfffffff008811d88: c80100b4  cbz	x8, #0xfffffff008811dc0
0xfffffff008811d8c: e10313aa  mov	x1, x19
0xfffffff008811d90: 520fff97  bl	#0xfffffff0087d5ad8
0xfffffff008811d94: f40300aa  mov	x20, x0
