; Candidate 8264
; ADRP+ADD at VM 0xfffffff00889f8b8 (fileoff 0x189b8b8): page=0x1fe94a000 add_imm=0xe80

0xfffffff00889f838: 17020034  cbz	w23, #0xfffffff00889f878
0xfffffff00889f83c: 680240b9  ldr	w8, [x19]
0xfffffff00889f840: f4db03a9  stp	x20, x22, [sp, #0x38]
0xfffffff00889f844: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00889f848: 884cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889f84c: 09f53491  add	x9, x8, #0xd3d
0xfffffff00889f850: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889f854: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889f858: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00889f85c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00889f860: a80f8052  mov	w8, #0x7d
0xfffffff00889f864: 804bfff0  adrp	x0, #0xfffffff007212000
0xfffffff00889f868: 00701b91  add	x0, x0, #0x6dc
0xfffffff00889f86c: f52300a9  stp	x21, x8, [sp]
0xfffffff00889f870: fc5ed497  bl	#0xfffffff007db7460
0xfffffff00889f874: 19000014  b	#0xfffffff00889f8d8
0xfffffff00889f878: 4d520094  bl	#0xfffffff0088b41ac
0xfffffff00889f87c: f50300aa  mov	x21, x0
0xfffffff00889f880: 00018052  mov	w0, #8
0xfffffff00889f884: f36fff97  bl	#0xfffffff00887b850
0xfffffff00889f888: e80316aa  mov	x8, x22
0xfffffff00889f88c: 690240b9  ldr	w9, [x19]
0xfffffff00889f890: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff00889f894: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00889f898: 884cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889f89c: 0af53491  add	x10, x8, #0xd3d
0xfffffff00889f8a0: 884cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889f8a4: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889f8a8: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00889f8ac: a80f8052  mov	w8, #0x7d
0xfffffff00889f8b0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00889f8b4: f50300f9  str	x21, [sp]
0xfffffff00889f8b8: 404affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889f8bc: 00003a91  add	x0, x0, #0xe80
0xfffffff00889f8c0: 418bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889f8c4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889f8c8: 034effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889f8cc: 630c3591  add	x3, x3, #0xd43
0xfffffff00889f8d0: 02008052  mov	w2, #0
0xfffffff00889f8d4: 174eea97  bl	#0xfffffff008333130
0xfffffff00889f8d8: e00316aa  mov	x0, x22
0xfffffff00889f8dc: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00889f8e0: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00889f8e4: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00889f8e8: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff00889f8ec: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff00889f8f0: ff830291  add	sp, sp, #0xa0
0xfffffff00889f8f4: ff0f5fd6  retab	
0xfffffff00889f8f8: 7f2303d5  pacibsp	
0xfffffff00889f8fc: ff0303d1  sub	sp, sp, #0xc0
0xfffffff00889f900: fc6f06a9  stp	x28, x27, [sp, #0x60]
0xfffffff00889f904: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff00889f908: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff00889f90c: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff00889f910: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff00889f914: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff00889f918: fdc30291  add	x29, sp, #0xb0
0xfffffff00889f91c: f50302aa  mov	x21, x2
0xfffffff00889f920: f40301aa  mov	x20, x1
0xfffffff00889f924: f30300aa  mov	x19, x0
0xfffffff00889f928: a00f8052  mov	w0, #0x7d
0xfffffff00889f92c: e1008052  mov	w1, #7
0xfffffff00889f930: a86fff97  bl	#0xfffffff00887b7d0
0xfffffff00889f934: e0020034  cbz	w0, #0xfffffff00889f990
