; Candidate 1871
; ADRP+ADD at VM 0xfffffff008538cf8 (fileoff 0x1534cf8): page=0x1feba9000 add_imm=0xdd8

0xfffffff008538c78: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008538c7c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008538c80: fd430091  add	x29, sp, #0x10
0xfffffff008538c84: 40a3ffb0  adrp	x0, #0xfffffff0079a1000
0xfffffff008538c88: 00002c91  add	x0, x0, #0xb00
0xfffffff008538c8c: 011a8052  mov	w1, #0xd0
0xfffffff008538c90: 6abaf697  bl	#0xfffffff0082e7638
0xfffffff008538c94: f30300aa  mov	x19, x0
0xfffffff008538c98: f4ec00b0  adrp	x20, #0xfffffff00a2d5000
0xfffffff008538c9c: 94a22791  add	x20, x20, #0x9e8
0xfffffff008538ca0: e10314aa  mov	x1, x20
0xfffffff008538ca4: b2baf697  bl	#0xfffffff0082e776c
0xfffffff008538ca8: 30a3ff90  adrp	x16, #0xfffffff00799c000
0xfffffff008538cac: 10020a91  add	x16, x16, #0x280
0xfffffff008538cb0: 10420091  add	x16, x16, #0x10
0xfffffff008538cb4: f10300aa  mov	x17, x0
0xfffffff008538cb8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008538cbc: 300ac1da  pacda	x16, x17
0xfffffff008538cc0: 100000f9  str	x16, [x0]
0xfffffff008538cc4: e00314aa  mov	x0, x20
0xfffffff008538cc8: 1bb1f697  bl	#0xfffffff0082e5134
0xfffffff008538ccc: e00313aa  mov	x0, x19
0xfffffff008538cd0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008538cd4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008538cd8: ff0f5fd6  retab	
0xfffffff008538cdc: 5f2403d5  bti	c
0xfffffff008538ce0: 85aef617  b	#0xfffffff0082e46f4
0xfffffff008538ce4: 5f2403d5  bti	c
0xfffffff008538ce8: 83aef617  b	#0xfffffff0082e46f4
0xfffffff008538cec: 7f2303d5  pacibsp	
0xfffffff008538cf0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008538cf4: fd030091  mov	x29, sp
0xfffffff008538cf8: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538cfc: 00603791  add	x0, x0, #0xdd8
0xfffffff008538d00: 4ec1f797  bl	#0xfffffff008329238
0xfffffff008538d04: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538d08: 00c904f9  str	x0, [x8, #0x990]
0xfffffff008538d0c: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538d10: 00083891  add	x0, x0, #0xe02
0xfffffff008538d14: 49c1f797  bl	#0xfffffff008329238
0xfffffff008538d18: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538d1c: 00cd04f9  str	x0, [x8, #0x998]
0xfffffff008538d20: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538d24: 00883891  add	x0, x0, #0xe22
0xfffffff008538d28: 44c1f797  bl	#0xfffffff008329238
0xfffffff008538d2c: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538d30: 00d104f9  str	x0, [x8, #0x9a0]
0xfffffff008538d34: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538d38: 00e43891  add	x0, x0, #0xe39
0xfffffff008538d3c: 3fc1f797  bl	#0xfffffff008329238
0xfffffff008538d40: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538d44: 00d504f9  str	x0, [x8, #0x9a8]
0xfffffff008538d48: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538d4c: 004c3991  add	x0, x0, #0xe53
0xfffffff008538d50: 3ac1f797  bl	#0xfffffff008329238
0xfffffff008538d54: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538d58: 00d904f9  str	x0, [x8, #0x9b0]
0xfffffff008538d5c: 405dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff008538d60: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008538d64: 35c1f797  bl	#0xfffffff008329238
0xfffffff008538d68: e8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008538d6c: 00dd04f9  str	x0, [x8, #0x9b8]
0xfffffff008538d70: e0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff008538d74: 00002791  add	x0, x0, #0x9c0
