; Candidate 434
; ADRP+ADD at VM 0xfffffff007f08d5c (fileoff 0xf04d5c): page=0x1ff155000 add_imm=0xd51

0xfffffff007f08cdc: 00001891  add	x0, x0, #0x600
0xfffffff007f08ce0: ea4f00a9  stp	x10, x19, [sp]
0xfffffff007f08ce4: 0a2e1694  bl	#0xfffffff00849450c
0xfffffff007f08ce8: 489a8252  mov	w8, #0x14d2
0xfffffff007f08cec: a98affb0  adrp	x9, #0xfffffff00705d000
0xfffffff007f08cf0: 29410791  add	x9, x9, #0x1d0
0xfffffff007f08cf4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007f08cf8: f30300f9  str	x19, [sp]
0xfffffff007f08cfc: a08affb0  adrp	x0, #0xfffffff00705d000
0xfffffff007f08d00: 007c3491  add	x0, x0, #0xd1f
0xfffffff007f08d04: 022e1694  bl	#0xfffffff00849450c
0xfffffff007f08d08: c8988252  mov	w8, #0x14c6
0xfffffff007f08d0c: a98affb0  adrp	x9, #0xfffffff00705d000
0xfffffff007f08d10: 29410791  add	x9, x9, #0x1d0
0xfffffff007f08d14: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007f08d18: f30300f9  str	x19, [sp]
0xfffffff007f08d1c: a08affb0  adrp	x0, #0xfffffff00705d000
0xfffffff007f08d20: 00183391  add	x0, x0, #0xcc6
0xfffffff007f08d24: fa2d1694  bl	#0xfffffff00849450c
0xfffffff007f08d28: c8998252  mov	w8, #0x14ce
0xfffffff007f08d2c: a98affb0  adrp	x9, #0xfffffff00705d000
0xfffffff007f08d30: 29410791  add	x9, x9, #0x1d0
0xfffffff007f08d34: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007f08d38: f30300f9  str	x19, [sp]
0xfffffff007f08d3c: a08affb0  adrp	x0, #0xfffffff00705d000
0xfffffff007f08d40: 00f83391  add	x0, x0, #0xcfe
0xfffffff007f08d44: f22d1694  bl	#0xfffffff00849450c
0xfffffff007f08d48: a89a8252  mov	w8, #0x14d5
0xfffffff007f08d4c: a98affb0  adrp	x9, #0xfffffff00705d000
0xfffffff007f08d50: 29410791  add	x9, x9, #0x1d0
0xfffffff007f08d54: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007f08d58: f30300f9  str	x19, [sp]
0xfffffff007f08d5c: a08affb0  adrp	x0, #0xfffffff00705d000
0xfffffff007f08d60: 00443591  add	x0, x0, #0xd51
0xfffffff007f08d64: ea2d1694  bl	#0xfffffff00849450c
0xfffffff007f08d68: 7f2303d5  pacibsp	
0xfffffff007f08d6c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff007f08d70: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff007f08d74: fd430091  add	x29, sp, #0x10
0xfffffff007f08d78: f30300aa  mov	x19, x0
0xfffffff007f08d7c: 81d038d5  mrs	x1, tpidr_el1
0xfffffff007f08d80: 284841b9  ldr	w8, [x1, #0x148]
0xfffffff007f08d84: 08050011  add	w8, w8, #1
0xfffffff007f08d88: 284801b9  str	w8, [x1, #0x148]
0xfffffff007f08d8c: a8190190  adrp	x8, #0xfffffff00a23c000
0xfffffff007f08d90: 08213791  add	x8, x8, #0xdc8
0xfffffff007f08d94: 097d5fc8  ldxr	x9, [x8]
0xfffffff007f08d98: 890300b5  cbnz	x9, #0xfffffff007f08e08
0xfffffff007f08d9c: 017de9c8  casa	x9, x1, [x8]
0xfffffff007f08da0: 3f0100f1  cmp	x9, #0
0xfffffff007f08da4: 41030054  b.ne	#0xfffffff007f08e0c
0xfffffff007f08da8: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff007f08dac: 087943d1  sub	x8, x8, #0xde, lsl #12
0xfffffff007f08db0: 1f6d2bf1  cmp	x8, #0xadb
0xfffffff007f08db4: a0000054  b.eq	#0xfffffff007f08dc8
0xfffffff007f08db8: 68424139  ldrb	w8, [x19, #0x50]
0xfffffff007f08dbc: a8001037  tbnz	w8, #2, #0xfffffff007f08dd0
0xfffffff007f08dc0: e00313aa  mov	x0, x19
0xfffffff007f08dc4: 17f5ff97  bl	#0xfffffff007f06220
0xfffffff007f08dc8: e00313aa  mov	x0, x19
0xfffffff007f08dcc: d7f5ff97  bl	#0xfffffff007f06528
0xfffffff007f08dd0: a0190190  adrp	x0, #0xfffffff00a23c000
0xfffffff007f08dd4: 00203791  add	x0, x0, #0xdc8
0xfffffff007f08dd8: 6b9bfa97  bl	#0xfffffff007dafb84
