; Candidate 16381
; ADRP+ADD at VM 0xfffffff009e7e004 (fileoff 0x2e7a004): page=0x1fd9b5000 add_imm=0xd9f

0xfffffff009e7df84: 010080d2  mov	x1, #0
0xfffffff009e7df88: 22008052  mov	w2, #1
0xfffffff009e7df8c: abdafe97  bl	#0xfffffff009e34a38
0xfffffff009e7df90: a0010034  cbz	w0, #0xfffffff009e7dfc4
0xfffffff009e7df94: f40300aa  mov	x20, x0
0xfffffff009e7df98: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009e7df9c: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff009e7dfa0: 69488052  mov	w9, #0x243
0xfffffff009e7dfa4: a8cdfed0  adrp	x8, #0xfffffff007833000
0xfffffff009e7dfa8: 086d2791  add	x8, x8, #0x9db
0xfffffff009e7dfac: e82700a9  stp	x8, x9, [sp]
0xfffffff009e7dfb0: a0cdfed0  adrp	x0, #0xfffffff007833000
0xfffffff009e7dfb4: 00743591  add	x0, x0, #0xd5d
0xfffffff009e7dfb8: 43060094  bl	#0xfffffff009e7f8c4
0xfffffff009e7dfbc: f80314aa  mov	x24, x20
0xfffffff009e7dfc0: 57000014  b	#0xfffffff009e7e11c
0xfffffff009e7dfc4: e20e43d3  ubfx	x2, x23, #3, #1
0xfffffff009e7dfc8: e02f40f9  ldr	x0, [sp, #0x58]
0xfffffff009e7dfcc: e10318aa  mov	x1, x24
0xfffffff009e7dfd0: e3031baa  mov	x3, x27
0xfffffff009e7dfd4: e4031aaa  mov	x4, x26
0xfffffff009e7dfd8: e50319aa  mov	x5, x25
0xfffffff009e7dfdc: 78050194  bl	#0xfffffff009ebf5bc
0xfffffff009e7dfe0: c0010034  cbz	w0, #0xfffffff009e7e018
0xfffffff009e7dfe4: f50300aa  mov	x21, x0
0xfffffff009e7dfe8: f8d701a9  stp	x24, x21, [sp, #0x18]
0xfffffff009e7dfec: e93340f9  ldr	x9, [sp, #0x60]
0xfffffff009e7dff0: c8498052  mov	w8, #0x24e
0xfffffff009e7dff4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009e7dff8: a8cdfed0  adrp	x8, #0xfffffff007833000
0xfffffff009e7dffc: 086d2791  add	x8, x8, #0x9db
0xfffffff009e7e000: e80300f9  str	x8, [sp]
0xfffffff009e7e004: a0cdfeb0  adrp	x0, #0xfffffff007833000
0xfffffff009e7e008: 007c3691  add	x0, x0, #0xd9f
0xfffffff009e7e00c: 2e060094  bl	#0xfffffff009e7f8c4
0xfffffff009e7e010: f80315aa  mov	x24, x21
0xfffffff009e7e014: 42000014  b	#0xfffffff009e7e11c
0xfffffff009e7e018: c0f5fe90  adrp	x0, #0xfffffff007d36000
0xfffffff009e7e01c: 00602591  add	x0, x0, #0x958
0xfffffff009e7e020: 35619397  bl	#0xfffffff0083564f4
0xfffffff009e7e024: a00500b4  cbz	x0, #0xfffffff009e7e0d8
0xfffffff009e7e028: fb0300aa  mov	x27, x0
0xfffffff009e7e02c: b92a00d0  adrp	x25, #0xfffffff00a3d4000
0xfffffff009e7e030: 39232a91  add	x25, x25, #0xa88
0xfffffff009e7e034: 080a8052  mov	w8, #0x50
0xfffffff009e7e038: 280328f8  ldadd	x8, x8, [x25]
0xfffffff009e7e03c: 18800091  add	x24, x0, #0x20
0xfffffff009e7e040: 15a00091  add	x21, x0, #0x28
0xfffffff009e7e044: e00313aa  mov	x0, x19
0xfffffff009e7e048: e10316aa  mov	x1, x22
0xfffffff009e7e04c: e20318aa  mov	x2, x24
0xfffffff009e7e050: e30315aa  mov	x3, x21
0xfffffff009e7e054: bc010094  bl	#0xfffffff009e7e744
0xfffffff009e7e058: 80090034  cbz	w0, #0xfffffff009e7e188
0xfffffff009e7e05c: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009e7e060: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff009e7e064: 094d8052  mov	w9, #0x268
0xfffffff009e7e068: a8cdfeb0  adrp	x8, #0xfffffff007833000
0xfffffff009e7e06c: 086d2791  add	x8, x8, #0x9db
0xfffffff009e7e070: e82700a9  stp	x8, x9, [sp]
0xfffffff009e7e074: a0cdfeb0  adrp	x0, #0xfffffff007833000
0xfffffff009e7e078: 00a43991  add	x0, x0, #0xe69
0xfffffff009e7e07c: 12060094  bl	#0xfffffff009e7f8c4
0xfffffff009e7e080: bf0200f9  str	xzr, [x21]
