; Candidate 1973
; ADRP+ADD at VM 0xfffffff00853f334 (fileoff 0x153b334): page=0x1ff464000 add_imm=0xd60

0xfffffff00853f2b4: 616241f9  ldr	x1, [x19, #0x2c0]
0xfffffff00853f2b8: 010100b4  cbz	x1, #0xfffffff00853f2d8
0xfffffff00853f2bc: 687243b9  ldr	w8, [x19, #0x370]
0xfffffff00853f2c0: 02f17dd3  lsl	x2, x8, #3
0xfffffff00853f2c4: 7f6201f9  str	xzr, [x19, #0x2c0]
0xfffffff00853f2c8: 20a3ff90  adrp	x0, #0xfffffff0079a3000
0xfffffff00853f2cc: 00c03191  add	x0, x0, #0xc70
0xfffffff00853f2d0: c65ef897  bl	#0xfffffff008356de8
0xfffffff00853f2d4: 7f6201f9  str	xzr, [x19, #0x2c0]
0xfffffff00853f2d8: 614a41f9  ldr	x1, [x19, #0x290]
0xfffffff00853f2dc: 010100b4  cbz	x1, #0xfffffff00853f2fc
0xfffffff00853f2e0: 686e43b9  ldr	w8, [x19, #0x36c]
0xfffffff00853f2e4: 02f17dd3  lsl	x2, x8, #3
0xfffffff00853f2e8: 7f4a01f9  str	xzr, [x19, #0x290]
0xfffffff00853f2ec: 20a3ff90  adrp	x0, #0xfffffff0079a3000
0xfffffff00853f2f0: 00003391  add	x0, x0, #0xcc0
0xfffffff00853f2f4: bd5ef897  bl	#0xfffffff008356de8
0xfffffff00853f2f8: 7f4a01f9  str	xzr, [x19, #0x290]
0xfffffff00853f2fc: 614641f9  ldr	x1, [x19, #0x288]
0xfffffff00853f300: 010100b4  cbz	x1, #0xfffffff00853f320
0xfffffff00853f304: 686e43b9  ldr	w8, [x19, #0x36c]
0xfffffff00853f308: 02f17dd3  lsl	x2, x8, #3
0xfffffff00853f30c: 7f4601f9  str	xzr, [x19, #0x288]
0xfffffff00853f310: 20a3ff90  adrp	x0, #0xfffffff0079a3000
0xfffffff00853f314: 00403491  add	x0, x0, #0xd10
0xfffffff00853f318: b45ef897  bl	#0xfffffff008356de8
0xfffffff00853f31c: 7f4601f9  str	xzr, [x19, #0x288]
0xfffffff00853f320: 614e41f9  ldr	x1, [x19, #0x298]
0xfffffff00853f324: 010100b4  cbz	x1, #0xfffffff00853f344
0xfffffff00853f328: 686e43b9  ldr	w8, [x19, #0x36c]
0xfffffff00853f32c: 02f17dd3  lsl	x2, x8, #3
0xfffffff00853f330: 7f4e01f9  str	xzr, [x19, #0x298]
0xfffffff00853f334: 20a3ff90  adrp	x0, #0xfffffff0079a3000
0xfffffff00853f338: 00803591  add	x0, x0, #0xd60
0xfffffff00853f33c: ab5ef897  bl	#0xfffffff008356de8
0xfffffff00853f340: 7f4e01f9  str	xzr, [x19, #0x298]
0xfffffff00853f344: 613e41f9  ldr	x1, [x19, #0x278]
0xfffffff00853f348: 010100b4  cbz	x1, #0xfffffff00853f368
0xfffffff00853f34c: 686e43b9  ldr	w8, [x19, #0x36c]
0xfffffff00853f350: 02f17dd3  lsl	x2, x8, #3
0xfffffff00853f354: 7f3e01f9  str	xzr, [x19, #0x278]
0xfffffff00853f358: 20a3ff90  adrp	x0, #0xfffffff0079a3000
0xfffffff00853f35c: 00c03691  add	x0, x0, #0xdb0
0xfffffff00853f360: a25ef897  bl	#0xfffffff008356de8
0xfffffff00853f364: 7f3e01f9  str	xzr, [x19, #0x278]
0xfffffff00853f368: 613a41f9  ldr	x1, [x19, #0x270]
0xfffffff00853f36c: 010100b4  cbz	x1, #0xfffffff00853f38c
0xfffffff00853f370: 686e43b9  ldr	w8, [x19, #0x36c]
0xfffffff00853f374: 02f17dd3  lsl	x2, x8, #3
0xfffffff00853f378: 7f3a01f9  str	xzr, [x19, #0x270]
0xfffffff00853f37c: 20a3ff90  adrp	x0, #0xfffffff0079a3000
0xfffffff00853f380: 00003891  add	x0, x0, #0xe00
0xfffffff00853f384: 995ef897  bl	#0xfffffff008356de8
0xfffffff00853f388: 7f3a01f9  str	xzr, [x19, #0x270]
0xfffffff00853f38c: 604241f9  ldr	x0, [x19, #0x280]
0xfffffff00853f390: c00000b4  cbz	x0, #0xfffffff00853f3a8
0xfffffff00853f394: 686e43b9  ldr	w8, [x19, #0x36c]
0xfffffff00853f398: 7f4201f9  str	xzr, [x19, #0x280]
0xfffffff00853f39c: 01f57ed3  lsl	x1, x8, #2
0xfffffff00853f3a0: 785ef897  bl	#0xfffffff008356d80
0xfffffff00853f3a4: 7f4201f9  str	xzr, [x19, #0x280]
0xfffffff00853f3a8: 75820991  add	x21, x19, #0x260
0xfffffff00853f3ac: 683641f9  ldr	x8, [x19, #0x268]
0xfffffff00853f3b0: a80100b4  cbz	x8, #0xfffffff00853f3e4
