; Candidate 4929
; ADRP+ADD at VM 0xfffffff0087cdb58 (fileoff 0x17c9b58): page=0x1fea1c000 add_imm=0xe80

0xfffffff0087cdad8: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cdadc: 0052fff0  adrp	x0, #0xfffffff007210000
0xfffffff0087cdae0: 00441391  add	x0, x0, #0x4d1
0xfffffff0087cdae4: c2000014  b	#0xfffffff0087cddec
0xfffffff0087cdae8: 60600034  cbz	w0, #0xfffffff0087ce6f4
0xfffffff0087cdaec: a00f8052  mov	w0, #0x7d
0xfffffff0087cdaf0: 4ab70294  bl	#0xfffffff00887b818
0xfffffff0087cdaf4: f40300aa  mov	x20, x0
0xfffffff0087cdaf8: ad990394  bl	#0xfffffff0088b41ac
0xfffffff0087cdafc: f50300aa  mov	x21, x0
0xfffffff0087cdb00: e0008052  mov	w0, #7
0xfffffff0087cdb04: 53b70294  bl	#0xfffffff00887b850
0xfffffff0087cdb08: 745d0034  cbz	w20, #0xfffffff0087ce6b4
0xfffffff0087cdb0c: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087cdb10: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cdb14: a80f8052  mov	w8, #0x7d
0xfffffff0087cdb18: f52300a9  stp	x21, x8, [sp]
0xfffffff0087cdb1c: 0052fff0  adrp	x0, #0xfffffff007210000
0xfffffff0087cdb20: 00f42291  add	x0, x0, #0x8bd
0xfffffff0087cdb24: 4fa6d797  bl	#0xfffffff007db7460
0xfffffff0087cdb28: f3020014  b	#0xfffffff0087ce6f4
0xfffffff0087cdb2c: a0990394  bl	#0xfffffff0088b41ac
0xfffffff0087cdb30: f40300aa  mov	x20, x0
0xfffffff0087cdb34: e0008052  mov	w0, #7
0xfffffff0087cdb38: 46b70294  bl	#0xfffffff00887b850
0xfffffff0087cdb3c: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087cdb40: 69734bb9  ldr	w9, [x27, #0xb70]
0xfffffff0087cdb44: 6a6b4bb9  ldr	w10, [x27, #0xb68]
0xfffffff0087cdb48: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff0087cdb4c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cdb50: a80f8052  mov	w8, #0x7d
0xfffffff0087cdb54: f42300a9  stp	x20, x8, [sp]
0xfffffff0087cdb58: e050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cdb5c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cdb60: c191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cdb64: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cdb68: 6353ff90  adrp	x3, #0xfffffff007239000
0xfffffff0087cdb6c: 63942e91  add	x3, x3, #0xba5
0xfffffff0087cdb70: 02008052  mov	w2, #0
0xfffffff0087cdb74: 6f95ed97  bl	#0xfffffff008333130
0xfffffff0087cdb78: 686f4bb9  ldr	w8, [x27, #0xb6c]
0xfffffff0087cdb7c: 681f088b  add	x8, x27, x8, lsl #7
0xfffffff0087cdb80: 01a10b91  add	x1, x8, #0x2e8
0xfffffff0087cdb84: 626b4bb9  ldr	w2, [x27, #0xb68]
0xfffffff0087cdb88: beeeff97  bl	#0xfffffff0087c9680
0xfffffff0087cdb8c: 000400b4  cbz	x0, #0xfffffff0087cdc0c
0xfffffff0087cdb90: f50300aa  mov	x21, x0
0xfffffff0087cdb94: 080440f9  ldr	x8, [x0, #8]
0xfffffff0087cdb98: e80500b4  cbz	x8, #0xfffffff0087cdc54
0xfffffff0087cdb9c: b7559552  mov	w23, #0xaaad
0xfffffff0087cdba0: 5755b772  movk	w23, #0xbaaa, lsl #16
0xfffffff0087cdba4: 613f51f9  ldr	x1, [x27, #0x2278]
0xfffffff0087cdba8: e0031baa  mov	x0, x27
0xfffffff0087cdbac: 49e8ff97  bl	#0xfffffff0087c7cd0
0xfffffff0087cdbb0: e0140036  tbz	w0, #0, #0xfffffff0087cde4c
0xfffffff0087cdbb4: 613f51f9  ldr	x1, [x27, #0x2278]
0xfffffff0087cdbb8: f3031baa  mov	x19, x27
0xfffffff0087cdbbc: e0031baa  mov	x0, x27
0xfffffff0087cdbc0: e20315aa  mov	x2, x21
0xfffffff0087cdbc4: cff2ff97  bl	#0xfffffff0087ca700
0xfffffff0087cdbc8: a00c0037  tbnz	w0, #0, #0xfffffff0087cdd5c
0xfffffff0087cdbcc: 60008052  mov	w0, #3
0xfffffff0087cdbd0: 81008052  mov	w1, #4
0xfffffff0087cdbd4: ffb60294  bl	#0xfffffff00887b7d0
