; Candidate 13839
; ADRP+ADD at VM 0xfffffff0095ada10 (fileoff 0x25a9a10): page=0x1fe63f000 add_imm=0xe68

0xfffffff0095ad990: e047803d  str	q0, [sp, #0x110]
0xfffffff0095ad994: 684a41f9  ldr	x8, [x19, #0x290]
0xfffffff0095ad998: 179540f9  ldr	x23, [x8, #0x128]
0xfffffff0095ad99c: e031fff0  adrp	x0, #0xfffffff007bec000
0xfffffff0095ad9a0: 00a03891  add	x0, x0, #0xe28
0xfffffff0095ad9a4: d4a2b697  bl	#0xfffffff0083564f4
0xfffffff0095ad9a8: f90300aa  mov	x25, x0
0xfffffff0095ad9ac: a00000b4  cbz	x0, #0xfffffff0095ad9c0
0xfffffff0095ad9b0: e16e0090  adrp	x1, #0xfffffff00a389000
0xfffffff0095ad9b4: 21c00391  add	x1, x1, #0xf0
0xfffffff0095ad9b8: 00458052  mov	w0, #0x228
0xfffffff0095ad9bc: 45d6b497  bl	#0xfffffff0082e32d0
0xfffffff0095ad9c0: 21730091  add	x1, x25, #0x1c
0xfffffff0095ad9c4: e0630191  add	x0, sp, #0x58
0xfffffff0095ad9c8: bf71ff97  bl	#0xfffffff00958a0c4
0xfffffff0095ad9cc: a0010035  cbnz	w0, #0xfffffff0095ada00
0xfffffff0095ad9d0: e8430491  add	x8, sp, #0x110
0xfffffff0095ad9d4: e83b00f9  str	x8, [sp, #0x70]
0xfffffff0095ad9d8: 48fdfef0  adrp	x8, #0xfffffff007558000
0xfffffff0095ad9dc: 009940fd  ldr	d0, [x8, #0x130]
0xfffffff0095ad9e0: e03f00fd  str	d0, [sp, #0x78]
0xfffffff0095ad9e4: e2c30191  add	x2, sp, #0x70
0xfffffff0095ad9e8: e00317aa  mov	x0, x23
0xfffffff0095ad9ec: e10319aa  mov	x1, x25
0xfffffff0095ad9f0: 030080d2  mov	x3, #0
0xfffffff0095ad9f4: 040080d2  mov	x4, #0
0xfffffff0095ad9f8: f0f7fe97  bl	#0xfffffff00956b9b8
0xfffffff0095ad9fc: 40170034  cbz	w0, #0xfffffff0095adce4
0xfffffff0095ada00: fb0300aa  mov	x27, x0
0xfffffff0095ada04: ffff0429  stp	wzr, wzr, [sp, #0x24]
0xfffffff0095ada08: 17008052  mov	w23, #0
0xfffffff0095ada0c: 390100b4  cbz	x25, #0xfffffff0095ada30
0xfffffff0095ada10: e031fff0  adrp	x0, #0xfffffff007bec000
0xfffffff0095ada14: 00a03991  add	x0, x0, #0xe68
0xfffffff0095ada18: e10319aa  mov	x1, x25
0xfffffff0095ada1c: 3ca3b697  bl	#0xfffffff00835670c
0xfffffff0095ada20: e16e0090  adrp	x1, #0xfffffff00a389000
0xfffffff0095ada24: 21c00391  add	x1, x1, #0xf0
0xfffffff0095ada28: e0448092  mov	x0, #-0x228
0xfffffff0095ada2c: 29d6b497  bl	#0xfffffff0082e32d0
0xfffffff0095ada30: 603f0013  sxth	w0, w27
0xfffffff0095ada34: c1dfff97  bl	#0xfffffff0095a5938
0xfffffff0095ada38: f90300aa  mov	x25, x0
0xfffffff0095ada3c: a0030034  cbz	w0, #0xfffffff0095adab0
0xfffffff0095ada40: e12f40b9  ldr	w1, [sp, #0x2c]
0xfffffff0095ada44: 61000034  cbz	w1, #0xfffffff0095ada50
0xfffffff0095ada48: e00313aa  mov	x0, x19
0xfffffff0095ada4c: 61e7ff97  bl	#0xfffffff0095a77d0
0xfffffff0095ada50: e00313aa  mov	x0, x19
0xfffffff0095ada54: ebe7ff97  bl	#0xfffffff0095a7a00
0xfffffff0095ada58: 880240b9  ldr	w8, [x20]
0xfffffff0095ada5c: 08791112  and	w8, w8, #0xffffbfff
0xfffffff0095ada60: 880200b9  str	w8, [x20]
0xfffffff0095ada64: e00314aa  mov	x0, x20
0xfffffff0095ada68: eda3b097  bl	#0xfffffff0081d6a1c
0xfffffff0095ada6c: 02000014  b	#0xfffffff0095ada74
0xfffffff0095ada70: 39008052  mov	w25, #1
0xfffffff0095ada74: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0095ada78: e931ff90  adrp	x9, #0xfffffff007be9000
0xfffffff0095ada7c: 290546f9  ldr	x9, [x9, #0xc08]
0xfffffff0095ada80: 290140f9  ldr	x9, [x9]
0xfffffff0095ada84: 3f0108eb  cmp	x9, x8
0xfffffff0095ada88: 212a0054  b.ne	#0xfffffff0095adfcc
0xfffffff0095ada8c: e00319aa  mov	x0, x25
