; Candidate 5073
; ADRP+ADD at VM 0xfffffff0087d695c (fileoff 0x17d295c): page=0x1fea3b000 add_imm=0xdfa

0xfffffff0087d68dc: f60303aa  mov	x22, x3
0xfffffff0087d68e0: f50301aa  mov	x21, x1
0xfffffff0087d68e4: f40300aa  mov	x20, x0
0xfffffff0087d68e8: e23300f9  str	x2, [sp, #0x60]
0xfffffff0087d68ec: 03070034  cbz	w3, #0xfffffff0087d69cc
0xfffffff0087d68f0: 18008052  mov	w24, #0
0xfffffff0087d68f4: 09e4002f  movi	d9, #0000000000000000
0xfffffff0087d68f8: fa0302aa  mov	x26, x2
0xfffffff0087d68fc: 480bd51a  udiv	w8, w26, w21
0xfffffff0087d6900: 1be9151b  msub	w27, w8, w21, w26
0xfffffff0087d6904: 805a7bfc  ldr	d0, [x20, w27, uxtw #3]
0xfffffff0087d6908: 2929601e  fadd	d9, d9, d0
0xfffffff0087d690c: 77050034  cbz	w23, #0xfffffff0087d69b8
0xfffffff0087d6910: 600f8052  mov	w0, #0x7b
0xfffffff0087d6914: e1008052  mov	w1, #7
0xfffffff0087d6918: ae930294  bl	#0xfffffff00887b7d0
0xfffffff0087d691c: e0040034  cbz	w0, #0xfffffff0087d69b8
0xfffffff0087d6920: 600f8052  mov	w0, #0x7b
0xfffffff0087d6924: bd930294  bl	#0xfffffff00887b818
0xfffffff0087d6928: f30300aa  mov	x19, x0
0xfffffff0087d692c: 20760394  bl	#0xfffffff0088b41ac
0xfffffff0087d6930: fc0300aa  mov	x28, x0
0xfffffff0087d6934: e0008052  mov	w0, #7
0xfffffff0087d6938: c6930294  bl	#0xfffffff00887b850
0xfffffff0087d693c: 3901781e  fcvtzs	w25, d9
0xfffffff0087d6940: 73010034  cbz	w19, #0xfffffff0087d696c
0xfffffff0087d6944: 807a7bfc  ldr	d0, [x20, x27, lsl #3]
0xfffffff0087d6948: 0800781e  fcvtzs	w8, d0
0xfffffff0087d694c: f82302a9  stp	x24, x8, [sp, #0x20]
0xfffffff0087d6950: e06701a9  stp	x0, x25, [sp, #0x10]
0xfffffff0087d6954: 680f8052  mov	w8, #0x7b
0xfffffff0087d6958: fc2300a9  stp	x28, x8, [sp]
0xfffffff0087d695c: c051fff0  adrp	x0, #0xfffffff007211000
0xfffffff0087d6960: 00e83791  add	x0, x0, #0xdfa
0xfffffff0087d6964: bf82d797  bl	#0xfffffff007db7460
0xfffffff0087d6968: 14000014  b	#0xfffffff0087d69b8
0xfffffff0087d696c: 10760394  bl	#0xfffffff0088b41ac
0xfffffff0087d6970: f30300aa  mov	x19, x0
0xfffffff0087d6974: e0008052  mov	w0, #7
0xfffffff0087d6978: b6930294  bl	#0xfffffff00887b850
0xfffffff0087d697c: 807a7bfc  ldr	d0, [x20, x27, lsl #3]
0xfffffff0087d6980: 0800781e  fcvtzs	w8, d0
0xfffffff0087d6984: e90318aa  mov	x9, x24
0xfffffff0087d6988: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d698c: e06701a9  stp	x0, x25, [sp, #0x10]
0xfffffff0087d6990: 680f8052  mov	w8, #0x7b
0xfffffff0087d6994: f32300a9  stp	x19, x8, [sp]
0xfffffff0087d6998: 8050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d699c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d69a0: 8191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d69a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d69a8: 02008052  mov	w2, #0
0xfffffff0087d69ac: 2353ffb0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d69b0: 639c2291  add	x3, x3, #0x8a7
0xfffffff0087d69b4: df71ed97  bl	#0xfffffff008333130
0xfffffff0087d69b8: 18070011  add	w24, w24, #1
0xfffffff0087d69bc: 5a070051  sub	w26, w26, #1
0xfffffff0087d69c0: df02186b  cmp	w22, w24
0xfffffff0087d69c4: c1f9ff54  b.ne	#0xfffffff0087d68fc
0xfffffff0087d69c8: 02000014  b	#0xfffffff0087d69d0
0xfffffff0087d69cc: 09e4002f  movi	d9, #0000000000000000
0xfffffff0087d69d0: c802631e  ucvtf	d8, w22
0xfffffff0087d69d4: 2919681e  fdiv	d9, d9, d8
0xfffffff0087d69d8: 37070034  cbz	w23, #0xfffffff0087d6abc
