; Candidate 5282
; ADRP+ADD at VM 0xfffffff0087e4648 (fileoff 0x17e0648): page=0x1fea05000 add_imm=0xe80

0xfffffff0087e45c8: b9080034  cbz	w25, #0xfffffff0087e46dc
0xfffffff0087e45cc: e80317aa  mov	x8, x23
0xfffffff0087e45d0: 694e40b9  ldr	w9, [x19, #0x4c]
0xfffffff0087e45d4: e9a304a9  stp	x9, x8, [sp, #0x48]
0xfffffff0087e45d8: 08018052  mov	w8, #8
0xfffffff0087e45dc: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0087e45e0: f31b00f9  str	x19, [sp, #0x30]
0xfffffff0087e45e4: 6851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087e45e8: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087e45ec: 697f8052  mov	w9, #0x3fb
0xfffffff0087e45f0: 2fffff17  b	#0xfffffff0087e42ac
0xfffffff0087e45f4: ee3e0394  bl	#0xfffffff0088b41ac
0xfffffff0087e45f8: f80300aa  mov	x24, x0
0xfffffff0087e45fc: 80008052  mov	w0, #4
0xfffffff0087e4600: 945c0294  bl	#0xfffffff00887b850
0xfffffff0087e4604: e80317aa  mov	x8, x23
0xfffffff0087e4608: 692240b9  ldr	w9, [x19, #0x20]
0xfffffff0087e460c: e9a304a9  stp	x9, x8, [sp, #0x48]
0xfffffff0087e4610: e8008052  mov	w8, #7
0xfffffff0087e4614: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0087e4618: 6851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087e461c: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087e4620: 897e8052  mov	w9, #0x3f4
0xfffffff0087e4624: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087e4628: 6851fff0  adrp	x8, #0xfffffff007213000
0xfffffff0087e462c: 080d0f91  add	x8, x8, #0x3c3
0xfffffff0087e4630: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e4634: 680e8052  mov	w8, #0x73
0xfffffff0087e4638: c352ffb0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e463c: 63bc3991  add	x3, x3, #0xe6f
0xfffffff0087e4640: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e4644: f80300f9  str	x24, [sp]
0xfffffff0087e4648: 2050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e464c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e4650: 2191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087e4654: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e4658: 02008052  mov	w2, #0
0xfffffff0087e465c: b53aed97  bl	#0xfffffff008333130
0xfffffff0087e4660: 1cffff17  b	#0xfffffff0087e42d0
0xfffffff0087e4664: 614a80b9  ldrsw	x1, [x19, #0x48]
0xfffffff0087e4668: 6051fff0  adrp	x0, #0xfffffff007213000
0xfffffff0087e466c: 006c2391  add	x0, x0, #0x8db
0xfffffff0087e4670: e20316aa  mov	x2, x22
0xfffffff0087e4674: b0050094  bl	#0xfffffff0087e5d34
0xfffffff0087e4678: a0060034  cbz	w0, #0xfffffff0087e474c
0xfffffff0087e467c: f70300aa  mov	x23, x0
0xfffffff0087e4680: 600e8052  mov	w0, #0x73
0xfffffff0087e4684: 81008052  mov	w1, #4
0xfffffff0087e4688: 525c0294  bl	#0xfffffff00887b7d0
0xfffffff0087e468c: 20e2ff34  cbz	w0, #0xfffffff0087e42d0
0xfffffff0087e4690: 600e8052  mov	w0, #0x73
0xfffffff0087e4694: 615c0294  bl	#0xfffffff00887b818
0xfffffff0087e4698: f90300aa  mov	x25, x0
0xfffffff0087e469c: c43e0394  bl	#0xfffffff0088b41ac
0xfffffff0087e46a0: f80300aa  mov	x24, x0
0xfffffff0087e46a4: 80008052  mov	w0, #4
0xfffffff0087e46a8: 6a5c0294  bl	#0xfffffff00887b850
0xfffffff0087e46ac: b9080034  cbz	w25, #0xfffffff0087e47c0
0xfffffff0087e46b0: e80317aa  mov	x8, x23
0xfffffff0087e46b4: 694a40b9  ldr	w9, [x19, #0x48]
0xfffffff0087e46b8: e9a304a9  stp	x9, x8, [sp, #0x48]
0xfffffff0087e46bc: 28018052  mov	w8, #9
0xfffffff0087e46c0: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff0087e46c4: f31b00f9  str	x19, [sp, #0x30]
