; Candidate 4362
; ADRP+ADD at VM 0xfffffff0087a5e50 (fileoff 0x17a1e50): page=0x1fe98c000 add_imm=0xd90

0xfffffff0087a5dd0: 684e01b9  str	w8, [x19, #0x14c]
0xfffffff0087a5dd4: 150e40f9  ldr	x21, [x16, #0x18]
0xfffffff0087a5dd8: b4b24bb9  ldr	w20, [x21, #0xbb0]
0xfffffff0087a5ddc: a8224bb9  ldr	w8, [x21, #0xb20]
0xfffffff0087a5de0: a8070034  cbz	w8, #0xfffffff0087a5ed4
0xfffffff0087a5de4: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff0087a5de8: b00240f9  ldr	x16, [x21]
0xfffffff0087a5dec: f10315aa  mov	x17, x21
0xfffffff0087a5df0: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff0087a5df4: 301ac1da  autda	x16, x17
0xfffffff0087a5df8: 113580d2  mov	x17, #0x1a8
0xfffffff0087a5dfc: 1002118b  add	x16, x16, x17
0xfffffff0087a5e00: 080240f9  ldr	x8, [x16]
0xfffffff0087a5e04: e90310aa  mov	x9, x16
0xfffffff0087a5e08: e2e30091  add	x2, sp, #0x38
0xfffffff0087a5e0c: e3c30091  add	x3, sp, #0x30
0xfffffff0087a5e10: e00315aa  mov	x0, x21
0xfffffff0087a5e14: e11340f9  ldr	x1, [sp, #0x20]
0xfffffff0087a5e18: f10309aa  mov	x17, x9
0xfffffff0087a5e1c: 516aeff2  movk	x17, #0x7b52, lsl #48
0xfffffff0087a5e20: 11093fd7  blraa	x8, x17
0xfffffff0087a5e24: 800d0034  cbz	w0, #0xfffffff0087a5fd4
0xfffffff0087a5e28: 7f5601b9  str	wzr, [x19, #0x154]
0xfffffff0087a5e2c: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff0087a5e30: 180940f9  ldr	x24, [x8, #0x10]
0xfffffff0087a5e34: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff0087a5e38: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff0087a5e3c: c90100b4  cbz	x9, #0xfffffff0087a5e74
0xfffffff0087a5e40: 08bb8052  mov	w8, #0x5d8
0xfffffff0087a5e44: 694dffd0  adrp	x9, #0xfffffff007153000
0xfffffff0087a5e48: 29593f91  add	x9, x9, #0xfd6
0xfffffff0087a5e4c: e92300a9  stp	x9, x8, [sp]
0xfffffff0087a5e50: 604cff90  adrp	x0, #0xfffffff007131000
0xfffffff0087a5e54: 00403691  add	x0, x0, #0xd90
0xfffffff0087a5e58: c192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a5e5c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a5e60: 234dffb0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a5e64: 63743191  add	x3, x3, #0xc5d
0xfffffff0087a5e68: 02008052  mov	w2, #0
0xfffffff0087a5e6c: b134ee97  bl	#0xfffffff008333130
0xfffffff0087a5e70: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff0087a5e74: 094328ab  adds	x9, x24, w8, uxtw
0xfffffff0087a5e78: e20a0054  b.hs	#0xfffffff0087a5fd4
0xfffffff0087a5e7c: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff0087a5e80: 6a5641b9  ldr	w10, [x19, #0x154]
0xfffffff0087a5e84: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff0087a5e88: 49551633  bfi	w9, w10, #0xa, #0x16
0xfffffff0087a5e8c: 695601b9  str	w9, [x19, #0x154]
0xfffffff0087a5e90: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0087a5e94: 380940f9  ldr	x24, [x9, #0x10]
0xfffffff0087a5e98: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff0087a5e9c: a90700b4  cbz	x9, #0xfffffff0087a5f90
0xfffffff0087a5ea0: 28bb8052  mov	w8, #0x5d9
0xfffffff0087a5ea4: 694dffd0  adrp	x9, #0xfffffff007153000
0xfffffff0087a5ea8: 29593f91  add	x9, x9, #0xfd6
0xfffffff0087a5eac: e92300a9  stp	x9, x8, [sp]
0xfffffff0087a5eb0: 604cff90  adrp	x0, #0xfffffff007131000
0xfffffff0087a5eb4: 00403691  add	x0, x0, #0xd90
0xfffffff0087a5eb8: c192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a5ebc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a5ec0: 234dffb0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a5ec4: 63443291  add	x3, x3, #0xc91
0xfffffff0087a5ec8: 02008052  mov	w2, #0
0xfffffff0087a5ecc: 9934ee97  bl	#0xfffffff008333130
