; Candidate 4146
; ADRP+ADD at VM 0xfffffff00879448c (fileoff 0x179048c): page=0x1fe99d000 add_imm=0xd90

0xfffffff00879440c: 7f010a6b  cmp	w11, w10
0xfffffff008794410: e90e0054  b.ls	#0xfffffff0087945ec
0xfffffff008794414: 735d8052  mov	w19, #0x2eb
0xfffffff008794418: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff00879441c: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff008794420: 284efff0  adrp	x8, #0xfffffff00715b000
0xfffffff008794424: 08090991  add	x8, x8, #0x242
0xfffffff008794428: e82700a9  stp	x8, x9, [sp]
0xfffffff00879442c: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff008794430: 00403691  add	x0, x0, #0xd90
0xfffffff008794434: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794438: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879443c: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff008794440: 63e03191  add	x3, x3, #0xc78
0xfffffff008794444: 02008052  mov	w2, #0
0xfffffff008794448: 3a7bee97  bl	#0xfffffff008333130
0xfffffff00879444c: 62000014  b	#0xfffffff0087945d4
0xfffffff008794450: a9e66ab9  ldr	w9, [x21, #0x2ae4]
0xfffffff008794454: e9000034  cbz	w9, #0xfffffff008794470
0xfffffff008794458: a06e40f9  ldr	x0, [x21, #0xd8]
0xfffffff00879445c: a14241b9  ldr	w1, [x21, #0x140]
0xfffffff008794460: 18c1fe97  bl	#0xfffffff0087448c0
0xfffffff008794464: 20f60737  tbnz	w0, #0, #0xfffffff008794328
0xfffffff008794468: a8866bb9  ldr	w8, [x21, #0x2b84]
0xfffffff00879446c: a9e66ab9  ldr	w9, [x21, #0x2ae4]
0xfffffff008794470: 735d8052  mov	w19, #0x2eb
0xfffffff008794474: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008794478: aa926ab9  ldr	w10, [x21, #0x2a90]
0xfffffff00879447c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008794480: 284efff0  adrp	x8, #0xfffffff00715b000
0xfffffff008794484: 08090991  add	x8, x8, #0x242
0xfffffff008794488: e82b00a9  stp	x8, x10, [sp]
0xfffffff00879448c: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff008794490: 00403691  add	x0, x0, #0xd90
0xfffffff008794494: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794498: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879449c: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff0087944a0: 63c02991  add	x3, x3, #0xa70
0xfffffff0087944a4: 02008052  mov	w2, #0
0xfffffff0087944a8: 227bee97  bl	#0xfffffff008333130
0xfffffff0087944ac: 4a000014  b	#0xfffffff0087945d4
0xfffffff0087944b0: 735d8052  mov	w19, #0x2eb
0xfffffff0087944b4: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0087944b8: 284efff0  adrp	x8, #0xfffffff00715b000
0xfffffff0087944bc: 08090991  add	x8, x8, #0x242
0xfffffff0087944c0: e87f00a9  stp	x8, xzr, [sp]
0xfffffff0087944c4: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087944c8: 00403691  add	x0, x0, #0xd90
0xfffffff0087944cc: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087944d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087944d4: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff0087944d8: 63cc2c91  add	x3, x3, #0xb33
0xfffffff0087944dc: 02008052  mov	w2, #0
0xfffffff0087944e0: 147bee97  bl	#0xfffffff008333130
0xfffffff0087944e4: 3c000014  b	#0xfffffff0087945d4
0xfffffff0087944e8: 735d8052  mov	w19, #0x2eb
0xfffffff0087944ec: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff0087944f0: 294efff0  adrp	x9, #0xfffffff00715b000
0xfffffff0087944f4: 29090991  add	x9, x9, #0x242
0xfffffff0087944f8: e92300a9  stp	x9, x8, [sp]
0xfffffff0087944fc: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff008794500: 00403691  add	x0, x0, #0xd90
0xfffffff008794504: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794508: 21dc41f9  ldr	x1, [x1, #0x3b8]
