; Candidate 13978
; ADRP+ADD at VM 0xfffffff009695228 (fileoff 0x2691228): page=0xcf5000 add_imm=0xd00

0xfffffff0096951a8: ffc301d1  sub	sp, sp, #0x70
0xfffffff0096951ac: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0096951b0: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0096951b4: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0096951b8: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0096951bc: fd830191  add	x29, sp, #0x60
0xfffffff0096951c0: f30300aa  mov	x19, x0
0xfffffff0096951c4: a06700b0  adrp	x0, #0xfffffff00a38a000
0xfffffff0096951c8: 00003491  add	x0, x0, #0xd00
0xfffffff0096951cc: e33db197  bl	#0xfffffff0082e4958
0xfffffff0096951d0: 700240f9  ldr	x16, [x19]
0xfffffff0096951d4: f10313aa  mov	x17, x19
0xfffffff0096951d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096951dc: 301ac1da  autda	x16, x17
0xfffffff0096951e0: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0096951e4: e90310aa  mov	x9, x16
0xfffffff0096951e8: e00313aa  mov	x0, x19
0xfffffff0096951ec: f10309aa  mov	x17, x9
0xfffffff0096951f0: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0096951f4: 11093fd7  blraa	x8, x17
0xfffffff0096951f8: d83db197  bl	#0xfffffff0082e4958
0xfffffff0096951fc: 607240f9  ldr	x0, [x19, #0xe0]
0xfffffff009695200: 400100b4  cbz	x0, #0xfffffff009695228
0xfffffff009695204: 100040f9  ldr	x16, [x0]
0xfffffff009695208: f10300aa  mov	x17, x0
0xfffffff00969520c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009695210: 301ac1da  autda	x16, x17
0xfffffff009695214: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009695218: e90310aa  mov	x9, x16
0xfffffff00969521c: f10309aa  mov	x17, x9
0xfffffff009695220: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009695224: 11093fd7  blraa	x8, x17
0xfffffff009695228: a06700b0  adrp	x0, #0xfffffff00a38a000
0xfffffff00969522c: 00003491  add	x0, x0, #0xd00
0xfffffff009695230: ca3db197  bl	#0xfffffff0082e4958
0xfffffff009695234: f40300aa  mov	x20, x0
0xfffffff009695238: 700240f9  ldr	x16, [x19]
0xfffffff00969523c: f10313aa  mov	x17, x19
0xfffffff009695240: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009695244: 301ac1da  autda	x16, x17
0xfffffff009695248: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff00969524c: e90310aa  mov	x9, x16
0xfffffff009695250: e00313aa  mov	x0, x19
0xfffffff009695254: f10309aa  mov	x17, x9
0xfffffff009695258: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff00969525c: 11093fd7  blraa	x8, x17
0xfffffff009695260: be3db197  bl	#0xfffffff0082e4958
0xfffffff009695264: f50300aa  mov	x21, x0
0xfffffff009695268: 607240f9  ldr	x0, [x19, #0xe0]
0xfffffff00969526c: 600100b4  cbz	x0, #0xfffffff009695298
0xfffffff009695270: 100040f9  ldr	x16, [x0]
0xfffffff009695274: f10300aa  mov	x17, x0
0xfffffff009695278: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00969527c: 301ac1da  autda	x16, x17
0xfffffff009695280: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009695284: e90310aa  mov	x9, x16
0xfffffff009695288: f10309aa  mov	x17, x9
0xfffffff00969528c: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009695290: 11093fd7  blraa	x8, x17
0xfffffff009695294: 03000014  b	#0xfffffff0096952a0
0xfffffff009695298: a0f7fef0  adrp	x0, #0xfffffff00758c000
0xfffffff00969529c: 00480691  add	x0, x0, #0x192
0xfffffff0096952a0: f50301a9  stp	x21, x0, [sp, #0x10]
0xfffffff0096952a4: a8f7fef0  adrp	x8, #0xfffffff00758c000
