; Candidate 16335
; ADRP+ADD at VM 0xfffffff009e62734 (fileoff 0x2e5e734): page=0x1fded3000 add_imm=0xe58

0xfffffff009e626b4: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009e626bc
0xfffffff009e626b8: 208e38d4  brk	#0xc471
0xfffffff009e626bc: f10301aa  mov	x17, x1
0xfffffff009e626c0: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff009e626c4: 110a1fd7  braa	x16, x17
0xfffffff009e626c8: 5f2403d5  bti	c
0xfffffff009e626cc: 802b00d0  adrp	x0, #0xfffffff00a3d4000
0xfffffff009e626d0: 00601591  add	x0, x0, #0x558
0xfffffff009e626d4: c0035fd6  ret	
0xfffffff009e626d8: 7f2303d5  pacibsp	
0xfffffff009e626dc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009e626e0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009e626e4: fd430091  add	x29, sp, #0x10
0xfffffff009e626e8: f30300aa  mov	x19, x0
0xfffffff009e626ec: a520f197  bl	#0xfffffff009aaa980
0xfffffff009e626f0: 80f6fef0  adrp	x0, #0xfffffff007d35000
0xfffffff009e626f4: 00603991  add	x0, x0, #0xe58
0xfffffff009e626f8: e10313aa  mov	x1, x19
0xfffffff009e626fc: 02e58052  mov	w2, #0x728
0xfffffff009e62700: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009e62704: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009e62708: ff2303d5  autibsp	
0xfffffff009e6270c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009e62710: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009e62718
0xfffffff009e62714: 208e38d4  brk	#0xc471
0xfffffff009e62718: e1139217  b	#0xfffffff0082e769c
0xfffffff009e6271c: 5f2403d5  bti	c
0xfffffff009e62720: 9820f117  b	#0xfffffff009aaa980
0xfffffff009e62724: 7f2303d5  pacibsp	
0xfffffff009e62728: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009e6272c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009e62730: fd430091  add	x29, sp, #0x10
0xfffffff009e62734: 80f6fef0  adrp	x0, #0xfffffff007d35000
0xfffffff009e62738: 00603991  add	x0, x0, #0xe58
0xfffffff009e6273c: 01e58052  mov	w1, #0x728
0xfffffff009e62740: be139297  bl	#0xfffffff0082e7638
0xfffffff009e62744: f30300aa  mov	x19, x0
0xfffffff009e62748: 942b00d0  adrp	x20, #0xfffffff00a3d4000
0xfffffff009e6274c: 94621591  add	x20, x20, #0x558
0xfffffff009e62750: e10314aa  mov	x1, x20
0xfffffff009e62754: 7120f197  bl	#0xfffffff009aaa918
0xfffffff009e62758: 70f6feb0  adrp	x16, #0xfffffff007d2f000
0xfffffff009e6275c: 10a22591  add	x16, x16, #0x968
0xfffffff009e62760: 10420091  add	x16, x16, #0x10
0xfffffff009e62764: f10300aa  mov	x17, x0
0xfffffff009e62768: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009e6276c: 300ac1da  pacda	x16, x17
0xfffffff009e62770: 100000f9  str	x16, [x0]
0xfffffff009e62774: e00314aa  mov	x0, x20
0xfffffff009e62778: 6f0a9297  bl	#0xfffffff0082e5134
0xfffffff009e6277c: e00313aa  mov	x0, x19
0xfffffff009e62780: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009e62784: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009e62788: ff0f5fd6  retab	
0xfffffff009e6278c: 5f2403d5  bti	c
0xfffffff009e62790: d9079217  b	#0xfffffff0082e46f4
0xfffffff009e62794: 5f2403d5  bti	c
0xfffffff009e62798: d7079217  b	#0xfffffff0082e46f4
0xfffffff009e6279c: 7f2303d5  pacibsp	
0xfffffff009e627a0: ffc305d1  sub	sp, sp, #0x170
0xfffffff009e627a4: fc6f12a9  stp	x28, x27, [sp, #0x120]
0xfffffff009e627a8: f85f13a9  stp	x24, x23, [sp, #0x130]
0xfffffff009e627ac: f65714a9  stp	x22, x21, [sp, #0x140]
0xfffffff009e627b0: f44f15a9  stp	x20, x19, [sp, #0x150]
