; Candidate 15047
; ADRP+ADD at VM 0xfffffff009a669c8 (fileoff 0x2a629c8): page=0x1fe250000 add_imm=0xe88

0xfffffff009a66948: 422843f9  ldr	x2, [x2, #0x650]
0xfffffff009a6694c: 031b8052  mov	w3, #0xd8
0xfffffff009a66950: 7af4a197  bl	#0xfffffff0082e3b38
0xfffffff009a66954: 5012ffd0  adrp	x16, #0xfffffff007cb0000
0xfffffff009a66958: 10423191  add	x16, x16, #0xc50
0xfffffff009a6695c: 10420091  add	x16, x16, #0x10
0xfffffff009a66960: f10300aa  mov	x17, x0
0xfffffff009a66964: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a66968: 300ac1da  pacda	x16, x17
0xfffffff009a6696c: 100000f9  str	x16, [x0]
0xfffffff009a66970: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a66974: ff0f5fd6  retab	
0xfffffff009a66978: 5f2403d5  bti	c
0xfffffff009a6697c: 804a00b0  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a66980: 00e03f91  add	x0, x0, #0xff8
0xfffffff009a66984: 5cf7a117  b	#0xfffffff0082e46f4
0xfffffff009a66988: 7f2303d5  pacibsp	
0xfffffff009a6698c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a66990: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a66994: fd430091  add	x29, sp, #0x10
0xfffffff009a66998: 1f080071  cmp	w0, #2
0xfffffff009a6699c: 83020054  b.lo	#0xfffffff009a669ec
0xfffffff009a669a0: f40300aa  mov	x20, x0
0xfffffff009a669a4: 6012fff0  adrp	x0, #0xfffffff007cb5000
0xfffffff009a669a8: 00203091  add	x0, x0, #0xc08
0xfffffff009a669ac: d2bea397  bl	#0xfffffff0083564f4
0xfffffff009a669b0: f30300aa  mov	x19, x0
0xfffffff009a669b4: 1f0000b9  str	wzr, [x0]
0xfffffff009a669b8: 1f8000b9  str	wzr, [x0, #0x80]
0xfffffff009a669bc: 1f0400f9  str	xzr, [x0, #8]
0xfffffff009a669c0: 140400b9  str	w20, [x0, #4]
0xfffffff009a669c4: 817e7dd3  ubfiz	x1, x20, #3, #0x20
0xfffffff009a669c8: 8012ff90  adrp	x0, #0xfffffff007cb6000
0xfffffff009a669cc: 00203a91  add	x0, x0, #0xe88
0xfffffff009a669d0: 00c1a397  bl	#0xfffffff008356dd0
0xfffffff009a669d4: 600600f9  str	x0, [x19, #8]
0xfffffff009a669d8: c00000b5  cbnz	x0, #0xfffffff009a669f0
0xfffffff009a669dc: 6012fff0  adrp	x0, #0xfffffff007cb5000
0xfffffff009a669e0: 00203191  add	x0, x0, #0xc48
0xfffffff009a669e4: e10313aa  mov	x1, x19
0xfffffff009a669e8: 49bfa397  bl	#0xfffffff00835670c
0xfffffff009a669ec: 130080d2  mov	x19, #0
0xfffffff009a669f0: e00313aa  mov	x0, x19
0xfffffff009a669f4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a669f8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a669fc: ff0f5fd6  retab	
0xfffffff009a66a00: 7f2303d5  pacibsp	
0xfffffff009a66a04: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a66a08: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a66a0c: fd430091  add	x29, sp, #0x10
0xfffffff009a66a10: f30300aa  mov	x19, x0
0xfffffff009a66a14: 1f0000b9  str	wzr, [x0]
0xfffffff009a66a18: 1f8000b9  str	wzr, [x0, #0x80]
0xfffffff009a66a1c: 1f0400f9  str	xzr, [x0, #8]
0xfffffff009a66a20: 010400b9  str	w1, [x0, #4]
0xfffffff009a66a24: 217c7dd3  ubfiz	x1, x1, #3, #0x20
0xfffffff009a66a28: 8012ff90  adrp	x0, #0xfffffff007cb6000
0xfffffff009a66a2c: 00203a91  add	x0, x0, #0xe88
0xfffffff009a66a30: e8c0a397  bl	#0xfffffff008356dd0
0xfffffff009a66a34: 600600f9  str	x0, [x19, #8]
0xfffffff009a66a38: e00313aa  mov	x0, x19
0xfffffff009a66a3c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a66a40: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a66a44: ff0f5fd6  retab	
