; Candidate 3254
; ADRP+ADD at VM 0xfffffff008726cbc (fileoff 0x1722cbc): page=0x1fea0b000 add_imm=0xd90

0xfffffff008726c3c: 2901190b  add	w9, w9, w25
0xfffffff008726c40: 29810011  add	w9, w9, #0x20
0xfffffff008726c44: 69a600b9  str	w9, [x19, #0xa4]
0xfffffff008726c48: e903194b  neg	w9, w25
0xfffffff008726c4c: 1525c91a  lsr	w21, w8, w9
0xfffffff008726c50: 21830011  add	w1, w25, #0x20
0xfffffff008726c54: e00313aa  mov	x0, x19
0xfffffff008726c58: 02008052  mov	w2, #0
0xfffffff008726c5c: 89d1ff97  bl	#0xfffffff00871b280
0xfffffff008726c60: 287f0011  add	w8, w25, #0x1f
0xfffffff008726c64: 29008012  mov	w9, #-2
0xfffffff008726c68: 2821c81a  lsl	w8, w9, w8
0xfffffff008726c6c: e803282a  mvn	w8, w8
0xfffffff008726c70: a802080b  add	w8, w21, w8
0xfffffff008726c74: f90318aa  mov	x25, x24
0xfffffff008726c78: 09000014  b	#0xfffffff008726c9c
0xfffffff008726c7c: 68a640b9  ldr	w8, [x19, #0xa4]
0xfffffff008726c80: 08050011  add	w8, w8, #1
0xfffffff008726c84: 68a600b9  str	w8, [x19, #0xa4]
0xfffffff008726c88: e00313aa  mov	x0, x19
0xfffffff008726c8c: 21008052  mov	w1, #1
0xfffffff008726c90: 02008052  mov	w2, #0
0xfffffff008726c94: 7bd1ff97  bl	#0xfffffff00871b280
0xfffffff008726c98: 08008052  mov	w8, #0
0xfffffff008726c9c: 880600b9  str	w8, [x20, #4]
0xfffffff008726ca0: 9c0000b4  cbz	x28, #0xfffffff008726cb0
0xfffffff008726ca4: 890740b9  ldr	w9, [x28, #4]
0xfffffff008726ca8: 1f01096b  cmp	w8, w9
0xfffffff008726cac: a10c0054  b.ne	#0xfffffff008726e40
0xfffffff008726cb0: 1f010171  cmp	w8, #0x40
0xfffffff008726cb4: 83010054  b.lo	#0xfffffff008726ce4
0xfffffff008726cb8: e80300f9  str	x8, [sp]
0xfffffff008726cbc: 4050fff0  adrp	x0, #0xfffffff007131000
0xfffffff008726cc0: 00403691  add	x0, x0, #0xd90
0xfffffff008726cc4: a196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008726cc8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008726ccc: 8350fff0  adrp	x3, #0xfffffff007139000
0xfffffff008726cd0: 631c3591  add	x3, x3, #0xd47
0xfffffff008726cd4: 02008052  mov	w2, #0
0xfffffff008726cd8: 1631f097  bl	#0xfffffff008333130
0xfffffff008726cdc: 00008052  mov	w0, #0
0xfffffff008726ce0: 50030014  b	#0xfffffff008727a20
0xfffffff008726ce4: 09d08452  mov	w9, #0x2680
0xfffffff008726ce8: 097da99b  umull	x9, w8, w9
0xfffffff008726cec: 296b69b8  ldr	w9, [x25, x9]
0xfffffff008726cf0: 3f050031  cmn	w9, #1
0xfffffff008726cf4: 20100054  b.eq	#0xfffffff008726ef8
0xfffffff008726cf8: f803082a  mov	w24, w8
0xfffffff008726cfc: 08d08452  mov	w8, #0x2680
0xfffffff008726d00: 0867089b  madd	x8, x24, x8, x25
0xfffffff008726d04: 0a0580b9  ldrsw	x10, [x8, #4]
0xfffffff008726d08: 08518b52  mov	w8, #0x5a88
0xfffffff008726d0c: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff008726d10: 4b25089b  madd	x11, x10, x8, x9
0xfffffff008726d14: 68054eb9  ldr	w8, [x11, #0xe04]
0xfffffff008726d18: 1f050031  cmn	w8, #1
0xfffffff008726d1c: 20100054  b.eq	#0xfffffff008726f20
0xfffffff008726d20: 680340b9  ldr	w8, [x27]
0xfffffff008726d24: 1f050031  cmn	w8, #1
0xfffffff008726d28: e0190054  b.eq	#0xfffffff008727064
0xfffffff008726d2c: 88024039  ldrb	w8, [x20]
0xfffffff008726d30: aa0318f8  stur	x10, [x29, #-0x80]
0xfffffff008726d34: a8100035  cbnz	w8, #0xfffffff008726f48
0xfffffff008726d38: eb4b00f9  str	x11, [sp, #0x90]
