; Candidate 13736
; ADRP+ADD at VM 0xfffffff00955fd00 (fileoff 0x255bd00): page=0x1fdffb000 add_imm=0xd97

0xfffffff00955fc80: 00a03d91  add	x0, x0, #0xf68
0xfffffff00955fc84: e10315aa  mov	x1, x21
0xfffffff00955fc88: a1dab797  bl	#0xfffffff00835670c
0xfffffff00955fc8c: 417100d0  adrp	x1, #0xfffffff00a389000
0xfffffff00955fc90: 21c00391  add	x1, x1, #0xf0
0xfffffff00955fc94: e0448092  mov	x0, #-0x228
0xfffffff00955fc98: 8e0db697  bl	#0xfffffff0082e32d0
0xfffffff00955fc9c: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff00955fca0: 4934ffd0  adrp	x9, #0xfffffff007be9000
0xfffffff00955fca4: 290546f9  ldr	x9, [x9, #0xc08]
0xfffffff00955fca8: 290140f9  ldr	x9, [x9]
0xfffffff00955fcac: 3f0108eb  cmp	x9, x8
0xfffffff00955fcb0: 21050054  b.ne	#0xfffffff00955fd54
0xfffffff00955fcb4: e00318aa  mov	x0, x24
0xfffffff00955fcb8: ff030791  add	sp, sp, #0x1c0
0xfffffff00955fcbc: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00955fcc0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00955fcc4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00955fcc8: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00955fccc: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff00955fcd0: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff00955fcd4: e923c76c  ldp	d9, d8, [sp], #0x70
0xfffffff00955fcd8: ff0f5fd6  retab	
0xfffffff00955fcdc: f80300aa  mov	x24, x0
0xfffffff00955fce0: e87b40b9  ldr	w8, [sp, #0x78]
0xfffffff00955fce4: e86300a9  stp	x8, x24, [sp]
0xfffffff00955fce8: c0fffef0  adrp	x0, #0xfffffff00755a000
0xfffffff00955fcec: 00903891  add	x0, x0, #0xe24
0xfffffff00955fcf0: 12000014  b	#0xfffffff00955fd38
0xfffffff00955fcf4: f80300aa  mov	x24, x0
0xfffffff00955fcf8: e87b40b9  ldr	w8, [sp, #0x78]
0xfffffff00955fcfc: e86300a9  stp	x8, x24, [sp]
0xfffffff00955fd00: c0fffef0  adrp	x0, #0xfffffff00755a000
0xfffffff00955fd04: 005c3691  add	x0, x0, #0xd97
0xfffffff00955fd08: d65da197  bl	#0xfffffff007db7460
0xfffffff00955fd0c: e0031caa  mov	x0, x28
0xfffffff00955fd10: 3f69a797  bl	#0xfffffff007f3a20c
0xfffffff00955fd14: daf70094  bl	#0xfffffff00959dc7c
0xfffffff00955fd18: e0031caa  mov	x0, x28
0xfffffff00955fd1c: 81a6a697  bl	#0xfffffff007f09720
0xfffffff00955fd20: c6ffff17  b	#0xfffffff00955fc38
0xfffffff00955fd24: f80300aa  mov	x24, x0
0xfffffff00955fd28: e87b40b9  ldr	w8, [sp, #0x78]
0xfffffff00955fd2c: e86300a9  stp	x8, x24, [sp]
0xfffffff00955fd30: c0fffef0  adrp	x0, #0xfffffff00755a000
0xfffffff00955fd34: 008c3791  add	x0, x0, #0xde3
0xfffffff00955fd38: ca5da197  bl	#0xfffffff007db7460
0xfffffff00955fd3c: e0031caa  mov	x0, x28
0xfffffff00955fd40: 3369a797  bl	#0xfffffff007f3a20c
0xfffffff00955fd44: cef70094  bl	#0xfffffff00959dc7c
0xfffffff00955fd48: e0031caa  mov	x0, x28
0xfffffff00955fd4c: 75a6a697  bl	#0xfffffff007f09720
0xfffffff00955fd50: baffff17  b	#0xfffffff00955fc38
0xfffffff00955fd54: 3ef89f97  bl	#0xfffffff007d5de4c
0xfffffff00955fd58: 7f2303d5  pacibsp	
0xfffffff00955fd5c: ff4305d1  sub	sp, sp, #0x150
0xfffffff00955fd60: e9230e6d  stp	d9, d8, [sp, #0xe0]
0xfffffff00955fd64: fc6f0fa9  stp	x28, x27, [sp, #0xf0]
0xfffffff00955fd68: fa6710a9  stp	x26, x25, [sp, #0x100]
0xfffffff00955fd6c: f85f11a9  stp	x24, x23, [sp, #0x110]
0xfffffff00955fd70: f65712a9  stp	x22, x21, [sp, #0x120]
0xfffffff00955fd74: f44f13a9  stp	x20, x19, [sp, #0x130]
0xfffffff00955fd78: fd7b14a9  stp	x29, x30, [sp, #0x140]
0xfffffff00955fd7c: fd030591  add	x29, sp, #0x140
