; Candidate 1257
; ADRP+ADD at VM 0xfffffff00830a3dc (fileoff 0x13063dc): page=0x1ff673000 add_imm=0xdb0

0xfffffff00830a35c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00830a360: ff0f5fd6  retab	
0xfffffff00830a364: e10314aa  mov	x1, x20
0xfffffff00830a368: 02008052  mov	w2, #0
0xfffffff00830a36c: e385ea97  bl	#0xfffffff007dabaf8
0xfffffff00830a370: 87ffff17  b	#0xfffffff00830a18c
0xfffffff00830a374: e10314aa  mov	x1, x20
0xfffffff00830a378: fb88ea97  bl	#0xfffffff007dac764
0xfffffff00830a37c: 35f5ffb5  cbnz	x21, #0xfffffff00830a220
0xfffffff00830a380: ccffff17  b	#0xfffffff00830a2b0
0xfffffff00830a384: e10314aa  mov	x1, x20
0xfffffff00830a388: f788ea97  bl	#0xfffffff007dac764
0xfffffff00830a38c: c9ffff17  b	#0xfffffff00830a2b0
0xfffffff00830a390: 5f2403d5  bti	c
0xfffffff00830a394: 011440f9  ldr	x1, [x0, #0x28]
0xfffffff00830a398: 010100b4  cbz	x1, #0xfffffff00830a3b8
0xfffffff00830a39c: 08b3ffd0  adrp	x8, #0xfffffff00796c000
0xfffffff00830a3a0: 080d41f9  ldr	x8, [x8, #0x218]
0xfffffff00830a3a4: 021040f9  ldr	x2, [x0, #0x20]
0xfffffff00830a3a8: e00308aa  mov	x0, x8
0xfffffff00830a3ac: 03008052  mov	w3, #0
0xfffffff00830a3b0: 040080d2  mov	x4, #0
0xfffffff00830a3b4: 47e9ec17  b	#0xfffffff007e448d0
0xfffffff00830a3b8: c0035fd6  ret	
0xfffffff00830a3bc: 5f2403d5  bti	c
0xfffffff00830a3c0: 60f800d0  adrp	x0, #0xfffffff00a218000
0xfffffff00830a3c4: 00000091  add	x0, x0, #0
0xfffffff00830a3c8: c0035fd6  ret	
0xfffffff00830a3cc: 5f2403d5  bti	c
0xfffffff00830a3d0: e10300aa  mov	x1, x0
0xfffffff00830a3d4: 08008092  mov	x8, #-1
0xfffffff00830a3d8: 080000f9  str	x8, [x0]
0xfffffff00830a3dc: 80b3fff0  adrp	x0, #0xfffffff00797d000
0xfffffff00830a3e0: 00c03691  add	x0, x0, #0xdb0
0xfffffff00830a3e4: 02068052  mov	w2, #0x30
0xfffffff00830a3e8: ad74ff17  b	#0xfffffff0082e769c
0xfffffff00830a3ec: 5f2403d5  bti	c
0xfffffff00830a3f0: 08008092  mov	x8, #-1
0xfffffff00830a3f4: 080000f9  str	x8, [x0]
0xfffffff00830a3f8: c0035fd6  ret	
0xfffffff00830a3fc: 7f2303d5  pacibsp	
0xfffffff00830a400: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00830a404: fd030091  mov	x29, sp
0xfffffff00830a408: 88b3fff0  adrp	x8, #0xfffffff00797d000
0xfffffff00830a40c: 08dd4db9  ldr	w8, [x8, #0xddc]
0xfffffff00830a410: 084d1c12  and	w8, w8, #0xfffff0
0xfffffff00830a414: 1fc10071  cmp	w8, #0x30
0xfffffff00830a418: 22010054  b.hs	#0xfffffff00830a43c
0xfffffff00830a41c: 00b1fff0  adrp	x0, #0xfffffff00792d000
0xfffffff00830a420: 00c01c91  add	x0, x0, #0x730
0xfffffff00830a424: 01068052  mov	w1, #0x30
0xfffffff00830a428: 82008252  mov	w2, #0x1004
0xfffffff00830a42c: 8200a072  movk	w2, #4, lsl #16
0xfffffff00830a430: 030080d2  mov	x3, #0
0xfffffff00830a434: 3370ea97  bl	#0xfffffff007da6500
0xfffffff00830a438: 05000014  b	#0xfffffff00830a44c
0xfffffff00830a43c: 80b3fff0  adrp	x0, #0xfffffff00797d000
0xfffffff00830a440: 00c03691  add	x0, x0, #0xdb0
0xfffffff00830a444: 81008052  mov	w1, #4
0xfffffff00830a448: 5e71ea97  bl	#0xfffffff007da69c0
0xfffffff00830a44c: 88f80090  adrp	x8, #0xfffffff00a21a000
0xfffffff00830a450: 08c10191  add	x8, x8, #0x70
0xfffffff00830a454: 09068052  mov	w9, #0x30
0xfffffff00830a458: 080129f8  ldadd	x9, x8, [x8]
