; Candidate 6576
; ADRP+ADD at VM 0xfffffff008833ac8 (fileoff 0x182fac8): page=0x1fe9b6000 add_imm=0xe80

0xfffffff008833a48: 00050034  cbz	w0, #0xfffffff008833ae8
0xfffffff008833a4c: 200f8052  mov	w0, #0x79
0xfffffff008833a50: 721f0194  bl	#0xfffffff00887b818
0xfffffff008833a54: f70300aa  mov	x23, x0
0xfffffff008833a58: d5010294  bl	#0xfffffff0088b41ac
0xfffffff008833a5c: f60300aa  mov	x22, x0
0xfffffff008833a60: 00018052  mov	w0, #8
0xfffffff008833a64: 7b1f0194  bl	#0xfffffff00887b850
0xfffffff008833a68: 97010034  cbz	w23, #0xfffffff008833a98
0xfffffff008833a6c: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff008833a70: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff008833a74: 085d3e91  add	x8, x8, #0xf97
0xfffffff008833a78: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008833a7c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008833a80: 280f8052  mov	w8, #0x79
0xfffffff008833a84: 004fff90  adrp	x0, #0xfffffff007213000
0xfffffff008833a88: 00b43791  add	x0, x0, #0xded
0xfffffff008833a8c: f62300a9  stp	x22, x8, [sp]
0xfffffff008833a90: 740ed697  bl	#0xfffffff007db7460
0xfffffff008833a94: 15000014  b	#0xfffffff008833ae8
0xfffffff008833a98: c5010294  bl	#0xfffffff0088b41ac
0xfffffff008833a9c: f60300aa  mov	x22, x0
0xfffffff008833aa0: 00018052  mov	w0, #8
0xfffffff008833aa4: 6b1f0194  bl	#0xfffffff00887b850
0xfffffff008833aa8: e80315aa  mov	x8, x21
0xfffffff008833aac: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff008833ab0: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff008833ab4: 085d3e91  add	x8, x8, #0xf97
0xfffffff008833ab8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008833abc: 280f8052  mov	w8, #0x79
0xfffffff008833ac0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008833ac4: f60300f9  str	x22, [sp]
0xfffffff008833ac8: a04dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008833acc: 00003a91  add	x0, x0, #0xe80
0xfffffff008833ad0: a18effb0  adrp	x1, #0xfffffff007a08000
0xfffffff008833ad4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008833ad8: c350ffd0  adrp	x3, #0xfffffff00724d000
0xfffffff008833adc: 63c82b91  add	x3, x3, #0xaf2
0xfffffff008833ae0: 02008052  mov	w2, #0
0xfffffff008833ae4: 93fdeb97  bl	#0xfffffff008333130
0xfffffff008833ae8: e00315aa  mov	x0, x21
0xfffffff008833aec: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008833af0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008833af4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008833af8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008833afc: ff030291  add	sp, sp, #0x80
0xfffffff008833b00: ff0f5fd6  retab	
0xfffffff008833b04: 7f2303d5  pacibsp	
0xfffffff008833b08: ff0302d1  sub	sp, sp, #0x80
0xfffffff008833b0c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008833b10: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008833b14: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008833b18: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008833b1c: fdc30191  add	x29, sp, #0x70
0xfffffff008833b20: f40301aa  mov	x20, x1
0xfffffff008833b24: f30300aa  mov	x19, x0
0xfffffff008833b28: 200f8052  mov	w0, #0x79
0xfffffff008833b2c: 01018052  mov	w1, #8
0xfffffff008833b30: 281f0194  bl	#0xfffffff00887b7d0
0xfffffff008833b34: 40020034  cbz	w0, #0xfffffff008833b7c
0xfffffff008833b38: 200f8052  mov	w0, #0x79
0xfffffff008833b3c: 371f0194  bl	#0xfffffff00887b818
0xfffffff008833b40: f60300aa  mov	x22, x0
0xfffffff008833b44: 9a010294  bl	#0xfffffff0088b41ac
