; Candidate 4565
; ADRP+ADD at VM 0xfffffff0087bb938 (fileoff 0x17b7938): page=0x1fe976000 add_imm=0xd90

0xfffffff0087bb8b8: 004145fc  ldur	d0, [x8, #0x54]
0xfffffff0087bb8bc: 600100fd  str	d0, [x11]
0xfffffff0087bb8c0: 0cb54b29  ldp	w12, w13, [x8, #0x5c]
0xfffffff0087bb8c4: 4c2507b9  str	w12, [x10, #0x724]
0xfffffff0087bb8c8: 0c454139  ldrb	w12, [x8, #0x51]
0xfffffff0087bb8cc: 4ca11c39  strb	w12, [x10, #0x728]
0xfffffff0087bb8d0: 086d40b9  ldr	w8, [x8, #0x6c]
0xfffffff0087bb8d4: 482d07b9  str	w8, [x10, #0x72c]
0xfffffff0087bb8d8: 4dc11c39  strb	w13, [x10, #0x730]
0xfffffff0087bb8dc: 28910591  add	x8, x9, #0x164
0xfffffff0087bb8e0: 000140fd  ldr	d0, [x8]
0xfffffff0087bb8e4: 600d00fd  str	d0, [x11, #0x18]
0xfffffff0087bb8e8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0087bb8ec: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0087bb8f0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0087bb8f4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0087bb8f8: ff830191  add	sp, sp, #0x60
0xfffffff0087bb8fc: ff0f5fd6  retab	
0xfffffff0087bb900: 692e40f9  ldr	x9, [x19, #0x58]
0xfffffff0087bb904: 280940b9  ldr	w8, [x9, #8]
0xfffffff0087bb908: df02086b  cmp	w22, w8
0xfffffff0087bb90c: 8c000054  b.gt	#0xfffffff0087bb91c
0xfffffff0087bb910: 280d40b9  ldr	w8, [x9, #0xc]
0xfffffff0087bb914: bf02086b  cmp	w21, w8
0xfffffff0087bb918: 2d020054  b.le	#0xfffffff0087bb95c
0xfffffff0087bb91c: c8948752  mov	w8, #0x3ca6
0xfffffff0087bb920: 686a6838  ldrb	w8, [x19, x8]
0xfffffff0087bb924: e8ec0736  tbz	w8, #0, #0xfffffff0087bb6c0
0xfffffff0087bb928: f6d700a9  stp	x22, x21, [sp, #8]
0xfffffff0087bb92c: 084dfff0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bb930: 08c12d91  add	x8, x8, #0xb70
0xfffffff0087bb934: e80300f9  str	x8, [sp]
0xfffffff0087bb938: a04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bb93c: 00403691  add	x0, x0, #0xd90
0xfffffff0087bb940: 0192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bb944: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bb948: 834cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bb94c: 63201391  add	x3, x3, #0x4c8
0xfffffff0087bb950: 02008052  mov	w2, #0
0xfffffff0087bb954: f7dded97  bl	#0xfffffff008333130
0xfffffff0087bb958: 5affff17  b	#0xfffffff0087bb6c0
0xfffffff0087bb95c: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bb960: 21ffff17  b	#0xfffffff0087bb5e4
0xfffffff0087bb964: 7f2303d5  pacibsp	
0xfffffff0087bb968: ff8306d1  sub	sp, sp, #0x1a0
0xfffffff0087bb96c: fc6f14a9  stp	x28, x27, [sp, #0x140]
0xfffffff0087bb970: fa6715a9  stp	x26, x25, [sp, #0x150]
0xfffffff0087bb974: f85f16a9  stp	x24, x23, [sp, #0x160]
0xfffffff0087bb978: f65717a9  stp	x22, x21, [sp, #0x170]
0xfffffff0087bb97c: f44f18a9  stp	x20, x19, [sp, #0x180]
0xfffffff0087bb980: fd7b19a9  stp	x29, x30, [sp, #0x190]
0xfffffff0087bb984: fd430691  add	x29, sp, #0x190
0xfffffff0087bb988: f30300aa  mov	x19, x0
0xfffffff0087bb98c: 0892ffd0  adrp	x8, #0xfffffff0079fd000
0xfffffff0087bb990: 08d941f9  ldr	x8, [x8, #0x3b0]
0xfffffff0087bb994: 080140f9  ldr	x8, [x8]
0xfffffff0087bb998: a8031af8  stur	x8, [x29, #-0x60]
0xfffffff0087bb99c: 08a445a9  ldp	x8, x9, [x0, #0x58]
0xfffffff0087bb9a0: 359546b9  ldr	w21, [x9, #0x694]
0xfffffff0087bb9a4: 299946b9  ldr	w9, [x9, #0x698]
0xfffffff0087bb9a8: e91700f9  str	x9, [sp, #0x28]
0xfffffff0087bb9ac: 092940b9  ldr	w9, [x8, #0x28]
0xfffffff0087bb9b0: 3b4dff90  adrp	x27, #0xfffffff00715f000
0xfffffff0087bb9b4: 7b530391  add	x27, x27, #0xd4
