; Candidate 10075
; ADRP+ADD at VM 0xfffffff008c98ad0 (fileoff 0x1c94ad0): page=0x1fe6ba000 add_imm=0xd21

0xfffffff008c98a50: 88578052  mov	w8, #0x2bc
0xfffffff008c98a54: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008c98a58: 410100b4  cbz	x1, #0xfffffff008c98a80
0xfffffff008c98a5c: f50302aa  mov	x21, x2
0xfffffff008c98a60: f40300aa  mov	x20, x0
0xfffffff008c98a64: 08187d39  ldrb	w8, [x0, #0xf46]
0xfffffff008c98a68: 08010034  cbz	w8, #0xfffffff008c98a88
0xfffffff008c98a6c: 75010036  tbz	w21, #0, #0xfffffff008c98a98
0xfffffff008c98a70: 16008052  mov	w22, #0
0xfffffff008c98a74: 6d000014  b	#0xfffffff008c98c28
0xfffffff008c98a78: 16008052  mov	w22, #0
0xfffffff008c98a7c: 85000014  b	#0xfffffff008c98c90
0xfffffff008c98a80: 16110011  add	w22, w8, #4
0xfffffff008c98a84: 83000014  b	#0xfffffff008c98c90
0xfffffff008c98a88: 16008052  mov	w22, #0
0xfffffff008c98a8c: 881e7d39  ldrb	w8, [x20, #0xf47]
0xfffffff008c98a90: a80c0034  cbz	w8, #0xfffffff008c98c24
0xfffffff008c98a94: 950c0037  tbnz	w21, #0, #0xfffffff008c98c24
0xfffffff008c98a98: 88067d39  ldrb	w8, [x20, #0xf41]
0xfffffff008c98a9c: 89027d39  ldrb	w9, [x20, #0xf40]
0xfffffff008c98aa0: 1f01096b  cmp	w8, w9
0xfffffff008c98aa4: c1000054  b.ne	#0xfffffff008c98abc
0xfffffff008c98aa8: e00313aa  mov	x0, x19
0xfffffff008c98aac: 3f8a2a94  bl	#0xfffffff00973b3a8
0xfffffff008c98ab0: 60000034  cbz	w0, #0xfffffff008c98abc
0xfffffff008c98ab4: 16008052  mov	w22, #0
0xfffffff008c98ab8: 19000014  b	#0xfffffff008c98b1c
0xfffffff008c98abc: 88f27d39  ldrb	w8, [x20, #0xf7c]
0xfffffff008c98ac0: e8002036  tbz	w8, #4, #0xfffffff008c98adc
0xfffffff008c98ac4: 88a27c39  ldrb	w8, [x20, #0xf28]
0xfffffff008c98ac8: 89027d39  ldrb	w9, [x20, #0xf40]
0xfffffff008c98acc: e82700a9  stp	x8, x9, [sp]
0xfffffff008c98ad0: c035ffd0  adrp	x0, #0xfffffff007352000
0xfffffff008c98ad4: 00843491  add	x0, x0, #0xd21
0xfffffff008c98ad8: 52f9da97  bl	#0xfffffff008357020
0xfffffff008c98adc: 88027d39  ldrb	w8, [x20, #0xf40]
0xfffffff008c98ae0: 700240f9  ldr	x16, [x19]
0xfffffff008c98ae4: f10313aa  mov	x17, x19
0xfffffff008c98ae8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c98aec: 301ac1da  autda	x16, x17
0xfffffff008c98af0: 11b480d2  mov	x17, #0x5a0
0xfffffff008c98af4: 1002118b  add	x16, x16, x17
0xfffffff008c98af8: 090240f9  ldr	x9, [x16]
0xfffffff008c98afc: ea0310aa  mov	x10, x16
0xfffffff008c98b00: 1f010071  cmp	w8, #0
0xfffffff008c98b04: 36008052  mov	w22, #1
0xfffffff008c98b08: c106961a  cinc	w1, w22, ne
0xfffffff008c98b0c: e00313aa  mov	x0, x19
0xfffffff008c98b10: f1030aaa  mov	x17, x10
0xfffffff008c98b14: 5110ecf2  movk	x17, #0x6082, lsl #48
0xfffffff008c98b18: 31093fd7  blraa	x9, x17
0xfffffff008c98b1c: 881a7d39  ldrb	w8, [x20, #0xf46]
0xfffffff008c98b20: a8000034  cbz	w8, #0xfffffff008c98b34
0xfffffff008c98b24: e00313aa  mov	x0, x19
0xfffffff008c98b28: f6c32a94  bl	#0xfffffff009749b00
0xfffffff008c98b2c: 1f040071  cmp	w0, #1
0xfffffff008c98b30: 21010054  b.ne	#0xfffffff008c98b54
0xfffffff008c98b34: 881e7d39  ldrb	w8, [x20, #0xf47]
0xfffffff008c98b38: 68010034  cbz	w8, #0xfffffff008c98b64
0xfffffff008c98b3c: e00313aa  mov	x0, x19
0xfffffff008c98b40: f0c32a94  bl	#0xfffffff009749b00
0xfffffff008c98b44: 1f080071  cmp	w0, #2
0xfffffff008c98b48: e0000054  b.eq	#0xfffffff008c98b64
0xfffffff008c98b4c: 41008052  mov	w1, #2
