; Candidate 13786
; ADRP+ADD at VM 0xfffffff00958a4a0 (fileoff 0x25864a0): page=0x1fdfd5000 add_imm=0xe54

0xfffffff00958a420: e10313aa  mov	x1, x19
0xfffffff00958a424: e20319aa  mov	x2, x25
0xfffffff00958a428: b2fdff97  bl	#0xfffffff009589af0
0xfffffff00958a42c: 15020034  cbz	w21, #0xfffffff00958a46c
0xfffffff00958a430: 351700b9  str	w21, [x25, #0x14]
0xfffffff00958a434: 280f4079  ldrh	w8, [x25, #6]
0xfffffff00958a438: ee1b40f9  ldr	x14, [sp, #0x30]
0xfffffff00958a43c: 08062837  tbnz	w8, #5, #0xfffffff00958a4fc
0xfffffff00958a440: e8720d91  add	x8, x23, #0x35c
0xfffffff00958a444: f6d700a9  stp	x22, x21, [sp, #8]
0xfffffff00958a448: e80300f9  str	x8, [sp]
0xfffffff00958a44c: a0fefeb0  adrp	x0, #0xfffffff00755f000
0xfffffff00958a450: 00883891  add	x0, x0, #0xe22
0xfffffff00958a454: 03b4a097  bl	#0xfffffff007db7460
0xfffffff00958a458: ee1b40f9  ldr	x14, [sp, #0x30]
0xfffffff00958a45c: 280f4079  ldrh	w8, [x25, #6]
0xfffffff00958a460: 08011b32  orr	w8, w8, #0x20
0xfffffff00958a464: 280f0079  strh	w8, [x25, #6]
0xfffffff00958a468: 25000014  b	#0xfffffff00958a4fc
0xfffffff00958a46c: e8fe44b9  ldr	w8, [x23, #0x4fc]
0xfffffff00958a470: e91f40b9  ldr	w9, [sp, #0x1c]
0xfffffff00958a474: 3f01086b  cmp	w9, w8
0xfffffff00958a478: ee1b40f9  ldr	x14, [sp, #0x30]
0xfffffff00958a47c: 00040054  b.eq	#0xfffffff00958a4fc
0xfffffff00958a480: e81645b9  ldr	w8, [x23, #0x514]
0xfffffff00958a484: e91f40b9  ldr	w9, [sp, #0x1c]
0xfffffff00958a488: 3f01086b  cmp	w9, w8
0xfffffff00958a48c: 80030054  b.eq	#0xfffffff00958a4fc
0xfffffff00958a490: 280f4079  ldrh	w8, [x25, #6]
0xfffffff00958a494: 48012836  tbz	w8, #5, #0xfffffff00958a4bc
0xfffffff00958a498: e8720d91  add	x8, x23, #0x35c
0xfffffff00958a49c: e85b00a9  stp	x8, x22, [sp]
0xfffffff00958a4a0: a0fefeb0  adrp	x0, #0xfffffff00755f000
0xfffffff00958a4a4: 00503991  add	x0, x0, #0xe54
0xfffffff00958a4a8: eeb3a097  bl	#0xfffffff007db7460
0xfffffff00958a4ac: ee1b40f9  ldr	x14, [sp, #0x30]
0xfffffff00958a4b0: 280f4079  ldrh	w8, [x25, #6]
0xfffffff00958a4b4: 08791a12  and	w8, w8, #0xffffffdf
0xfffffff00958a4b8: 280f0079  strh	w8, [x25, #6]
0xfffffff00958a4bc: 280b4079  ldrh	w8, [x25, #4]
0xfffffff00958a4c0: 080d1412  and	w8, w8, #0xf000
0xfffffff00958a4c4: 1f214071  cmp	w8, #8, lsl #12
0xfffffff00958a4c8: a1010054  b.ne	#0xfffffff00958a4fc
0xfffffff00958a4cc: 280b40b9  ldr	w8, [x25, #8]
0xfffffff00958a4d0: 1f090071  cmp	w8, #2
0xfffffff00958a4d4: 43010054  b.lo	#0xfffffff00958a4fc
0xfffffff00958a4d8: e9720d91  add	x9, x23, #0x35c
0xfffffff00958a4dc: f6a300a9  stp	x22, x8, [sp, #8]
0xfffffff00958a4e0: e90300f9  str	x9, [sp]
0xfffffff00958a4e4: a0fefeb0  adrp	x0, #0xfffffff00755f000
0xfffffff00958a4e8: 00fc3991  add	x0, x0, #0xe7f
0xfffffff00958a4ec: ddb3a097  bl	#0xfffffff007db7460
0xfffffff00958a4f0: ee1b40f9  ldr	x14, [sp, #0x30]
0xfffffff00958a4f4: 28008052  mov	w8, #1
0xfffffff00958a4f8: 280b00b9  str	w8, [x25, #8]
0xfffffff00958a4fc: ae0d00b4  cbz	x14, #0xfffffff00958a6b0
0xfffffff00958a500: 68024079  ldrh	w8, [x19]
0xfffffff00958a504: 1f050071  cmp	w8, #1
0xfffffff00958a508: c1000054  b.ne	#0xfffffff00958a520
0xfffffff00958a50c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00958a510: c00102ad  stp	q0, q0, [x14, #0x40]
0xfffffff00958a514: c00101ad  stp	q0, q0, [x14, #0x20]
0xfffffff00958a518: c00100ad  stp	q0, q0, [x14]
0xfffffff00958a51c: 65000014  b	#0xfffffff00958a6b0
