; Candidate 13413
; ADRP+ADD at VM 0xfffffff0092cf1cc (fileoff 0x22cb1cc): page=0x1fe210000 add_imm=0xe26

0xfffffff0092cf14c: 400300b4  cbz	x0, #0xfffffff0092cf1b4
0xfffffff0092cf150: 700240f9  ldr	x16, [x19]
0xfffffff0092cf154: f10313aa  mov	x17, x19
0xfffffff0092cf158: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf15c: 301ac1da  autda	x16, x17
0xfffffff0092cf160: 116e80d2  mov	x17, #0x370
0xfffffff0092cf164: 1002118b  add	x16, x16, x17
0xfffffff0092cf168: 080240f9  ldr	x8, [x16]
0xfffffff0092cf16c: e90310aa  mov	x9, x16
0xfffffff0092cf170: e00313aa  mov	x0, x19
0xfffffff0092cf174: f10309aa  mov	x17, x9
0xfffffff0092cf178: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cf17c: 11093fd7  blraa	x8, x17
0xfffffff0092cf180: 100040f9  ldr	x16, [x0]
0xfffffff0092cf184: f10300aa  mov	x17, x0
0xfffffff0092cf188: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf18c: 301ac1da  autda	x16, x17
0xfffffff0092cf190: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf194: 1002118b  add	x16, x16, x17
0xfffffff0092cf198: 080240f9  ldr	x8, [x16]
0xfffffff0092cf19c: e90310aa  mov	x9, x16
0xfffffff0092cf1a0: 010080d2  mov	x1, #0
0xfffffff0092cf1a4: f10309aa  mov	x17, x9
0xfffffff0092cf1a8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf1ac: 11093fd7  blraa	x8, x17
0xfffffff0092cf1b0: 03000014  b	#0xfffffff0092cf1bc
0xfffffff0092cf1b4: 6010fff0  adrp	x0, #0xfffffff0074de000
0xfffffff0092cf1b8: 00102191  add	x0, x0, #0x844
0xfffffff0092cf1bc: a8024079  ldrh	w8, [x21]
0xfffffff0092cf1c0: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cf1c4: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cf1c8: f60300f9  str	x22, [sp]
0xfffffff0092cf1cc: 8010ff90  adrp	x0, #0xfffffff0074df000
0xfffffff0092cf1d0: 00983891  add	x0, x0, #0xe26
0xfffffff0092cf1d4: 931fc297  bl	#0xfffffff008357020
0xfffffff0092cf1d8: 758a3991  add	x21, x19, #0xe62
0xfffffff0092cf1dc: 9410ff90  adrp	x20, #0xfffffff0074df000
0xfffffff0092cf1e0: 94c62e91  add	x20, x20, #0xbb1
0xfffffff0092cf1e4: e00314aa  mov	x0, x20
0xfffffff0092cf1e8: e10315aa  mov	x1, x21
0xfffffff0092cf1ec: 42008052  mov	w2, #2
0xfffffff0092cf1f0: 7277c697  bl	#0xfffffff00846cfb8
0xfffffff0092cf1f4: c0070034  cbz	w0, #0xfffffff0092cf2ec
0xfffffff0092cf1f8: 700240f9  ldr	x16, [x19]
0xfffffff0092cf1fc: f10313aa  mov	x17, x19
0xfffffff0092cf200: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf204: 301ac1da  autda	x16, x17
0xfffffff0092cf208: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf20c: 1002118b  add	x16, x16, x17
0xfffffff0092cf210: 080240f9  ldr	x8, [x16]
0xfffffff0092cf214: e90310aa  mov	x9, x16
0xfffffff0092cf218: e00313aa  mov	x0, x19
0xfffffff0092cf21c: 010080d2  mov	x1, #0
0xfffffff0092cf220: f10309aa  mov	x17, x9
0xfffffff0092cf224: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf228: 11093fd7  blraa	x8, x17
0xfffffff0092cf22c: f60300aa  mov	x22, x0
0xfffffff0092cf230: 700240f9  ldr	x16, [x19]
0xfffffff0092cf234: f10313aa  mov	x17, x19
0xfffffff0092cf238: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf23c: 301ac1da  autda	x16, x17
0xfffffff0092cf240: 116e80d2  mov	x17, #0x370
0xfffffff0092cf244: 1002118b  add	x16, x16, x17
0xfffffff0092cf248: 080240f9  ldr	x8, [x16]
