; Candidate 2239
; ADRP+ADD at VM 0xfffffff0085bebc4 (fileoff 0x15babc4): page=0x1ff400000 add_imm=0xed8

0xfffffff0085beb44: 09208052  mov	w9, #0x100
0xfffffff0085beb48: 09e80379  strh	w9, [x0, #0x1f4]
0xfffffff0085beb4c: c959ffb0  adrp	x9, #0xfffffff0070f7000
0xfffffff0085beb50: 29610e91  add	x9, x9, #0x398
0xfffffff0085beb54: 2001c03d  ldr	q0, [x9]
0xfffffff0085beb58: 0001803d  str	q0, [x8]
0xfffffff0085beb5c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0085beb60: ff0f5fd6  retab	
0xfffffff0085beb64: 5f2403d5  bti	c
0xfffffff0085beb68: 64f7ff17  b	#0xfffffff0085bc8f8
0xfffffff0085beb6c: 5f2403d5  bti	c
0xfffffff0085beb70: 62f7ff17  b	#0xfffffff0085bc8f8
0xfffffff0085beb74: 7f2303d5  pacibsp	
0xfffffff0085beb78: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085beb7c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0085beb80: fd430091  add	x29, sp, #0x10
0xfffffff0085beb84: f30300aa  mov	x19, x0
0xfffffff0085beb88: 5cf7ff97  bl	#0xfffffff0085bc8f8
0xfffffff0085beb8c: 00a0ff90  adrp	x0, #0xfffffff0079be000
0xfffffff0085beb90: 00603b91  add	x0, x0, #0xed8
0xfffffff0085beb94: e10313aa  mov	x1, x19
0xfffffff0085beb98: 026e8052  mov	w2, #0x370
0xfffffff0085beb9c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0085beba0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0085beba4: ff2303d5  autibsp	
0xfffffff0085beba8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0085bebac: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0085bebb4
0xfffffff0085bebb0: 208e38d4  brk	#0xc471
0xfffffff0085bebb4: baa2f417  b	#0xfffffff0082e769c
0xfffffff0085bebb8: 5f2403d5  bti	c
0xfffffff0085bebbc: e20301aa  mov	x2, x1
0xfffffff0085bebc0: e10300aa  mov	x1, x0
0xfffffff0085bebc4: 00a0ff90  adrp	x0, #0xfffffff0079be000
0xfffffff0085bebc8: 00603b91  add	x0, x0, #0xed8
0xfffffff0085bebcc: b4a2f417  b	#0xfffffff0082e769c
0xfffffff0085bebd0: 5f2403d5  bti	c
0xfffffff0085bebd4: c0e800b0  adrp	x0, #0xfffffff00a2d7000
0xfffffff0085bebd8: 00002291  add	x0, x0, #0x880
0xfffffff0085bebdc: c0035fd6  ret	
0xfffffff0085bebe0: 7f2303d5  pacibsp	
0xfffffff0085bebe4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0085bebe8: fd030091  mov	x29, sp
0xfffffff0085bebec: c159ffd0  adrp	x1, #0xfffffff0070f8000
0xfffffff0085bebf0: 21843291  add	x1, x1, #0xca1
0xfffffff0085bebf4: c2e800b0  adrp	x2, #0xfffffff00a2d7000
0xfffffff0085bebf8: 42402191  add	x2, x2, #0x850
0xfffffff0085bebfc: 036e8052  mov	w3, #0x370
0xfffffff0085bec00: ce93f497  bl	#0xfffffff0082e3b38
0xfffffff0085bec04: f09fffd0  adrp	x16, #0xfffffff0079bc000
0xfffffff0085bec08: 10c21091  add	x16, x16, #0x430
0xfffffff0085bec0c: 10420091  add	x16, x16, #0x10
0xfffffff0085bec10: f10300aa  mov	x17, x0
0xfffffff0085bec14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085bec18: 300ac1da  pacda	x16, x17
0xfffffff0085bec1c: 100000f9  str	x16, [x0]
0xfffffff0085bec20: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0085bec24: ff0f5fd6  retab	
0xfffffff0085bec28: 7f2303d5  pacibsp	
0xfffffff0085bec2c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085bec30: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0085bec34: fd430091  add	x29, sp, #0x10
0xfffffff0085bec38: 00a0ff90  adrp	x0, #0xfffffff0079be000
0xfffffff0085bec3c: 00603b91  add	x0, x0, #0xed8
0xfffffff0085bec40: 016e8052  mov	w1, #0x370
